sex,condition,Shapley_value
Both,HIV,-3.7958982104979064
Both,CardiovascularDiseases,-0.7849934867555675
Both,ChronicKidneyDisease,-0.5572731477371242
Both,Type1Diabetes,0.0
Both,Type2Diabetes,-1.1652100546611521
Both,RoadInjuries,-0.22193072195978658
Both,InterpersonalViolence,-0.024421465675882104
Both,COPD,0.0
Both,Asthma,-0.0940777063190481
Both,ProstateCancer,0.0
Both,LungCancer,-0.04497085563158976
Both,CervicalCancer,0.0
Both,BreastCancer,0.0
Male,HIV,-3.455466586687791
Male,CardiovascularDiseases,-0.778628900721035
Male,ChronicKidneyDisease,-0.46147505886028384
Male,Type1Diabetes,0.0
Male,Type2Diabetes,-1.0368565350486278
Male,RoadInjuries,-0.20078423238696175
Male,InterpersonalViolence,-0.030146901590978104
Male,COPD,0.0
Male,Asthma,-0.12141763551015572
Male,ProstateCancer,0.05600515664751882
Male,LungCancer,-0.045045214899456454
Male,CervicalCancer,0.0
Male,BreastCancer,0.0
Female,HIV,-4.135881103106584
Female,CardiovascularDiseases,-0.7903065896733494
Female,ChronicKidneyDisease,-0.6509878040736652
Female,Type1Diabetes,0.0
Female,Type2Diabetes,-1.2947435986766678
Female,RoadInjuries,-0.2442111505909743
Female,InterpersonalViolence,0.0
Female,COPD,0.0
Female,Asthma,-0.06639974084279743
Female,ProstateCancer,-0.02743409128740737
Female,LungCancer,-0.045317676086298775
Female,CervicalCancer,0.0
Female,BreastCancer,0.0
