Age,Year,CervicalCancer_male,CervicalCancer_female,Dementia_male,Dementia_female,Type1Diabetes_male,Type1Diabetes_female,LungCancer_male,LungCancer_female,CardiovascularDiseases_male,CardiovascularDiseases_female,MajorDepressiveDisorder_male,MajorDepressiveDisorder_female,COPD_male,COPD_female,Type2Diabetes_male,Type2Diabetes_female,ChronicKidneyDisease_male,ChronicKidneyDisease_female,NeonatalSepsis_male,NeonatalSepsis_female,ColorectalCancer_male,ColorectalCancer_female,ViralHepatitis_male,ViralHepatitis_female,AlzheimersDisease_male,AlzheimersDisease_female,CongenitalHeartAnomalies_male,CongenitalHeartAnomalies_female,Hypertension_male,Hypertension_female,DiarrhealDisease_male,DiarrhealDisease_female,PTSD_male,PTSD_female,EsophagealCancer_male,EsophagealCancer_female,InterpersonalViolence_male,InterpersonalViolence_female,DigestiveCongenitalAnomalies_male,DigestiveCongenitalAnomalies_female,BreastCancer_male,BreastCancer_female,Asthma_male,Asthma_female,NeonatalPretermBirth_male,NeonatalPretermBirth_female,Obesity_male,Obesity_female,NeuralTubeDefects_male,NeuralTubeDefects_female,RoadInjuries_male,RoadInjuries_female,ChronicLiverDisease_male,ChronicLiverDisease_female,AlcoholUseDisorder_male,AlcoholUseDisorder_female,ChromosomalAbnormalities_male,ChromosomalAbnormalities_female,ProstateCancer_male,ProstateCancer_female,CongenitalMusculoskeletal_male,CongenitalMusculoskeletal_female,DownSyndrome_male,DownSyndrome_female,NeonatalEncephalopathy_male,NeonatalEncephalopathy_female,ParkinsonsDisease_male,ParkinsonsDisease_female,Hyperlipidemia_male,Hyperlipidemia_female,Flu_male,Flu_female,TobaccoUse_male,TobaccoUse_female,HPV_male,HPV_female,ProteinEnergyMalnutrition_male,ProteinEnergyMalnutrition_female
0-4,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-4,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-4,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-4,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-4,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-4,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-4,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-4,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-4,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-4,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-4,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-4,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-4,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-4,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-4,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-4,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-4,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-4,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-4,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
