Time,AgeGrp,ASFR
1950.0,15,63.09
1950.0,16,101.74
1950.0,17,143.22
1950.0,18,185.21
1950.0,19,224.95
1950.0,20,261.03
1950.0,21,286.75
1950.0,22,301.82
1950.0,23,308.64
1950.0,24,308.6
1950.0,25,304.99
1950.0,26,299.39
1950.0,27,292.53
1950.0,28,284.91
1950.0,29,277.78
1950.0,30,271.78
1950.0,31,265.23
1950.0,32,258.03
1950.0,33,248.12
1950.0,34,235.76
1950.0,35,222.91
1950.0,36,212.43
1950.0,37,200.8
1950.0,38,187.81
1950.0,39,174.66
1950.0,40,163.23
1950.0,41,144.02
1950.0,42,119.88
1950.0,43,95.41
1950.0,44,72.2
1950.0,45,49.41
1950.0,46,34.81
1950.0,47,23.95
1950.0,48,16.36
1950.0,49,10.0
1951.0,15,63.2
1951.0,16,101.83
1951.0,17,143.24
1951.0,18,185.11
1951.0,19,224.73
1951.0,20,260.74
1951.0,21,286.4
1951.0,22,301.41
1951.0,23,308.17
1951.0,24,308.06
1951.0,25,304.4
1951.0,26,298.76
1951.0,27,291.89
1951.0,28,284.28
1951.0,29,277.17
1951.0,30,271.21
1951.0,31,264.69
1951.0,32,257.53
1951.0,33,247.65
1951.0,34,235.31
1951.0,35,222.48
1951.0,36,212.02
1951.0,37,200.41
1951.0,38,187.44
1951.0,39,174.32
1951.0,40,162.91
1951.0,41,143.74
1951.0,42,119.64
1951.0,43,95.21
1951.0,44,72.03
1951.0,45,49.26
1951.0,46,34.69
1951.0,47,23.86
1951.0,48,16.29
1951.0,49,9.95
1952.0,15,63.31
1952.0,16,101.86
1952.0,17,143.1
1952.0,18,184.73
1952.0,19,224.18
1952.0,20,260.1
1952.0,21,285.69
1952.0,22,300.64
1952.0,23,307.35
1952.0,24,307.17
1952.0,25,303.45
1952.0,26,297.78
1952.0,27,290.89
1952.0,28,283.29
1952.0,29,276.21
1952.0,30,270.3
1952.0,31,263.82
1952.0,32,256.71
1952.0,33,246.87
1952.0,34,234.57
1952.0,35,221.77
1952.0,36,211.35
1952.0,37,199.77
1952.0,38,186.84
1952.0,39,173.77
1952.0,40,162.4
1952.0,41,143.29
1952.0,42,119.25
1952.0,43,94.89
1952.0,44,71.78
1952.0,45,49.05
1952.0,46,34.54
1952.0,47,23.74
1952.0,48,16.2
1952.0,49,9.89
1953.0,15,63.52
1953.0,16,102.01
1953.0,17,143.09
1953.0,18,184.49
1953.0,19,223.78
1953.0,20,259.65
1953.0,21,285.22
1953.0,22,300.15
1953.0,23,306.82
1953.0,24,306.57
1953.0,25,302.79
1953.0,26,297.06
1953.0,27,290.14
1953.0,28,282.54
1953.0,29,275.49
1953.0,30,269.62
1953.0,31,263.19
1953.0,32,256.11
1953.0,33,246.3
1953.0,34,234.03
1953.0,35,221.26
1953.0,36,210.86
1953.0,37,199.31
1953.0,38,186.4
1953.0,39,173.36
1953.0,40,162.03
1953.0,41,142.96
1953.0,42,118.97
1953.0,43,94.66
1953.0,44,71.59
1953.0,45,48.89
1953.0,46,34.41
1953.0,47,23.65
1953.0,48,16.12
1953.0,49,9.84
1954.0,15,63.81
1954.0,16,102.27
1954.0,17,143.22
1954.0,18,184.41
1954.0,19,223.58
1954.0,20,259.44
1954.0,21,285.0
1954.0,22,299.93
1954.0,23,306.56
1954.0,24,306.25
1954.0,25,302.39
1954.0,26,296.61
1954.0,27,289.65
1954.0,28,282.05
1954.0,29,275.01
1954.0,30,269.18
1954.0,31,262.79
1954.0,32,255.74
1954.0,33,245.96
1954.0,34,233.7
1954.0,35,220.95
1954.0,36,210.55
1954.0,37,199.02
1954.0,38,186.13
1954.0,39,173.11
1954.0,40,161.81
1954.0,41,142.76
1954.0,42,118.8
1954.0,43,94.51
1954.0,44,71.46
1954.0,45,48.76
1954.0,46,34.31
1954.0,47,23.57
1954.0,48,16.06
1954.0,49,9.79
1955.0,15,64.15
1955.0,16,102.62
1955.0,17,143.48
1955.0,18,184.51
1955.0,19,223.6
1955.0,20,259.47
1955.0,21,285.05
1955.0,22,299.99
1955.0,23,306.58
1955.0,24,306.2
1955.0,25,302.27
1955.0,26,296.42
1955.0,27,289.43
1955.0,28,281.81
1955.0,29,274.79
1955.0,30,269.0
1955.0,31,262.64
1955.0,32,255.61
1955.0,33,245.84
1955.0,34,233.59
1955.0,35,220.83
1955.0,36,210.44
1955.0,37,198.91
1955.0,38,186.03
1955.0,39,173.01
1955.0,40,161.73
1955.0,41,142.7
1955.0,42,118.74
1955.0,43,94.45
1955.0,44,71.4
1955.0,45,48.68
1955.0,46,34.24
1955.0,47,23.51
1955.0,48,16.01
1955.0,49,9.75
1956.0,15,64.5
1956.0,16,103.03
1956.0,17,143.88
1956.0,18,184.82
1956.0,19,223.87
1956.0,20,259.77
1956.0,21,285.37
1956.0,22,300.3
1956.0,23,306.86
1956.0,24,306.41
1956.0,25,302.41
1956.0,26,296.5
1956.0,27,289.47
1956.0,28,281.84
1956.0,29,274.82
1956.0,30,269.05
1956.0,31,262.71
1956.0,32,255.7
1956.0,33,245.93
1956.0,34,233.67
1956.0,35,220.9
1956.0,36,210.51
1956.0,37,198.97
1956.0,38,186.09
1956.0,39,173.07
1956.0,40,161.8
1956.0,41,142.76
1956.0,42,118.78
1956.0,43,94.47
1956.0,44,71.4
1956.0,45,48.63
1956.0,46,34.2
1956.0,47,23.47
1956.0,48,15.97
1956.0,49,9.72
1957.0,15,64.9
1957.0,16,103.53
1957.0,17,144.4
1957.0,18,185.3
1957.0,19,224.35
1957.0,20,260.3
1957.0,21,285.93
1957.0,22,300.87
1957.0,23,307.39
1957.0,24,306.87
1957.0,25,302.79
1957.0,26,296.82
1957.0,27,289.75
1957.0,28,282.09
1957.0,29,275.07
1957.0,30,269.32
1957.0,31,263.0
1957.0,32,256.0
1957.0,33,246.23
1957.0,34,233.95
1957.0,35,221.15
1957.0,36,210.75
1957.0,37,199.2
1957.0,38,186.3
1957.0,39,173.27
1957.0,40,162.0
1957.0,41,142.94
1957.0,42,118.93
1957.0,43,94.57
1957.0,44,71.46
1957.0,45,48.63
1957.0,46,34.19
1957.0,47,23.45
1957.0,48,15.94
1957.0,49,9.7
1958.0,15,65.41
1958.0,16,104.15
1958.0,17,145.04
1958.0,18,185.87
1958.0,19,224.92
1958.0,20,260.97
1958.0,21,286.67
1958.0,22,301.64
1958.0,23,308.14
1958.0,24,307.55
1958.0,25,303.39
1958.0,26,297.34
1958.0,27,290.21
1958.0,28,282.52
1958.0,29,275.5
1958.0,30,269.77
1958.0,31,263.46
1958.0,32,256.47
1958.0,33,246.68
1958.0,34,234.37
1958.0,35,221.55
1958.0,36,211.12
1958.0,37,199.55
1958.0,38,186.62
1958.0,39,173.58
1958.0,40,162.31
1958.0,41,143.21
1958.0,42,119.15
1958.0,43,94.74
1958.0,44,71.56
1958.0,45,48.66
1958.0,46,34.2
1958.0,47,23.44
1958.0,48,15.92
1958.0,49,9.68
1959.0,15,66.0
1959.0,16,104.86
1959.0,17,145.76
1959.0,18,186.51
1959.0,19,225.57
1959.0,20,261.74
1959.0,21,287.55
1959.0,22,302.58
1959.0,23,309.07
1959.0,24,308.4
1959.0,25,304.15
1959.0,26,298.01
