AgeGrpStart,Sex,Time,mx
0,Female,1986.0,0.05711
0,Male,1986.0,0.0697
1,Female,1986.0,0.00953
1,Male,1986.0,0.01054
2,Female,1986.0,0.00579
2,Male,1986.0,0.00649
3,Female,1986.0,0.00397
3,Male,1986.0,0.00447
4,Female,1986.0,0.00284
4,Male,1986.0,0.00318
5,Female,1986.0,0.00216
5,Male,1986.0,0.00243
6,Female,1986.0,0.00178
6,Male,1986.0,0.00202
7,Female,1986.0,0.00151
7,Male,1986.0,0.00174
8,Female,1986.0,0.00133
8,Male,1986.0,0.00154
9,Female,1986.0,0.00121
9,Male,1986.0,0.0014
10,Female,1986.0,0.00115
10,Male,1986.0,0.00132
11,Female,1986.0,0.00112
11,Male,1986.0,0.00129
12,Female,1986.0,0.00114
12,Male,1986.0,0.00131
13,Female,1986.0,0.0012
13,Male,1986.0,0.00138
14,Female,1986.0,0.0013
14,Male,1986.0,0.0015
15,Female,1986.0,0.00142
15,Male,1986.0,0.00167
16,Female,1986.0,0.00157
16,Male,1986.0,0.00191
17,Female,1986.0,0.0017
17,Male,1986.0,0.00217
18,Female,1986.0,0.00184
18,Male,1986.0,0.00245
19,Female,1986.0,0.00196
19,Male,1986.0,0.00268
20,Female,1986.0,0.00208
20,Male,1986.0,0.0029
21,Female,1986.0,0.00218
21,Male,1986.0,0.00308
22,Female,1986.0,0.00229
22,Male,1986.0,0.00324
23,Female,1986.0,0.00239
23,Male,1986.0,0.00335
24,Female,1986.0,0.0025
24,Male,1986.0,0.00345
25,Female,1986.0,0.00261
25,Male,1986.0,0.00352
26,Female,1986.0,0.00272
26,Male,1986.0,0.00361
27,Female,1986.0,0.00283
27,Male,1986.0,0.0037
28,Female,1986.0,0.00296
28,Male,1986.0,0.00381
29,Female,1986.0,0.00307
29,Male,1986.0,0.00393
30,Female,1986.0,0.00323
30,Male,1986.0,0.00411
31,Female,1986.0,0.00332
31,Male,1986.0,0.00423
32,Female,1986.0,0.00351
32,Male,1986.0,0.00446
33,Female,1986.0,0.00367
33,Male,1986.0,0.00466
34,Female,1986.0,0.00385
34,Male,1986.0,0.00488
35,Female,1986.0,0.00405
35,Male,1986.0,0.00516
36,Female,1986.0,0.00426
36,Male,1986.0,0.00541
37,Female,1986.0,0.00446
37,Male,1986.0,0.00569
38,Female,1986.0,0.00472
38,Male,1986.0,0.00602
39,Female,1986.0,0.00495
39,Male,1986.0,0.00633
40,Female,1986.0,0.00526
40,Male,1986.0,0.00674
41,Female,1986.0,0.00543
41,Male,1986.0,0.00701
42,Female,1986.0,0.00579
42,Male,1986.0,0.0075
43,Female,1986.0,0.00603
43,Male,1986.0,0.00787
44,Female,1986.0,0.00632
44,Male,1986.0,0.00833
45,Female,1986.0,0.00668
45,Male,1986.0,0.00889
46,Female,1986.0,0.00701
46,Male,1986.0,0.00938
47,Female,1986.0,0.00741
47,Male,1986.0,0.01
48,Female,1986.0,0.00794
48,Male,1986.0,0.01073
49,Female,1986.0,0.00845
49,Male,1986.0,0.01147
50,Female,1986.0,0.00916
50,Male,1986.0,0.01241
51,Female,1986.0,0.0096
51,Male,1986.0,0.01308
52,Female,1986.0,0.01041
52,Male,1986.0,0.01414
53,Female,1986.0,0.01102
53,Male,1986.0,0.01501
54,Female,1986.0,0.01177
54,Male,1986.0,0.01601
