AgeGrpStart,Sex,Time,mx
0,Female,2007.0,0.07276
0,Male,2007.0,0.08573
1,Female,2007.0,0.01379
1,Male,2007.0,0.01367
2,Female,2007.0,0.0087
2,Male,2007.0,0.0095
3,Female,2007.0,0.00573
3,Male,2007.0,0.00651
4,Female,2007.0,0.00397
4,Male,2007.0,0.00474
5,Female,2007.0,0.00295
5,Male,2007.0,0.00343
6,Female,2007.0,0.00248
6,Male,2007.0,0.00295
7,Female,2007.0,0.00225
7,Male,2007.0,0.00265
8,Female,2007.0,0.00207
8,Male,2007.0,0.00238
9,Female,2007.0,0.00199
9,Male,2007.0,0.00218
10,Female,2007.0,0.00196
10,Male,2007.0,0.00212
11,Female,2007.0,0.00194
11,Male,2007.0,0.00219
12,Female,2007.0,0.00206
12,Male,2007.0,0.00228
13,Female,2007.0,0.00232
13,Male,2007.0,0.00245
14,Female,2007.0,0.00268
14,Male,2007.0,0.00276
15,Female,2007.0,0.0032
15,Male,2007.0,0.00322
16,Female,2007.0,0.00365
16,Male,2007.0,0.00367
17,Female,2007.0,0.0043
17,Male,2007.0,0.0044
18,Female,2007.0,0.00504
18,Male,2007.0,0.00515
19,Female,2007.0,0.00579
19,Male,2007.0,0.00582
20,Female,2007.0,0.00667
20,Male,2007.0,0.00665
21,Female,2007.0,0.00735
21,Male,2007.0,0.00754
22,Female,2007.0,0.00839
22,Male,2007.0,0.00856
23,Female,2007.0,0.00945
23,Male,2007.0,0.0096
24,Female,2007.0,0.01055
24,Male,2007.0,0.01068
25,Female,2007.0,0.01177
25,Male,2007.0,0.01193
26,Female,2007.0,0.01306
26,Male,2007.0,0.01306
27,Female,2007.0,0.01432
27,Male,2007.0,0.01444
28,Female,2007.0,0.01534
28,Male,2007.0,0.01577
29,Female,2007.0,0.01661
29,Male,2007.0,0.01709
30,Female,2007.0,0.01751
30,Male,2007.0,0.01868
31,Female,2007.0,0.01844
31,Male,2007.0,0.01997
32,Female,2007.0,0.01952
32,Male,2007.0,0.02147
33,Female,2007.0,0.02048
33,Male,2007.0,0.02306
34,Female,2007.0,0.02156
34,Male,2007.0,0.02485
35,Female,2007.0,0.02288
35,Male,2007.0,0.02662
36,Female,2007.0,0.02371
36,Male,2007.0,0.02817
37,Female,2007.0,0.02459
37,Male,2007.0,0.02983
38,Female,2007.0,0.02519
38,Male,2007.0,0.03104
39,Female,2007.0,0.02586
39,Male,2007.0,0.03224
40,Female,2007.0,0.02624
40,Male,2007.0,0.03357
41,Female,2007.0,0.02698
41,Male,2007.0,0.03431
42,Female,2007.0,0.02691
42,Male,2007.0,0.03504
43,Female,2007.0,0.02754
43,Male,2007.0,0.03596
44,Female,2007.0,0.0281
44,Male,2007.0,0.03692
45,Female,2007.0,0.02878
45,Male,2007.0,0.03794
46,Female,2007.0,0.02953
46,Male,2007.0,0.03888
47,Female,2007.0,0.03034
47,Male,2007.0,0.03982
48,Female,2007.0,0.0311
48,Male,2007.0,0.04086
49,Female,2007.0,0.03206
49,Male,2007.0,0.04175
50,Female,2007.0,0.03271
50,Male,2007.0,0.04314
51,Female,2007.0,0.03376
51,Male,2007.0,0.0437
52,Female,2007.0,0.03427
52,Male,2007.0,0.04445
53,Female,2007.0,0.03515
53,Male,2007.0,0.04509
54,Female,2007.0,0.03603
54,Male,2007.0,0.04589
55,Female,2007.0,0.03721
55,Male,2007.0,0.0472
56,Female,2007.0,0.03834
56,Male,2007.0,0.0479
57,Female,2007.0,0.03977
57,Male,2007.0,0.04928
58,Female,2007.0,0.04111
58,Male,2007.0,0.05095
59,Female,2007.0,0.04295
59,Male,2007.0,0.05311
60,Female,2007.0,0.04447
60,Male,2007.0,0.05648
61,Female,2007.0,0.04727
61,Male,2007.0,0.05875
62,Female,2007.0,0.04947
62,Male,2007.0,0.06173
63,Female,2007.0,0.05248
63,Male,2007.0,0.06452
64,Female,2007.0,0.05577
64,Male,2007.0,0.06759
65,Female,2007.0,0.05946
65,Male,2007.0,0.07076
66,Female,2007.0,0.06119
66,Male,2007.0,0.07165
67,Female,2007.0,0.0628
67,Male,2007.0,0.07238
68,Female,2007.0,0.06443
68,Male,2007.0,0.07346
69,Female,2007.0,0.06661
69,Male,2007.0,0.0748
70,Female,2007.0,0.06825
70,Male,2007.0,0.07737
71,Female,2007.0,0.07077
71,Male,2007.0,0.07867
72,Female,2007.0,0.07295
72,Male,2007.0,0.08123
73,Female,2007.0,0.0753
73,Male,2007.0,0.08335
74,Female,2007.0,0.07772
74,Male,2007.0,0.08575
75,Female,2007.0,0.08011
75,Male,2007.0,0.08856
76,Female,2007.0,0.08245
76,Male,2007.0,0.09134
77,Female,2007.0,0.08458
77,Male,2007.0,0.09451
78,Female,2007.0,0.08739
78,Male,2007.0,0.09892
79,Female,2007.0,0.08939
79,Male,2007.0,0.10292
80,Female,2007.0,0.09304
80,Male,2007.0,0.10868
81,Female,2007.0,0.10077
81,Male,2007.0,0.11747
82,Female,2007.0,0.11297
82,Male,2007.0,0.12997
83,Female,2007.0,0.12462
83,Male,2007.0,0.14195
84,Female,2007.0,0.13797
84,Male,2007.0,0.15573
85,Female,2007.0,0.15122
85,Male,2007.0,0.16889
86,Female,2007.0,0.16628
86,Male,2007.0,0.18421
87,Female,2007.0,0.18089
87,Male,2007.0,0.19951
88,Female,2007.0,0.19714
88,Male,2007.0,0.21597
89,Female,2007.0,0.21378
89,Male,2007.0,0.23292
90,Female,2007.0,0.23451
90,Male,2007.0,0.25257
91,Female,2007.0,0.25008
91,Male,2007.0,0.27002
92,Female,2007.0,0.27294
92,Male,2007.0,0.29257
93,Female,2007.0,0.29476
93,Male,2007.0,0.31423
94,Female,2007.0,0.3184
94,Male,2007.0,0.33695
95,Female,2007.0,0.34412
95,Male,2007.0,0.36006
96,Female,2007.0,0.36855
96,Male,2007.0,0.38302
97,Female,2007.0,0.39254
97,Male,2007.0,0.40551
98,Female,2007.0,0.41589
98,Male,2007.0,0.42741
99,Female,2007.0,0.44636
99,Male,2007.0,0.45468
100,Female,2007.0,0.51001
100,Male,2007.0,0.51215
