condition,p_death,dur_condition,rel_sus,remission_rate,max_disease_duration,p_acquire,p_acquire_female,p_acquire_male,disease_type,affected_sex
AcuteHepatitis,0.000236771,0.085675715,5.98,0,1,1.26E-05,0.000102916,0.000344127,acute,both
AlcoholUseDisorder,0.000752214,2.007459995,2.47,,10,0.00011318,0.000377727,0.000108437,remitting,both
AlzheimersDisease,0.03624142,5.640977447,1,0,100,5.03E-05,0.000377727,0.000108437,chronic,both
AnxietyDisorder,0,6.311627545,,,10,0.000188492,0.000377727,0.000108437,remitting,both
Asthma,0.002501659,3.431942845,1.72,0,100,0.000457909,0.000377727,0.000108437,chronic,both
BipolarDisorder,0,,,,10,,,,remitting,both
BreastCancer,0.050909801,11.22661488,1.1,0,100,3.20E-05,0.000377727,0.000108437,chronic,both
CardiovascularDiseases,0.025945612,11.42413868,1.61,0,100,0.002593972,0.004693298,0.00205282,chronic,both
CervicalCancer,0.049967142,8.287150149,6.087,0,100,0.00010712,0.00010712,,chronic,female
ChromosomalAbnormalities,0.006165336,5.333208917,,0,120,,,,static,both
ChronicKidneyDisease,0.002567865,36.46495849,1.58,0,100,0.00411625,0.003450699,0.005424373,chronic,both
ChronicLiverDisease,0.000912527,22.00246165,1.5,0,100,0.008846503,0.006409535,0.010455729,chronic,both
ChronicPain,0,,,,10,,,,remitting,both
ColorectalCancer,0.162394554,4.958097563,0.9,0,100,1.26E-05,0.000377727,0.000108437,chronic,both
CongenitalHeartAnomalies,0.064838331,4.464413447,,0,1,,,,surgical,both
CongenitalMusculoskeletal,0.005889394,4.63236756,,0,1,,,,surgical,both
COPD,0.017707996,12.63204429,1.8,0,100,0.000655273,0.001585665,0.000655273,chronic,both
COVID19,0.0031,0.0766,1.07,0,1,1.26E-05,0.000377727,0.000108437,genericsis,both
Dementia,,,,0,100,,,,chronic,both
DiarrhealDiseases,0.000306184,0.015946609,2,0,1,1.26E-05,0.000377727,0.000108437,genericsir,both
DigestiveCongenitalAnomalies,0.134821464,7.148708252,,0,1,,,,surgical,both
DownSyndrome,0.027217814,15.40137473,,0,120,,,,static,both
DrugUseDisorder,0.002268725,6.013639245,,,10,2.43E-05,0.000377727,0.000108437,remitting,both
EsophagealCancer,0.442836874,2.149631238,,0,100,,,,chronic,both
Influenza,,,5.5,0,1,,,,genericsir,both
HPV,,,,0,1,,,,genericsis,both
Hyperlipidemia,0,,,0,100,,,,chronic,both
Hypertension,0,,0.93,0,100,0.022692877,0.022888558,0.015370084,chronic,both
InterpersonalViolence,0.055781274,3.37835597,1.28,0,1,0.002727533,0.002774294,0.002854934,surgical,both
LowerRespiratoryInfections,0.015667281,0.020927169,2,0,1,4.11E-05,0.00015518,0.000153614,genericsis,both
LungCancer,0.55228906,1.685370661,1.7,0,100,1.26E-05,,,chronic,both
MajorDepressiveDisorder,,0.628862222,4.04,,10,0.002427082,,,remitting,both
MaternalConditions,0.008479541,0.051732484,4,0,1,5.03E-05,,,acute,female
NeonatalEncephalopathy,0.655826526,2.245435978,,0,1,,,,acute,both
NeonatalJaundice,0.089933694,6.459207167,,0,1,,,,acute,both
NeonatalPretermBirth,0.081776828,2.530034254,,0,1,,,,acute,both
NeonatalSepsis,0.027574659,0.773590577,,0,1,,,,acute,both
NeuralTubeDefects,0.51060337,8.51522377,,0,1,,,,surgical,both
Obesity,0,,,0,100,,,,chronic,both
ParkinsonsDisease,0.044376891,5.529441455,,0,100,1.09E-05,,,chronic,both
ProstateCancer,0.149233451,5.409102467,2.9,0,100,1.26E-05,,,chronic,male
ProteinEnergyMalnutrition,0.026062454,1.239201939,,0,1,,,,acute,both
PTSD,,,,0,100,,,,chronic,both
RoadInjuries,0.065254396,1.699577046,1,0,1,0.002593972,,,surgical,both
SelfHarm,0.311284683,2.213186206,1,0,1,0.000824288,,,acute,both
TobaccoUse,0,,2.285,,10,,,,remitting,both
Tuberculosis,0.223067385,72.05391715,20,0,1,0.096246941,,,genericsir,both
Type1Diabetes,0.049242852,17.68472845,1.95,0,100,1.26E-05,,,chronic,both
Type2Diabetes,0.009269924,16.11858071,1.61,,10,0.004021962,0.005973683,0.005543246,remitting,both
