Age,Year,BipolarDisorder_male,BipolarDisorder_female,NeonatalEncephalopathy_male,NeonatalEncephalopathy_female,Obesity_male,Obesity_female,CongenitalMusculoskeletal_male,CongenitalMusculoskeletal_female,PTSD_male,PTSD_female,AlcoholUseDisorder_male,AlcoholUseDisorder_female,Hypertension_male,Hypertension_female,ChronicKidneyDisease_male,ChronicKidneyDisease_female,CongenitalHeartAnomalies_male,CongenitalHeartAnomalies_female,NeuralTubeDefects_male,NeuralTubeDefects_female,TobaccoUse_male,TobaccoUse_female,ColorectalCancer_male,ColorectalCancer_female,COPD_male,COPD_female,BreastCancer_male,BreastCancer_female,AlzheimersDisease_male,AlzheimersDisease_female,CardiovascularDiseases_male,CardiovascularDiseases_female,ParkinsonsDisease_male,ParkinsonsDisease_female,DownSyndrome_male,DownSyndrome_female,EsophagealCancer_male,EsophagealCancer_female,Dementia_male,Dementia_female,DrugUseDisorder_male,DrugUseDisorder_female,COVID19_male,COVID19_female,Tuberculosis_male,Tuberculosis_female,RoadInjuries_male,RoadInjuries_female,ChromosomalAbnormalities_male,ChromosomalAbnormalities_female,NeonatalJaundice_male,NeonatalJaundice_female,Type2Diabetes_male,Type2Diabetes_female,ProstateCancer_male,ProstateCancer_female,DiarrhealDiseases_male,DiarrhealDiseases_female,Type1Diabetes_male,Type1Diabetes_female,LowerRespiratoryInfections_male,LowerRespiratoryInfections_female,MaternalConditions_male,MaternalConditions_female,DigestiveCongenitalAnomalies_male,DigestiveCongenitalAnomalies_female,Hyperlipidemia_male,Hyperlipidemia_female,AnxietyDisorder_male,AnxietyDisorder_female,InterpersonalViolence_male,InterpersonalViolence_female,SelfHarm_male,SelfHarm_female,NeonatalPretermBirth_male,NeonatalPretermBirth_female,NeonatalSepsis_male,NeonatalSepsis_female,LungCancer_male,LungCancer_female,Flu_male,Flu_female,Asthma_male,Asthma_female,ChronicLiverDisease_male,ChronicLiverDisease_female,ProteinEnergyMalnutrition_male,ProteinEnergyMalnutrition_female,HPV_male,HPV_female,MajorDepressiveDisorder_male,MajorDepressiveDisorder_female,CervicalCancer_male,CervicalCancer_female,AcuteHepatitis_male,AcuteHepatitis_female
0,2007,0,0,0.001638516,0.001213835,,,0.007710802,0.007704588,,,0.000482283,0.000523915,,,0.000456662,0.000271629,0.006949292,0.008395053,0.000364714,0.000383105,,,0,0,0,0,0,0,0,0,0.005390048,0.003423212,0,0,0.000603701,0.000560629,0,0,,,0.000458621,0.000124844,0,0,0.167047912,0.159467972,0.001591461,0.001876075,0.002972702,0.001554495,0.001705048,0.001708765,0,0,0,0,0.026465185,0.021522974,9.80E-06,9.96E-06,0.00445815,0.003652891,0,0,0.00170951,0.002731981,,,0.001001522,0.001121326,0.001713191,0.00154597,0,0,0.034846746,0.02242725,0.004537765,0.00370702,0,0,,,0.021927005,0.029547033,0.011952389,0.010080078,0.024503857,0.020984969,,,,,,0,0.016981721,0.015974451
5,2007,0,0,0.000944159,0.000730862,,,0.003000627,0.003167095,,,0.000518634,0.000540166,,,0.002590333,0.002503041,0.002885286,0.003383265,0.000274968,0.000287787,,,0,0,0,0,0,0,0,0,0.01101482,0.009416996,0,0,0.000540533,0.00049932,0,0,,,0,0,0,0,0.188858174,0.177714644,0.002550202,0.00232128,0.001473398,0.000857526,0.001225495,0.001264622,0,0,0,0,0.028378633,0.016295275,5.38E-05,5.45E-05,0.001274882,0.001155115,0,0,0.000900982,0.001438521,,,0.022303313,0.027546779,0.007406257,0.011636894,0,0,0.008743882,0.006067383,0.002036773,0.001813283,0,0,,,0.042744052,0.041200515,0.018334157,0.015501161,0.002124425,0.0014578,,,,,,0,0.003285886,0.002591049
10,2007,0.0008591,0.000885678,0.000848759,0.000666015,,,0.002764342,0.002939235,,,0.001242196,0.000790379,,,0.015208611,0.015165381,0.002171321,0.002693078,0.000240415,0.00025175,,,0,0,0,0,0,0,0,0,0.014067861,0.012625727,0,0,0.000519407,0.000477179,0,0,,,1.09E-05,8.54E-06,0,0,0.283687147,0.246364261,0.004110145,0.003145746,0.001107449,0.000661474,0.001109957,0.001149523,0,0,0,0,0.040160556,0.018672093,0.0001069,0.000106027,0.000451307,0.000431269,0,7.56E-05,0.000577737,0.000902454,,,0.042291424,0.061660161,0.013388002,0.0247019,7.48E-05,9.91E-05,0.008426668,0.005827904,0.001850939,0.001670522,0,0,,,0.061017215,0.062477049,0.079193675,0.062760321,0.001670456,0.001163217,,,,,,0,0.002998835,0.00179098
15,2007,0.004210939,0.004364895,0.000754688,0.000592287,,,0.002236498,0.00242474,,,0.011042424,0.002890216,,,0.041531185,0.04106292,0.001952273,0.002535576,0.000206105,0.000217245,,,5.13E-06,1.96E-05,0.002851606,0.002526752,3.17E-06,4.01E-05,0,0,0.020725567,0.02126714,0,0,0.000478507,0.000443578,0,0,,,0.016925591,0.006347889,0,0,0.386247803,0.329899562,0.0086301,0.004685921,0.00094623,0.00066946,0.0009747,0.001021882,0.012424181,0.010185019,0,0,0.029003881,0.013281876,0.0001327,0.000131143,0.000382289,0.000366782,0,0.003302778,0.000399754,0.000618085,,,0.041850507,0.060242611,0.029132633,0.046994474,0.000433481,0.000464081,0.007904016,0.005509772,0.001679487,0.001525503,5.68E-07,1.34E-06,,,0.045503687,0.052219892,0.17640175,0.128688678,0.001959858,0.001354769,,,,,,0.000639286,0.004109431,0.002216671
20,2007,0.005839789,0.006096189,0.000677879,0.000515927,,,0.001481553,0.001586331,,,0.035372092,0.006631302,,,0.064723582,0.064254735,0.001799749,0.002391536,0.000171814,0.000178363,,,1.58E-05,7.74E-05,0.00480074,0.004076476,6.26E-06,0.000308463,0,0,0.02772479,0.031340364,2.34E-06,1.09E-06,0.000412413,0.000381383,4.59E-06,8.37E-06,,,0.022454622,0.013350332,0,0,0.41082761,0.340965426,0.017821535,0.006914138,0.000628281,0.000734409,0.000859533,0.000899688,0.020270311,0.015006093,9.82E-06,0,0.021892254,0.009823778,0.000159811,0.000158053,0.000415584,0.000383624,0,0.00504604,0.000299528,0.00046195,,,0.036258825,0.050398543,0.053493299,0.058575623,0.001289247,0.001087617,0.007551873,0.00518876,0.001541635,0.001372639,1.33E-06,4.54E-06,,,0.030790634,0.037189053,0.249276278,0.181409321,0.002267034,0.001561848,,,,,,0.005089103,0.004800664,0.002525937
25,2007,0.006341195,0.006658377,0.000608518,0.000434141,,,0.001293376,0.001382623,,,0.05299757,0.008421707,,,0.078091431,0.077453725,0.001721057,0.002278544,0.000136513,0.000136339,,,7.71E-05,0.000295168,0.006943076,0.005871383,3.52E-05,0.002085757,0,0,0.035099078,0.041566958,1.59E-05,7.49E-06,0.000281623,0.000243429,2.06E-05,3.39E-05,,,0.019054738,0.014228055,0,0,0.394885396,0.326423439,0.028687577,0.009387011,0.000414385,0.000394834,0.000767033,0.000811106,0.02867391,0.020322848,2.72E-05,0,0.021094862,0.009285077,0.000184069,0.000182901,0.000574708,0.000502003,0,0.00510781,0.000240197,0.000372155,,,0.033649171,0.045860358,0.068722801,0.059916874,0.002222014,0.001632145,0.007339266,0.004987632,0.001412614,0.001193499,8.86E-06,2.03E-05,,,0.02761076,0.040530958,0.313556377,0.232230813,0.002586613,0.001782044,,,,,,0.022937694,0.00522754,0.002696391
30,2007,0.006429155,0.006770466,0.000537178,0.00035913,,,0.001259878,0.001350949,,,0.0626803,0.009219651,0.237519917,0.214257215,0.090850587,0.090772197,0.001676719,0.002211844,0.000108257,0.000105097,,,0.000252608,0.000607692,0.009039071,0.007751552,8.29E-05,0.006527478,0,0,0.04298451,0.051219329,4.46E-05,2.07E-05,0.000156988,0.000119042,8.76E-05,7.78E-05,,,0.012907493,0.011247419,0,0,0.403777032,0.341494061,0.040804158,0.01225848,0.000279983,0.000235379,0.000656569,0.000716285,0.038352848,0.027326843,6.15E-05,0,0.020430964,0.008793726,0.000205925,0.000205325,0.000734383,0.000619949,0,0.005402925,0.000202928,0.000315851,,,0.032594037,0.044442084,0.079096071,0.062097706,0.003132867,0.002137091,0.007080738,0.004743778,0.00127699,0.001019556,3.78E-05,5.07E-05,,,0.029450409,0.051573442,0.367951896,0.270881818,0.002921818,0.002011674,,,,,,0.050629214,0.005103659,0.002547644
35,2007,0.006634988,0.007015826,0.000445316,0.000299611,,,0.00123859,0.001329793,,,0.068412512,0.009686886,0.277175792,0.294089797,0.101336095,0.101960719,0.001668247,0.002138059,8.79E-05,8.22E-05,,,0.000360719,0.000690395,0.01103156,0.009642515,0.000124321,0.008891751,0,0,0.053326307,0.061894016,9.47E-05,4.25E-05,9.82E-05,6.79E-05,0.00016478,0.000107311,,,0.009688258,0.008420772,0,0,0.428630108,0.372886685,0.053070511,0.015340291,0.000199487,0.00015671,0.000537501,0.000612555,0.050923729,0.038567672,0.000102182,0,0.019819261,0.008316955,0.000222727,0.000222418,0.000894218,0.00073585,0,0.004560728,0.000176906,0.000277144,,,0.032290097,0.044614585,0.083342079,0.059580342,0.003877933,0.002544543,0.006863891,0.004602915,0.001107559,0.000886559,7.31E-05,6.71E-05,,,0.034329392,0.058448086,0.408115948,0.302075152,0.003272986,0.002249289,,,,,,0.050426526,0.004930473,0.002494234
40,2007,0.006970377,0.007408468,0.000368338,0.000256883,,,0.001223339,0.001314337,,,0.071782027,0.009955363,0.327541335,0.387677338,0.109833906,0.11005617,0.001597679,0.00208304,7.05E-05,6.47E-05,,,0.000431276,0.000571292,0.014506433,0.01245568,0.000150225,0.008500946,0.000159884,0.00018516,0.071170489,0.076733177,0.000172413,7.66E-05,7.16E-05,4.79E-05,0.000332566,0.000182183,,,0.008267857,0.006355,0,0,0.437291664,0.38965529,0.065943233,0.018961124,0.000148767,0.000114849,0.000428094,0.000516651,0.06677178,0.053996989,0.000260937,0,0.019224954,0.007850564,0.000233579,0.000233402,0.001177864,0.000909069,0,0.003056819,0.00015851,0.000250334,,,0.032247019,0.045578632,0.088224883,0.056773333,0.004511111,0.00296361,0.00671178,0.004505586,0.000960804,0.000789961,0.00013289,6.67E-05,,,0.040705454,0.064293811,0.441695936,0.327475058,0.003636861,0.002494875,,,,,,0.030227327,0.004632701,0.002334763
45,2007,0.007166505,0.007632856,0.000325385,0.000229249,,,0.001208232,0.001298899,,,0.069645318,0.009802135,0.385757942,0.485146513,0.123376056,0.124446006,0.001564901,0.002071502,5.74E-05,5.18E-05,,,0.000562084,0.000589066,0.024863727,0.019480297,0.000182529,0.007901301,0.001006201,0.001176997,0.091388248,0.091674307,0.000297537,0.000136846,4.67E-05,3.00E-05,0.000608564,0.000233664,,,0.007479819,0.005863585,0,0,0.43912543,0.401575927,0.078014582,0.022662153,0.000104475,7.84E-05,0.000326058,0.000428742,0.086665783,0.071985295,0.000838409,0,0.018633208,0.007393494,0.000239174,0.000239192,0.001629697,0.001161343,0,0.001565647,0.000145564,0.00023246,,,0.032342725,0.046352805,0.093491834,0.052354731,0.005111331,0.003362256,0.006641793,0.004452593,0.00086917,0.00071801,0.000235066,8.47E-05,,,0.045242462,0.074864703,0.472258275,0.350765478,0.004012846,0.00274873,,,,,,0.01739148,0.004251443,0.002170047
