has_condition,Type1Diabetes,Type2Diabetes,Hypertension,Obesity,MajorDepressiveDisorder,RoadInjuries,AlzheimersDisease,InterpersonalViolence,CardiovascularDiseases,ChronicLiverDisease,Asthma,ChronicKidneyDisease,Flu,HPV,CervicalCancer,ColorectalCancer,BreastCancer,LungCancer,ProstateCancer,ParkinsonsDisease,TobaccoUse,AlcoholUseDisorder,ViralHepatitis,HIV,Hyperlipidemia,Dementia,PTSD,COPD,StimulantUseDisorder,OpioidUseDisorder,AnxietyDisorder,ChronicPain,NeonatalEncephalopathy,NeonatalPretermBirth,NeonatalSepsis,NeonatalJaundice,DiarrhealDisease,CongenitalHeartAnomalies,CongenitalMusculoskeletal,DigestiveCongenitalAnomalies,DownSyndrome,NeuralTubeDefects,ChromosomalAbnormalities,EsophagealCancer,ProteinEnergyMalnutrition,COVID19,LowerRespiratoryInfections,Tuberculosis,MaternalConditions,BipolarDisorder,SelfHarm
Type1Diabetes,,1.0,3.3,,,1.0,1.0,,2.47,1.0,1.0,,1.0,,1.0,1.3,1.2,1.11,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type2Diabetes,1.0,,3.3,,,1.0,1.0,1.0,2.47,1.0,1.0,,1.0,,1.0,1.3,1.2,1.11,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0
Hypertension,,1.0,,,,1.0,1.0,1.0,1.44,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0
Obesity,1.0,7.37,1.87,,,1.0,1.54,1.0,1.23,1.74,1.0,,1.0,,1.0,1.38,1.25,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0
MajorDepressiveDisorder,1.0,1.37,1.42,,,19.5,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,19.5
RoadInjuries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlzheimersDisease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterpersonalViolence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CardiovascularDiseases,,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.3,,1.0
ChronicLiverDisease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
