measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Eswatini,Male,All ages,Upper respiratory infections,Percent,1990,0.023956434,0.027988006,0.020670947
Prevalence,Eswatini,Female,All ages,Upper respiratory infections,Percent,1990,0.023611212,0.027611119,0.020378631
Prevalence,Eswatini,Both,All ages,Upper respiratory infections,Percent,1990,0.023774647,0.027804704,0.020521504
Prevalence,Eswatini,Male,All ages,Upper respiratory infections,Percent,1991,0.023870844,0.027827289,0.020648474
Prevalence,Eswatini,Female,All ages,Upper respiratory infections,Percent,1991,0.023570938,0.027540854,0.020523928
Prevalence,Eswatini,Both,All ages,Upper respiratory infections,Percent,1991,0.023712925,0.027695943,0.020439754
Prevalence,Eswatini,Male,All ages,Upper respiratory infections,Percent,1992,0.023784876,0.027677459,0.020508466
Prevalence,Eswatini,Female,All ages,Upper respiratory infections,Percent,1992,0.023522064,0.027457612,0.020425634
Prevalence,Eswatini,Both,All ages,Upper respiratory infections,Percent,1992,0.02364648,0.027548441,0.020424356
Prevalence,Eswatini,Male,All ages,Upper respiratory infections,Percent,1993,0.023700369,0.027627525,0.020408798
Prevalence,Eswatini,Female,All ages,Upper respiratory infections,Percent,1993,0.023465432,0.027417617,0.020380303
Prevalence,Eswatini,Both,All ages,Upper respiratory infections,Percent,1993,0.023576631,0.027401765,0.020355751
Prevalence,Eswatini,Male,All ages,Upper respiratory infections,Percent,1994,0.023619257,0.027484088,0.020280775
Prevalence,Eswatini,Female,All ages,Upper respiratory infections,Percent,1994,0.023401646,0.027328429,0.020209892
Prevalence,Eswatini,Both,All ages,Upper respiratory infections,Percent,1994,0.023504614,0.027295883,0.020334547
Prevalence,Eswatini,Male,All ages,Upper respiratory infections,Percent,1995,0.02354471,0.027373277,0.020199071
Prevalence,Eswatini,Female,All ages,Upper respiratory infections,Percent,1995,0.023332109,0.027224799,0.020089392
Prevalence,Eswatini,Both,All ages,Upper respiratory infections,Percent,1995,0.023432665,0.027119805,0.020256114
Prevalence,Eswatini,Male,All ages,Upper respiratory infections,Percent,1996,0.02350978,0.027279209,0.020272451
Prevalence,Eswatini,Female,All ages,Upper respiratory infections,Percent,1996,0.023276999,0.027104232,0.020189836
Prevalence,Eswatini,Both,All ages,Upper respiratory infections,Percent,1996,0.023387026,0.027074682,0.02027614
Prevalence,Eswatini,Male,All ages,Upper respiratory infections,Percent,1997,0.023528306,0.027206144,0.020390605
Prevalence,Eswatini,Female,All ages,Upper respiratory infections,Percent,1997,0.023246081,0.026962868,0.020311176
Prevalence,Eswatini,Both,All ages,Upper respiratory infections,Percent,1997,0.023379313,0.027008987,0.02032442
Prevalence,Eswatini,Male,All ages,Upper respiratory infections,Percent,1998,0.023570548,0.027238243,0.020502938
Prevalence,Eswatini,Female,All ages,Upper respiratory infections,Percent,1998,0.02322439,0.026917301,0.020302098
Prevalence,Eswatini,Both,All ages,Upper respiratory infections,Percent,1998,0.023387551,0.027001223,0.020433927
Prevalence,Eswatini,Male,All ages,Upper respiratory infections,Percent,1999,0.023605086,0.027272526,0.020399486
Prevalence,Eswatini,Female,All ages,Upper respiratory infections,Percent,1999,0.023194979,0.026862939,0.020251039
Prevalence,Eswatini,Both,All ages,Upper respiratory infections,Percent,1999,0.023387989,0.027053285,0.020431372
Prevalence,Eswatini,Male,All ages,Upper respiratory infections,Percent,2000,0.023599175,0.027507029,0.020312757
Prevalence,Eswatini,Female,All ages,Upper respiratory infections,Percent,2000,0.023140721,0.02677327,0.02011431
Prevalence,Eswatini,Both,All ages,Upper respiratory infections,Percent,2000,0.023356244,0.026926848,0.020312091
Prevalence,Eswatini,Male,All ages,Upper respiratory infections,Percent,2001,0.023464034,0.027048478,0.020300895
Prevalence,Eswatini,Female,All ages,Upper respiratory infections,Percent,2001,0.022985562,0.026483652,0.020107337
Prevalence,Eswatini,Both,All ages,Upper respiratory infections,Percent,2001,0.023210311,0.026690119,0.020300338
Prevalence,Eswatini,Male,All ages,Upper respiratory infections,Percent,2002,0.023198548,0.026694415,0.020284428
Prevalence,Eswatini,Female,All ages,Upper respiratory infections,Percent,2002,0.022722058,0.026213131,0.019989326
Prevalence,Eswatini,Both,All ages,Upper respiratory infections,Percent,2002,0.022945729,0.026369177,0.020166609
Prevalence,Eswatini,Male,All ages,Upper respiratory infections,Percent,2003,0.022895764,0.026240414,0.020142908
Prevalence,Eswatini,Female,All ages,Upper respiratory infections,Percent,2003,0.022431466,0.025896074,0.019819049
Prevalence,Eswatini,Both,All ages,Upper respiratory infections,Percent,2003,0.022649336,0.026086531,0.019982095
Prevalence,Eswatini,Male,All ages,Upper respiratory infections,Percent,2004,0.022640873,0.026001873,0.01998674
Prevalence,Eswatini,Female,All ages,Upper respiratory infections,Percent,2004,0.022187874,0.025580992,0.019679067
Prevalence,Eswatini,Both,All ages,Upper respiratory infections,Percent,2004,0.022400441,0.025769041,0.019857114
Prevalence,Eswatini,Male,All ages,Upper respiratory infections,Percent,2005,0.022515254,0.025982976,0.019858884
Prevalence,Eswatini,Female,All ages,Upper respiratory infections,Percent,2005,0.022062824,0.02530309,0.019579107
Prevalence,Eswatini,Both,All ages,Upper respiratory infections,Percent,2005,0.022275233,0.025690338,0.019671388
Prevalence,Eswatini,Male,All ages,Upper respiratory infections,Percent,2006,0.022475241,0.025830903,0.019811603
Prevalence,Eswatini,Female,All ages,Upper respiratory infections,Percent,2006,0.022021899,0.025240611,0.019489796
Prevalence,Eswatini,Both,All ages,Upper respiratory infections,Percent,2006,0.022234955,0.025625198,0.019644895
Prevalence,Eswatini,Male,All ages,Upper respiratory infections,Percent,2007,0.022426058,0.025708588,0.01973236
Prevalence,Eswatini,Female,All ages,Upper respiratory infections,Percent,2007,0.021981211,0.025257638,0.019460774
Prevalence,Eswatini,Both,All ages,Upper respiratory infections,Percent,2007,0.022190545,0.02550773,0.019550688
Prevalence,Eswatini,Male,All ages,Upper respiratory infections,Percent,2008,0.022375257,0.025595284,0.019663584
Prevalence,Eswatini,Female,All ages,Upper respiratory infections,Percent,2008,0.021940057,0.025110685,0.019369719
Prevalence,Eswatini,Both,All ages,Upper respiratory infections,Percent,2008,0.022145136,0.025330871,0.019450788
Prevalence,Eswatini,Male,All ages,Upper respiratory infections,Percent,2009,0.022331918,0.025490638,0.019640107
Prevalence,Eswatini,Female,All ages,Upper respiratory infections,Percent,2009,0.021900659,0.025079706,0.019286913
Prevalence,Eswatini,Both,All ages,Upper respiratory infections,Percent,2009,0.022104181,0.025276235,0.019386522
Prevalence,Eswatini,Male,All ages,Upper respiratory infections,Percent,2010,0.022306398,0.025524934,0.019589021
Prevalence,Eswatini,Female,All ages,Upper respiratory infections,Percent,2010,0.021867034,0.025103051,0.019224545
Prevalence,Eswatini,Both,All ages,Upper respiratory infections,Percent,2010,0.022074723,0.025233577,0.019341731
Prevalence,Eswatini,Male,All ages,Upper respiratory infections,Percent,2011,0.022383841,0.025577925,0.01972004
Prevalence,Eswatini,Female,All ages,Upper respiratory infections,Percent,2011,0.021915059,0.025105057,0.019275497
Prevalence,Eswatini,Both,All ages,Upper respiratory infections,Percent,2011,0.02213707,0.025263444,0.019501032
Prevalence,Eswatini,Male,All ages,Upper respiratory infections,Percent,2012,0.022584189,0.025860033,0.019902626
Prevalence,Eswatini,Female,All ages,Upper respiratory infections,Percent,2012,0.022067475,0.025350797,0.019440646
Prevalence,Eswatini,Both,All ages,Upper respiratory infections,Percent,2012,0.022312677,0.02552904,0.019618934
Prevalence,Eswatini,Male,All ages,Upper respiratory infections,Percent,2013,0.022820983,0.026103205,0.019980495
Prevalence,Eswatini,Female,All ages,Upper respiratory infections,Percent,2013,0.022250586,0.025570507,0.019493418
Prevalence,Eswatini,Both,All ages,Upper respiratory infections,Percent,2013,0.022521841,0.025834429,0.019682931
Prevalence,Eswatini,Male,All ages,Upper respiratory infections,Percent,2014,0.0230102,0.026423563,0.02000343
Prevalence,Eswatini,Female,All ages,Upper respiratory infections,Percent,2014,0.022392929,0.025772481,0.019411253
Prevalence,Eswatini,Both,All ages,Upper respiratory infections,Percent,2014,0.022687153,0.026069163,0.019794325
Prevalence,Eswatini,Male,All ages,Upper respiratory infections,Percent,2015,0.023073399,0.026643297,0.020008715
Prevalence,Eswatini,Female,All ages,Upper respiratory infections,Percent,2015,0.022426909,0.025882451,0.019308513
Prevalence,Eswatini,Both,All ages,Upper respiratory infections,Percent,2015,0.022735813,0.026146125,0.019736724
Prevalence,Eswatini,Male,All ages,Upper respiratory infections,Percent,2016,0.023049643,0.026607205,0.019974382
Prevalence,Eswatini,Female,All ages,Upper respiratory infections,Percent,2016,0.022375415,0.025869456,0.019374134
Prevalence,Eswatini,Both,All ages,Upper respiratory infections,Percent,2016,0.02269831,0.026103212,0.019699629
Prevalence,Eswatini,Male,All ages,Upper respiratory infections,Percent,2017,0.023023102,0.026508641,0.019989211
Prevalence,Eswatini,Female,All ages,Upper respiratory infections,Percent,2017,0.022310127,0.025886161,0.019292646
Prevalence,Eswatini,Both,All ages,Upper respiratory infections,Percent,2017,0.0226523,0.026215954,0.019754452
Prevalence,Eswatini,Male,All ages,Upper respiratory infections,Percent,2018,0.022984798,0.026502147,0.020027075
Prevalence,Eswatini,Female,All ages,Upper respiratory infections,Percent,2018,0.022237282,0.025678056,0.019194125
Prevalence,Eswatini,Both,All ages,Upper respiratory infections,Percent,2018,0.022596737,0.026278352,0.019692076
Prevalence,Eswatini,Male,All ages,Upper respiratory infections,Percent,2019,0.022920785,0.026631661,0.019991581
Prevalence,Eswatini,Female,All ages,Upper respiratory infections,Percent,2019,0.022159153,0.025536876,0.019183506
Prevalence,Eswatini,Both,All ages,Upper respiratory infections,Percent,2019,0.022526095,0.026174543,0.01959418
Prevalence,Eswatini,Male,All ages,Upper respiratory infections,Percent,2020,0.022715731,0.026526511,0.019876254
Prevalence,Eswatini,Female,All ages,Upper respiratory infections,Percent,2020,0.022052883,0.025411425,0.019294389
Prevalence,Eswatini,Both,All ages,Upper respiratory infections,Percent,2020,0.022372821,0.025929125,0.019632403
Prevalence,Eswatini,Male,All ages,Upper respiratory infections,Percent,2021,0.022649706,0.026201626,0.019816621
Prevalence,Eswatini,Female,All ages,Upper respiratory infections,Percent,2021,0.021949519,0.025368996,0.01908293
Prevalence,Eswatini,Both,All ages,Upper respiratory infections,Percent,2021,0.022288114,0.025673325,0.019476802
Prevalence,Eswatini,Male,Age-standardized,Upper respiratory infections,Percent,1990,0.020291336,0.023208611,0.017764098
Prevalence,Eswatini,Female,Age-standardized,Upper respiratory infections,Percent,1990,0.020518246,0.023507449,0.018067917
Prevalence,Eswatini,Both,Age-standardized,Upper respiratory infections,Percent,1990,0.020409387,0.02330058,0.017858355
Prevalence,Eswatini,Male,Age-standardized,Upper respiratory infections,Percent,1991,0.020269712,0.023195377,0.017939051
Prevalence,Eswatini,Female,Age-standardized,Upper respiratory infections,Percent,1991,0.020536167,0.02352029,0.018099738
Prevalence,Eswatini,Both,Age-standardized,Upper respiratory infections,Percent,1991,0.020408382,0.023289933,0.017913305
Prevalence,Eswatini,Male,Age-standardized,Upper respiratory infections,Percent,1992,0.020252204,0.023181984,0.017902892
Prevalence,Eswatini,Female,Age-standardized,Upper respiratory infections,Percent,1992,0.020551728,0.023534689,0.018041634
Prevalence,Eswatini,Both,Age-standardized,Upper respiratory infections,Percent,1992,0.02040824,0.023310101,0.017916125
