age,sex,1951,1953,1955,1957,1959,1961,1963,1965,1967,1969,1971,1973,1975,1977,1979,1981,1983,1985,1987,1989,1991,1993,1995,1997,1999,2001,2003,2005,2007,2009,2011,2013,2015,2017,2019,2021,2023
0,Male,6.243,6.450,6.681,6.942,7.243,7.576,7.939,8.328,8.858,9.508,10.247,11.020,11.849,12.712,13.531,14.355,15.085,15.779,16.144,16.665,17.282,17.713,16.469,15.670,15.954,16.107,16.091,16.505,16.638,16.398,15.794,15.389,15.163,15.048,14.913,14.724,14.528
1,Male,5.628,5.880,6.092,6.332,6.606,6.915,7.258,7.623,7.993,8.454,9.150,9.887,10.671,11.560,12.397,13.205,14.003,14.946,15.670,16.069,16.761,17.218,16.833,15.029,15.042,15.359,15.179,15.449,15.705,15.783,15.253,14.940,14.686,14.572,14.569,14.489,14.448
2,Male,4.999,5.546,5.750,5.977,6.232,6.524,6.850,7.213,7.533,7.800,8.420,9.133,9.884,10.749,11.635,12.437,13.253,14.153,15.356,15.816,16.329,16.880,16.855,15.685,14.497,14.884,14.916,14.780,15.246,15.272,15.071,14.719,14.521,14.405,14.270,14.346,14.357
3,Male,4.523,5.258,5.507,5.720,5.961,6.232,6.542,6.890,7.243,7.454,7.910,8.597,9.329,10.127,11.033,11.861,12.664,13.521,14.801,15.576,15.955,16.599,16.698,16.455,14.511,14.546,14.854,14.510,14.795,14.967,14.986,14.569,14.432,14.265,14.098,14.229,14.265
4,Male,4.308,4.783,5.315,5.520,5.745,5.999,6.290,6.620,6.978,7.251,7.523,8.141,8.853,9.605,10.451,11.333,12.133,12.998,14.053,15.314,15.756,16.228,16.479,16.576,15.282,14.291,14.622,14.598,14.363,14.746,14.751,14.506,14.277,14.178,14.044,14.023,14.182
5,Male,4.083,4.388,5.107,5.353,5.566,5.805,6.075,6.388,6.733,7.063,7.278,7.736,8.423,9.149,9.914,10.815,11.639,12.481,13.457,14.786,15.542,15.890,16.279,16.481,15.956,14.362,14.356,14.692,14.201,14.399,14.548,14.482,14.109,14.093,13.939,13.876,14.095
6,Male,3.879,4.213,4.681,5.206,5.410,5.634,5.887,6.181,6.508,6.851,7.125,7.400,8.017,8.725,9.444,10.284,11.160,11.992,12.953,14.052,15.294,15.708,15.968,16.305,16.071,14.978,14.201,14.498,14.419,14.055,14.370,14.348,14.037,13.919,13.879,13.844,13.909
7,Male,3.701,4.013,4.314,5.023,5.270,5.481,5.719,5.991,6.299,6.628,6.958,7.174,7.632,8.318,9.019,9.779,10.675,11.524,12.447,13.460,14.773,15.504,15.671,16.132,15.993,15.486,14.282,14.248,14.592,13.953,14.081,14.204,14.040,13.726,13.821,13.757,13.777
8,Male,3.550,3.823,4.155,4.619,5.138,5.341,5.564,5.819,6.103,6.405,6.746,7.020,7.295,7.917,8.618,9.333,10.168,11.065,11.964,12.957,14.042,15.261,15.520,15.840,15.830,15.553,14.713,14.157,14.390,14.199,13.796,14.038,13.983,13.644,13.670,13.713,13.757
9,Male,3.423,3.656,3.965,4.265,4.968,5.212,5.422,5.662,5.920,6.186,6.512,6.839,7.053,7.526,8.226,8.924,9.680,10.593,11.502,12.451,13.451,14.745,15.342,15.559,15.628,15.471,15.037,14.228,14.129,14.374,13.732,13.791,13.882,13.669,13.496,13.668,13.679
10,Male,3.317,3.511,3.782,4.112,4.573,5.087,5.290,5.515,5.746,5.969,6.265,6.602,6.870,7.171,7.832,8.528,9.239,10.094,11.045,11.968,12.950,14.017,15.117,15.423,15.273,15.301,15.047,14.467,14.073,14.126,13.986,13.559,13.724,13.675,13.426,13.527,13.641
11,Male,3.229,3.389,3.619,3.927,4.226,4.923,5.166,5.378,5.584,5.753,6.012,6.330,6.649,6.898,7.436,8.131,8.825,9.605,10.577,11.506,12.445,13.429,14.609,15.245,14.947,15.028,14.955,14.600,14.114,13.786,14.157,13.527,13.513,13.589,13.451,13.354,13.599
12,Male,3.162,3.285,3.477,3.747,4.075,4.532,5.043,5.248,5.432,5.547,5.761,6.046,6.371,6.681,7.067,7.721,8.413,9.156,10.082,11.054,11.966,12.927,13.876,15.011,14.758,14.581,14.771,14.547,14.161,13.687,13.852,13.786,13.329,13.435,13.449,13.278,13.453
13,Male,3.095,3.196,3.355,3.583,3.889,4.184,4.876,5.121,5.287,5.356,5.514,5.761,6.065,6.428,6.774,7.304,7.992,8.727,9.599,10.597,11.511,12.425,13.259,14.491,14.552,14.177,14.420,14.437,14.140,13.686,13.418,13.947,13.326,13.249,13.348,13.295,13.271
14,Male,3.008,3.127,3.248,3.438,3.704,4.027,4.480,4.991,5.148,5.178,5.282,5.481,5.751,6.122,6.534,6.910,7.557,8.297,9.156,10.122,11.073,11.949,12.702,13.742,14.303,13.926,13.877,14.232,14.022,13.659,13.266,13.582,13.588,13.093,13.172,13.278,13.178
15,Male,2.913,3.054,3.153,3.309,3.532,3.831,4.122,4.815,5.012,5.014,5.070,5.212,5.441,5.792,6.260,6.592,7.114,7.858,8.734,9.668,10.636,11.501,12.115,13.104,13.790,13.694,13.389,13.799,13.891,13.577,13.222,13.049,13.734,13.095,12.954,13.156,13.166
16,Male,2.829,2.960,3.075,3.193,3.378,3.635,3.951,4.410,4.873,4.862,4.880,4.966,5.147,5.461,5.933,6.329,6.696,7.406,8.312,9.261,10.186,11.071,11.528,12.524,13.084,13.433,13.069,13.150,13.664,13.400,13.138,12.839,13.306,13.344,12.760,12.955,13.113
17,Male,2.756,2.856,2.994,3.088,3.237,3.449,3.740,4.039,4.690,4.723,4.711,4.752,4.875,5.144,5.586,6.035,6.358,6.949,7.878,8.880,9.761,10.643,10.951,11.909,12.474,12.952,12.804,12.571,13.153,13.257,12.992,12.748,12.672,13.465,12.725,12.712,12.950
18,Male,2.679,2.764,2.890,2.998,3.108,3.279,3.526,3.853,4.278,4.589,4.565,4.568,4.636,4.852,5.244,5.696,6.082,6.520,7.433,8.500,9.382,10.205,10.386,11.295,11.913,12.315,12.524,12.175,12.436,13.044,12.752,12.604,12.401,12.970,12.938,12.494,12.708
19,Male,2.598,2.683,2.776,2.906,2.989,3.124,3.324,3.627,3.903,4.417,4.438,4.412,4.437,4.592,4.924,5.347,5.784,6.177,6.981,8.108,9.029,9.790,9.831,10.693,11.324,11.751,12.071,11.871,11.784,12.585,12.595,12.390,12.259,12.255,13.033,12.440,12.425
20,Male,2.513,2.598,2.676,2.792,2.889,2.982,3.140,3.401,3.713,4.023,4.321,4.283,4.272,4.369,4.638,5.012,5.452,5.903,6.555,7.697,8.673,9.421,9.281,10.109,10.737,11.233,11.499,11.567,11.336,11.944,12.404,12.087,12.053,11.947,12.530,12.641,12.175
21,Male,2.433,2.509,2.586,2.671,2.787,2.851,2.972,3.189,3.487,3.671,4.170,4.179,4.141,4.190,4.390,4.705,5.117,5.614,6.213,7.276,8.301,9.077,8.776,9.541,10.165,10.693,10.981,11.140,11.020,11.340,12.021,11.918,11.774,11.765,11.821,12.734,12.096
22,Male,2.359,2.419,2.496,2.563,2.666,2.742,2.821,2.997,3.263,3.505,3.804,4.089,4.042,4.051,4.184,4.438,4.802,5.294,5.939,6.871,7.906,8.728,8.341,8.986,9.606,10.156,10.504,10.633,10.682,10.972,11.467,11.749,11.410,11.522,11.527,12.238,12.278
23,Male,2.285,2.336,2.404,2.470,2.541,2.636,2.685,2.825,3.055,3.306,3.482,3.968,3.969,3.949,4.026,4.214,4.521,4.975,5.649,6.543,7.493,8.360,7.955,8.481,9.063,9.629,10.010,10.157,10.293,10.678,10.927,11.441,11.228,11.194,11.364,11.544,12.359
24,Male,2.214,2.260,2.313,2.378,2.432,2.513,2.574,2.671,2.870,3.111,3.346,3.637,3.913,3.880,3.911,4.036,4.283,4.680,5.327,6.274,7.093,7.967,7.587,8.054,8.537,9.103,9.522,9.719,9.829,10.326,10.654,10.975,11.082,10.797,11.146,11.265,11.861
25,Male,2.146,2.187,2.230,2.286,2.339,2.388,2.469,2.536,2.705,2.932,3.177,3.347,3.825,3.836,3.834,3.906,4.088,4.420,5.005,5.983,6.764,7.555,7.219,7.678,8.060,8.590,9.039,9.271,9.402,9.956,10.380,10.500,10.851,10.624,10.853,11.121,11.172
26,Male,2.081,2.117,2.156,2.197,2.249,2.282,2.349,2.429,2.559,2.772,3.008,3.238,3.524,3.806,3.789,3.818,3.938,4.202,4.707,5.655,6.491,7.154,6.844,7.323,7.656,8.091,8.545,8.830,8.992,9.513,10.021,10.323,10.474,10.507,10.495,10.925,10.899
27,Male,2.015,2.051,2.085,2.118,2.161,2.193,2.228,2.327,2.432,2.629,2.852,3.093,3.261,3.741,3.767,3.764,3.834,4.026,4.442,5.324,6.192,6.822,6.463,6.971,7.303,7.639,8.061,8.391,8.579,9.119,9.664,10.070,10.068,10.355,10.357,10.655,10.763
28,Male,1.953,1.989,2.018,2.047,2.076,2.109,2.128,2.212,2.331,2.501,2.712,2.946,3.173,3.462,3.755,3.739,3.767,3.891,4.220,5.012,5.855,6.544,6.100,6.612,6.988,7.247,7.592,7.929,8.186,8.691,9.246,9.706,9.988,10.046,10.268,10.317,10.578
