age,sex,1951,1953,1955,1957,1959,1961,1963,1965,1967,1969,1971,1973,1975,1977,1979,1981,1983,1985,1987,1989,1991,1993,1995,1997,1999,2001,2003,2005,2007,2009,2011,2013,2015,2017,2019,2021,2023
0,Male,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
1,Male,84982,85234,85494,85766,86053,86361,86699,87067,87467,87908,88409,88985,89624,90369,91039,91713,91856,93071,93643,94032,94120,93818,93168,92393,91734,91281,91183,91377,91913,92717,93608,94298,94721,95012,95321,95606,95889
2,Male,80718,81128,81541,81971,82413,82881,83393,83940,84516,85153,85863,86676,87555,88553,89441,90298,90337,92027,92726,93207,93324,92964,92179,91234,90422,89843,89741,90000,90665,91668,92760,93583,94080,94415,94765,95086,95409
3,Male,78234,78729,79227,79742,80271,80828,81439,82088,82769,83520,84351,85302,86321,87467,88483,89446,89476,91392,92163,92693,92818,92415,91537,90473,89552,88879,88763,89058,89807,90947,92173,93089,93643,94012,94394,94744,95098
4,Male,76622,77169,77719,78288,78872,79485,80156,80871,81618,82441,83349,84387,85497,86739,87838,88869,88894,90958,91776,92338,92469,92036,91096,89954,88961,88223,88099,88418,89224,90454,91770,92748,93340,93732,94136,94506,94879
5,Male,75556,76136,76719,77321,77939,78587,79297,80053,80844,81713,82671,83765,84934,86238,87392,88468,88479,90651,91501,92083,92217,91763,90779,89581,88537,87752,87622,87956,88802,90095,91475,92498,93117,93527,93947,94329,94718
6,Male,74786,75388,75993,76619,77261,77933,78671,79456,80277,81179,82172,83306,84516,85865,87058,88166,88160,90418,91291,91889,92026,91558,90544,89307,88228,87409,87277,87623,88499,89834,91260,92316,92954,93375,93805,94196,94595
7,Male,74175,74795,75417,76059,76721,77411,78169,78977,79822,80750,81769,82934,84178,85561,86785,87918,87895,90225,91116,91726,91865,91384,90344,89075,87966,87119,86983,87338,88238,89610,91075,92157,92812,93243,93682,94081,94488
8,Male,73680,74313,74948,75603,76279,76984,77758,78584,79448,80396,81437,82626,83896,85307,86556,87709,87667,90060,90964,91583,91723,91231,90169,88871,87735,86862,86722,87084,88005,89407,90907,92013,92683,93124,93571,93977,94393
9,Male,73261,73904,74549,75216,75904,76620,77407,78248,79127,80093,81152,82361,83653,85087,86357,87526,87468,89914,90831,91457,91596,91094,90012,88689,87529,86633,86488,86856,87795,89225,90755,91883,92566,93016,93471,93883,94306
