"","age","sex","value"
"1",0,"male",61.1874
"2",1,"male",62.8034
"3",2,"male",62.1168
"4",3,"male",61.3187
"5",4,"male",60.4586
"6",5,"male",59.5608
"7",6,"male",58.6378
"8",7,"male",57.7032
"9",8,"male",56.7612
"10",9,"male",55.8128
"11",10,"male",54.8599
"12",11,"male",53.9048
"13",12,"male",52.9499
"14",13,"male",51.9961
"15",14,"male",51.0454
"16",15,"male",50.1007
"17",16,"male",49.1647
"18",17,"male",48.2393
"19",18,"male",47.3264
"20",19,"male",46.4268
"21",20,"male",45.5358
"22",21,"male",44.6532
"23",22,"male",43.7779
"24",23,"male",42.9094
"25",24,"male",42.0466
"26",25,"male",41.1887
"27",26,"male",40.336
"28",27,"male",39.4876
"29",28,"male",38.6447
"30",29,"male",37.8071
"31",30,"male",36.9749
"32",31,"male",36.1496
"33",32,"male",35.3289
"34",33,"male",34.5157
"35",34,"male",33.7094
"36",35,"male",32.9114
"37",36,"male",32.122
"38",37,"male",31.3401
"39",38,"male",30.5666
"40",39,"male",29.801
"41",40,"male",29.0428
"42",41,"male",28.2939
"43",42,"male",27.5501
"44",43,"male",26.8148
"45",44,"male",26.0867
"46",45,"male",25.3666
"47",46,"male",24.6565
"48",47,"male",23.9545
"49",48,"male",23.2619
"50",49,"male",22.5796
"51",50,"male",21.9073
"52",51,"male",21.2482
"53",52,"male",20.5953
"54",53,"male",19.9533
"55",54,"male",19.3194
"56",55,"male",18.6943
"57",56,"male",18.0788
"58",57,"male",17.4717
"59",58,"male",16.8747
"60",59,"male",16.2905
"61",60,"male",15.7195
"62",61,"male",15.1691
"63",62,"male",14.6299
"64",63,"male",14.1102
"65",64,"male",13.6062
"66",65,"male",13.1191
"67",66,"male",12.65
"68",67,"male",12.1816
"69",68,"male",11.7168
"70",69,"male",11.2567
"71",70,"male",10.8005
"72",71,"male",10.3543
"73",72,"male",9.9085
"74",73,"male",9.4736
"75",74,"male",9.0434
"76",75,"male",8.619
"77",76,"male",8.1999
"78",77,"male",7.7856
"79",78,"male",7.3742
"80",79,"male",6.9714
"81",80,"male",6.5715
"82",81,"male",6.1798
"83",82,"male",5.8017
"84",83,"male",5.4492
"85",84,"male",5.116
"86",85,"male",4.8051
"87",86,"male",4.5105
"88",87,"male",4.2372
"89",88,"male",3.9804
"90",89,"male",3.7393
"91",90,"male",3.5129
"92",91,"male",3.304
"93",92,"male",3.1062
"94",93,"male",2.9283
"95",94,"male",2.7657
"96",95,"male",2.6182
"97",96,"male",2.4815
"98",97,"male",2.3561
"99",98,"male",2.2388
"100",99,"male",2.1257
"101",100,"male",2.0262
"102",0,"female",66.9532
"103",1,"female",68.3031
"104",2,"female",67.675
"105",3,"female",66.9003
"106",4,"female",66.0521
"107",5,"female",65.1605
"108",6,"female",64.2421
"109",7,"female",63.3091
"110",8,"female",62.3666
"111",9,"female",61.4171
"112",10,"female",60.463
"113",11,"female",59.5064
"114",12,"female",58.5485
"115",13,"female",57.5915
"116",14,"female",56.6374
"117",15,"female",55.6875
"118",16,"female",54.7438
"119",17,"female",53.8062
"120",18,"female",52.8747
"121",19,"female",51.9495
"122",20,"female",51.0295
"123",21,"female",50.1145
"124",22,"female",49.2027
"125",23,"female",48.2953
"126",24,"female",47.3923
"127",25,"female",46.4936
"128",26,"female",45.599
"129",27,"female",44.709
"130",28,"female",43.8234
"131",29,"female",42.9418
"132",30,"female",42.0645
"133",31,"female",41.1916
"134",32,"female",40.3212
"135",33,"female",39.4566
"136",34,"female",38.5964
"137",35,"female",37.7412
"138",36,"female",36.8922
"139",37,"female",36.0481
"140",38,"female",35.2087
"141",39,"female",34.3751
"142",40,"female",33.5463
"143",41,"female",32.7235
"144",42,"female",31.904
"145",43,"female",31.0906
"146",44,"female",30.2814
"147",45,"female",29.4771
"148",46,"female",28.6794
"149",47,"female",27.8868
"150",48,"female",27.1008
"151",49,"female",26.323
"152",50,"female",25.5527
"153",51,"female",24.7923
"154",52,"female",24.0364
"155",53,"female",23.2905
"156",54,"female",22.5506
"157",55,"female",21.8182
"158",56,"female",21.0931
"159",57,"female",20.3764
"160",58,"female",19.6679
"161",59,"female",18.9706
"162",60,"female",18.2838
"163",61,"female",17.6134
"164",62,"female",16.9527
"165",63,"female",16.3101
"166",64,"female",15.6827
"167",65,"female",15.072
"168",66,"female",14.4804
"169",67,"female",13.8937
"170",68,"female",13.3155
"171",69,"female",12.7475
"172",70,"female",12.1872
"173",71,"female",11.6432
"174",72,"female",11.1027
"175",73,"female",10.5786
"176",74,"female",10.0633
"177",75,"female",9.559
"178",76,"female",9.065
"179",77,"female",8.5799
"180",78,"female",8.1005
"181",79,"female",7.6341
"182",80,"female",7.1721
"183",81,"female",6.7264
"184",82,"female",6.2935
"185",83,"female",5.8919
"186",84,"female",5.5139
"187",85,"female",5.1623
"188",86,"female",4.8318
"189",87,"female",4.5271
"190",88,"female",4.2396
"191",89,"female",3.9703
"192",90,"female",3.7176
"193",91,"female",3.4886
"194",92,"female",3.2642
"195",93,"female",3.061
"196",94,"female",2.8727
"197",95,"female",2.7001
"198",96,"female",2.5461
"199",97,"female",2.4049
"200",98,"female",2.2726
"201",99,"female",2.1434
"202",100,"female",2.032
