Time,Sex,AgeGrpStart,mx
1990,Female,5,19.59656792
1990,Female,10,18.5474211
1990,Female,15,37.52166283
1990,Female,20,51.73925528
1990,Female,25,75.98381364
1990,Female,30,115.6191891
1990,Female,35,154.2850898
1990,Female,40,188.4666421
1990,Female,45,284.5033171
1990,Female,50,449.1897505
1990,Female,55,698.0553032
1990,Female,60,1081.07561
1990,Female,65,1634.778204
1990,Female,70,2528.741911
1990,Female,75,3940.48635
1990,Female,0,904.6653551
1990,Female,80,6374.753065
1990,Female,85,10981.07018
1990,Female,90,17922.66125
1990,Female,2,31.81939169
1990,Female,95,28929.11022
1991,Female,5,18.499415
1991,Female,10,17.35926093
1991,Female,15,35.80793202
1991,Female,20,49.7630328
1991,Female,25,73.96006544
1991,Female,30,113.0674588
1991,Female,35,156.7968857
1991,Female,40,195.1732881
1991,Female,45,287.7768274
1991,Female,50,442.0642169
1991,Female,55,696.6601665
1991,Female,60,1069.063243
1991,Female,65,1607.262135
1991,Female,70,2498.687807
1991,Female,75,3865.245573
1991,Female,0,847.1632207
1991,Female,80,6211.804401
1991,Female,85,10798.75187
1991,Female,90,17912.8211
1991,Female,2,30.56167802
1991,Female,95,28879.23244
1992,Female,5,17.58089164
1992,Female,10,16.79271569
1992,Female,15,34.20805812
1992,Female,20,47.74577724
1992,Female,25,72.82972102
1992,Female,30,112.9037166
1992,Female,35,161.1545706
1992,Female,40,203.4420754
1992,Female,45,285.7496049
1992,Female,50,431.4197974
1992,Female,55,687.4311058
1992,Female,60,1055.421786
1992,Female,65,1581.562321
1992,Female,70,2462.301295
1992,Female,75,3795.905321
1992,Female,0,813.7740562
1992,Female,80,6072.817545
1992,Female,85,10545.42009
1992,Female,90,17968.49105
1992,Female,2,29.95607742
1992,Female,95,28883.05892
1993,Female,5,17.30743322
1993,Female,10,16.62118072
1993,Female,15,33.89841373
1993,Female,20,46.87707624
1993,Female,25,73.64392428
1993,Female,30,117.007926
1993,Female,35,168.1721675
1993,Female,40,213.9910516
1993,Female,45,287.164662
1993,Female,50,427.3289112
1993,Female,55,679.5932025
1993,Female,60,1055.270789
1993,Female,65,1594.734917
1993,Female,70,2480.012565
1993,Female,75,3874.585658
1993,Female,0,783.068423
1993,Female,80,6306.818667
1993,Female,85,11028.9079
1993,Female,90,17957.57291
1993,Female,2,29.79254198
1993,Female,95,28862.65366
1994,Female,5,16.53683198
1994,Female,10,16.6582026
1994,Female,15,33.55119319
1994,Female,20,45.76458855
1994,Female,25,73.22937632
1994,Female,30,120.5700664
1994,Female,35,173.5236321
1994,Female,40,223.3663074
1994,Female,45,289.5255986
1994,Female,50,424.094222
1994,Female,55,657.3728859
1994,Female,60,1028.010534
1994,Female,65,1570.972647
1994,Female,70,2411.782867
1994,Female,75,3755.077386
1994,Female,0,741.8310066
1994,Female,80,6175.973084
1994,Female,85,10727.64444
1994,Female,90,17871.47722
1994,Female,2,29.06671085
1994,Female,95,28774.2366
1995,Female,5,15.47201554
1995,Female,10,16.03170183
1995,Female,15,32.6197809
1995,Female,20,43.26047787
1995,Female,25,68.00662098
1995,Female,30,114.7014341
1995,Female,35,166.2356571
1995,Female,40,222.9247225
1995,Female,45,287.6197095
1995,Female,50,423.5136724
1995,Female,55,645.7453426
1995,Female,60,1021.970085
1995,Female,65,1566.912461
1995,Female,70,2387.665224
1995,Female,75,3717.564193
1995,Female,0,690.6119394
1995,Female,80,6165.01288
1995,Female,85,10744.15451
1995,Female,90,17821.76704
1995,Female,2,26.98384896
1995,Female,95,28695.64998
1996,Female,5,14.80707588
1996,Female,10,15.52959169
1996,Female,15,31.59633221
1996,Female,20,40.25272581
1996,Female,25,58.79714512
1996,Female,30,97.38787306
1996,Female,35,143.8238716
1996,Female,40,204.4301089
1996,Female,45,273.3910229
1996,Female,50,412.3334967
1996,Female,55,631.2455704
1996,Female,60,1006.975643
1996,Female,65,1553.363694
1996,Female,70,2359.787117
1996,Female,75,3701.804131
1996,Female,0,649.0483556
1996,Female,80,6144.718053
1996,Female,85,10591.3147
1996,Female,90,17736.03078
1996,Female,2,24.98730821
1996,Female,95,28603.99809
1997,Female,5,13.86417
1997,Female,10,14.23654409
1997,Female,15,29.96807238
1997,Female,20,37.37545143
1997,Female,25,50.04344082
1997,Female,30,80.25094203
1997,Female,35,121.6459493
1997,Female,40,181.1758491
1997,Female,45,252.1355898
1997,Female,50,386.6753619
1997,Female,55,608.6228447
1997,Female,60,965.4844793
