Age,l(x),d(x),q(x),m(x),L(x),T(x),e(x)
0,100000.0,132.15227734709333,0.0013215227734709332,0.0013223967547668829,99933.92386132645,277503802551094.0,2775038025.51094
1,99867.8477226529,5.50407919997815,5.511362591155218e-05,5.5115144723184185e-05,99865.09568305292,277503802451160.06,2778710153.260009
2,99862.34364345293,9.431831312380382,9.444832724991571e-05,9.445278777403114e-05,99857.62772779673,277503802351294.97,2778863305.4927144
3,99852.91181214055,13.58147054517758,0.00013601476710793612,0.00013602401795517036,99846.12107686796,277503802251437.34,2779125788.2746816
4,99839.33034159537,17.947388859800412,0.00017976271273449353,0.00017977887198745543,99830.35664716546,277503802151591.22,2779503840.842337
5,99821.38295273557,10.241872164609958,0.0001026019862844355,0.00010260725022830114,99816.26201665326,277503802051760.88,2780003580.8275285
6,99811.14108057096,6.317560671377578,6.329514524112922e-05,6.329714846346173e-05,99807.98230023528,277503801951944.62,2780288842.9853144
7,99804.82351989958,4.335852618722129,4.344331732481472e-05,4.344426101312017e-05,99802.65559359023,277503801852136.66,2780464831.91072
8,99800.48766728086,2.232673102087574,2.237136465235476e-05,2.23716148950212e-05,99799.37133072982,277503801752334.0,2780585628.7745614
9,99798.25499417877,11.509694017106085,0.00011532961190330878,0.00011533626287441034,99792.50014717021,277503801652534.62,2780647834.6612515
10,99786.74530016167,2.376327521793428,2.381405981972215e-05,2.3814343379017182e-05,99785.55713640078,277503801552742.12,2780968561.6862435
11,99784.36897263987,7.368691859242972,7.384615381256168e-05,7.384888057405196e-05,99780.68462671025,277503801452956.56,2781034788.4150677
12,99777.00028078063,2.5428666159132263,2.548549874978594e-05,2.548582351067219e-05,99775.72884747267,277503801353175.88,2781240171.3045845
13,99774.45741416472,2.6341004648711532,2.640054912989381e-05,2.640089763051944e-05,99773.14036393228,277503801253400.16,2781311053.403971
14,99771.82331369985,0.0,0.0,0.0,99771.82331369985,277503801153627.03,2781384482.4816637
15,99771.82331369985,5.654236110451166,5.667167264923355e-05,5.667327854916407e-05,99768.99619564462,277503801053855.22,2781384481.4816637
16,99766.1690775894,5.859636382534518,5.873370138105038e-05,5.873542627235617e-05,99763.23925939813,277503800954086.22,2781542115.1259007
17,99760.30944120686,12.166262302809628,0.00012195493749926408,0.00012196237460743361,99754.22631005546,277503800854322.97,2781705493.9857435
18,99748.14317890405,3.1575860452867346,3.1655587208509954e-05,3.165608825717406e-05,99746.56438588141,277503800754568.75,2782044777.082714
19,99744.98559285876,6.571465267101303,6.588266295335238e-05,6.588483331137172e-05,99741.69986022521,277503800654822.2,2782132846.131666
20,99738.41412759166,3.4220275206753286,3.431002538598273e-05,3.4310613988437324e-05,99736.70311383132,277503800555080.5,2782316151.52894
21,99734.99210007099,17.83147247270972,0.00017878852845166094,0.00017880451302590877,99726.07636383464,277503800455343.8,2782411615.142107
22,99717.16062759828,3.7274656330700964,3.7380382770731064e-05,3.7381081434685906e-05,99715.29689478174,277503800355617.75,2782909166.376868
23,99713.43316196521,7.806273387162946,7.828707867758562e-05,7.829014327096219e-05,99709.53002527163,277503800255902.44,2783013195.475389
24,99705.62688857804,12.268945048737805,0.00012305168155101682,0.00012305925303033411,99699.49241605368,277503800156192.9,2783231085.5063972
25,99693.3579435293,8.603897288485314,8.630361606797255e-05,8.630734043930436e-05,99689.05599488507,277503800056493.4,2783573607.9196343
26,99684.75404624082,18.123676882256404,0.00018180991723016506,0.00018182644665666622,99675.6922077997,277503799956804.34,2783813860.1222663
27,99666.63036935857,23.92381898482563,0.00024003840499237696,0.00024006721882126995,99654.66845986615,277503799857128.66,2784320076.1249394
28,99642.70655037374,20.21970499359304,0.0002029220772257034,0.00020294266869609335,99632.59669787694,277503799757474.0,2784988579.341567
29,99622.48684538015,16.037103449809365,0.00016097875045721229,0.00016099170892699025,99614.46829365524,277503799657841.4,2785553828.7108145
30,99606.44974193034,28.376288834871957,0.0002848840502637318,0.00028492463743339886,99592.2615975129,277503799558226.94,2786002314.8823156
31,99578.07345309547,18.105104214322637,0.0001818181813173031,0.00018183471224656787,99569.02090098831,277503799458634.7,2786796227.679059
32,99559.96834888114,51.30304213605996,0.0005152978951970158,0.0005154307067843567,99534.3168278131,277503799359065.66,2787303009.043034
33,99508.66530674508,34.29204780542932,0.00034461368464465647,0.00034467307758590974,99491.51928284238,277503799259531.34,2788740039.9161124
34,99474.37325893965,14.53029113089724,0.0001460706979582947,0.00014608136732159813,99467.10811337421,277503799160039.8,2789701408.197622
