Age,l(x),d(x),q(x),m(x),L(x),T(x),e(x)
0,5000.0,2.9975838933996783,0.0005995167786799357,0.0005996965607222692,4998.5012080533,32818945700129.88,6563789140.025976
1,4997.0024161066,2.247008513036235,0.00044967128808934715,0.0004497724205417019,4995.878911850083,32818945695131.38,6567726601.32155
2,4994.755407593564,1.7968792896635932,0.0003597532097230996,0.00035981793643336153,4993.856967948732,32818945690135.5,6570681247.021749
3,4992.9585283039005,0.3725254440041681,7.461016186944263e-05,7.461294534601753e-05,4992.772265581898,32818945685141.645,6573045920.389446
4,4992.586002859896,0.37249764982061606,7.46101618694678e-05,7.461294534601753e-05,4992.3997540349865,32818945680148.87,6573536372.002253
5,4992.213505210076,0.0,0.0,0.0,4992.213505210076,32818945675156.473,6574026860.2104645
6,4992.213505210076,0.0,0.0,0.0,4992.213505210076,32818945670164.258,6574026859.2104645
7,4992.213505210076,0.0,0.0,0.0,4992.213505210076,32818945665172.043,6574026858.2104645
8,4992.213505210076,0.0,0.0,0.0,4992.213505210076,32818945660179.83,6574026857.210464
9,4992.213505210076,0.0,0.0,0.0,4992.213505210076,32818945655187.613,6574026856.210464
10,4992.213505210076,0.0,0.0,0.0,4992.213505210076,32818945650195.4,6574026855.210464
11,4992.213505210076,0.0,0.0,0.0,4992.213505210076,32818945645203.184,6574026854.210464
12,4992.213505210076,0.0,0.0,0.0,4992.213505210076,32818945640210.97,6574026853.210463
13,4992.213505210076,0.0,0.0,0.0,4992.213505210076,32818945635218.754,6574026852.210463
14,4992.213505210076,0.0,0.0,0.0,4992.213505210076,32818945630226.54,6574026851.210463
15,4992.213505210076,0.0,0.0,0.0,4992.213505210076,32818945625234.324,6574026850.210462
16,4992.213505210076,0.6183839339555561,0.00012386968892860565,0.00012387736141220192,4991.904313243098,32818945620242.11,6574026849.210462
17,4991.59512127612,0.6183073349302504,0.00012386968892865208,0.00012387736141220192,4991.2859676086555,32818945615250.203,6574841271.753611
18,4990.97681394119,0.6182307453927933,0.0001238696889286086,0.00012387736141220192,4990.6676985684935,32818945610258.918,6575655795.1915245
19,4990.358583195797,0.618154165343185,0.00012386968892871074,0.00012387736141220192,4990.049506113126,32818945605268.25,6576470419.536703
20,4989.740429030454,0.618077594778697,0.0001238696889286472,0.00012387736141220192,4989.431390233065,32818945600278.2,6577285144.801646
21,4989.122351435675,0.0,0.0,0.0,4989.122351435675,32818945595288.77,6578099970.998858
22,4989.122351435675,0.795967189032126,0.00015954052295451878,0.00015955325089748703,4988.72436784116,32818945590299.65,6578099969.998858
23,4988.326384246643,0.7958402000103888,0.00015954052295448983,0.00015955325089748703,4987.928464146638,32818945585310.926,6579149609.968308
24,4987.530544046633,0.7957132312485555,0.00015954052295446267,0.00015955325089748703,4987.132687431009,32818945580322.996,6580199417.424589
25,4986.734830815384,0.7955862827438978,0.00015954052295453835,0.00015955325089748703,4986.337037674012,32818945575335.863,6581249392.394425
26,4985.93924453264,0.795459354491868,0.00015954052295445305,0.00015955325089748703,4985.541514855395,32818945570349.527,6582299534.904547
27,4985.143785178148,0.0,0.0,0.0,4985.143785178148,32818945565363.984,6583349844.981688
28,4985.143785178148,1.1386806220880317,0.0002284148002859139,0.0002284408909194746,4984.574444867105,32818945560378.84,6583349843.981687
29,4984.00510455606,2.355832370120879,0.0004726785628624913,0.0004727903105896028,4982.827188371,32818945555394.266,6584853921.075095
30,4981.6492721859395,3.6554749641809394,0.0007337881019827241,0.0007340574562460366,4979.8215347038495,32818945550411.438,6587967911.2798195
31,4977.9937972217585,3.652792620145192,0.000733788101982737,0.0007340574562460366,4976.167400911686,32818945545431.617,6592805632.6120825
32,4974.341004601613,3.6501122443814893,0.000733788101982731,0.0007340574562460366,4972.515948479422,32818945540455.45,6597646906.413459
33,4970.690892357232,2.5126283894969674,0.0005054887628116849,0.000505616565326562,4969.434578162483,32818945535482.934,6602491735.292623
34,4968.178263967735,1.2978522036864888,0.00026123301836798133,0.0002612671456564337,4967.529337865892,32818945530513.5,6605830907.585694
35,4966.880411764048,3.871301761666473,0.0007794231873385356,0.0007797270955165692,4964.944760883215,32818945525545.97,6607557018.649845
36,4963.009110002382,3.8682843793076245,0.0007794231873384105,0.0007797270955165692,4961.074967812729,32818945520581.023,6612711118.026795
37,4959.140825623074,3.8652693487674696,0.0007794231873384703,0.0007797270955165692,4957.208190948691,32818945515619.95,6617869237.76187
38,4955.275556274307,6.279938895362648,0.0012673238499140717,0.0012681275839170575,4952.1355868266255,32818945510662.742,6623031380.9910755
39,4948.995617378944,8.829002179509189,0.0017839987872499167,0.0017855920082378855,4944.58111628919,32818945505710.605,6631435556.431542
40,4940.166615199435,4.966641957031243,0.0010053592001837248,0.0010058649127213163,4937.683294220919,32818945500766.023,6643287171.690083
41,4935.199973242404,4.961648697845703,0.0010053592001837209,0.0010058649127213163,4932.71914889348,32818945495828.34,6649972782.007948
42,4930.238324544558,4.956660458678925,0.001005359200183656,0.0010058649127213163,4927.759994315218,32818945490895.62,6656665120.529918
43,4925.281664085879,2.5479987347180213,0.000517330562696037,0.000517464424320828,4924.00766471852,32818945485967.86,6663364194.02706
44,4922.733665351161,3.777999557663861,0.0007674596706816474,0.0007677543186180422,4920.844665572329,32818945481043.85,6666813139.22002
45,4918.955665793497,7.761458810832664,0.0015778672015293782,0.0015791133449872103,4915.0749363880805,32818945476123.008,6671933578.167114
46,4911.194206982665,7.749212259538581,0.0015778672015292867,0.0015791133449872103,4907.319600852896,32818945471207.934,6682477639.460161
47,4903.444994723126,7.73698503167634,0.0015778672015292405,0.0015791133449872103,4899.576502207288,32818945466300.613,6693038364.174357
48,4895.70800969145,7.724777096756043,0.0015778672015292216,0.0015791133449872103,4891.845621143071,32818945461401.035,6703615778.643923
49,4887.983232594694,3.9643008633865975,0.000811029963636398,0.0008113590263691683,4886.001082163,32818945456509.19,6714209909.244692
50,4884.018931731307,0.0,0.0,0.0,4884.018931731307,32818945451623.19,6719659753.650749
51,4884.018931731307,0.0,0.0,0.0,4884.018931731307,32818945446739.17,6719659752.650749
52,4884.018931731307,0.0,0.0,0.0,4884.018931731307,32818945441855.152,6719659751.650749
53,4884.018931731307,6.1589133469178705,0.0012610338807050106,0.0012618296529968453,4880.9394750578485,32818945436971.133,6719659750.650749
54,4877.860018384389,6.15114674851975,0.0012610338807051479,0.0012618296529968453,4874.784445010129,32818945432090.19,6728144167.40074
55,4871.708871635869,6.143389944064438,0.0012610338807050989,0.0012618296529968453,4868.637176663837,32818945427215.406,6736639296.7967205
56,4865.565481691805,6.135642921202816,0.0012610338807051453,0.0012618296529968453,4862.497660231204,32818945422346.77,6745145152.364757
57,4859.429838770602,6.127905667599407,0.0012610338807051732,0.0012618296529968453,4856.365885936802,32818945417484.273,6753661747.647994
58,4853.301933103003,0.0,0.0,0.0,4853.301933103003,32818945412627.906,6762189096.206676
59,4853.301933103003,0.0,0.0,0.0,4853.301933103003,32818945407774.605,6762189095.206676
60,4853.301933103003,11.751330651566605,0.00242130632166404,0.0024242424242424242,4847.426267777219,32818945402921.305,6762189094.2066765
61,4841.550602451436,11.7228770803722,0.0024213063216640806,0.0024242424242424242,4835.68916391125,32818945398073.88,6778602165.483217
62,4829.827725371064,11.694492403988988,0.0024213063216639947,0.0024242424242424242,4823.980479169069,32818945393238.19,6795055074.291866
63,4818.133232967075,11.666176455602908,0.002421306321664067,0.0024242424242424242,4812.3001447392735,32818945388414.21,6811547917.325615
64,4806.467056511472,28.58077051599321,0.0059463156992356665,0.005964065433091982,4792.176671253475,32818945383601.91,6828080791.512147
65,4777.886285995479,16.88297281190262,0.003533565221380113,0.0035398230088495575,4769.444799589528,32818945378809.734,6868925590.591335
66,4761.003313183576,16.823315726341207,0.003533565221380162,0.0035398230088495575,4752.591655320406,32818945374040.29,6893283456.2753105
67,4744.179997457235,16.763869442982468,0.0035335652213801952,0.0035398230088495575,4735.798062735744,32818945369287.7,6917727697.279162
