age,value
0,31.571
1,29.942999999999998
2,29.018
3,29.07
4,30.563000000000002
5,31.894
6,32.134
7,31.967
8,31.636
9,31.28
10,30.657
11,30.087
12,29.765
13,29.393
14,28.912
15,27.927999999999997
16,26.575
17,25.368000000000002
18,24.232
19,23.033
20,21.829
21,20.644
22,19.478
23,18.362000000000002
24,17.303
25,16.36
26,15.573
27,14.899000000000001
28,14.316
29,13.804
30,13.294
31,12.745000000000001
32,12.189
33,11.72
34,11.34
35,10.955
36,10.518
37,10.046
38,9.597
39,9.18
40,8.795
41,8.435
42,8.093
43,7.7940000000000005
44,7.543
45,7.331
46,7.148
47,6.984
48,6.819
49,6.579000000000001
50,6.084
51,5.679
52,5.449
53,5.152
54,4.833
55,4.51
56,4.220000000000001
57,3.965
58,3.745
59,3.537
60,3.333
61,3.124
62,2.893
63,2.666
64,2.467
65,2.29
66,2.073
67,1.8719999999999999
68,1.708
69,1.581
70,1.4969999999999999
71,1.4249999999999998
72,1.326
73,1.224
74,1.129
75,1.042
76,0.955
77,0.8760000000000001
78,0.8049999999999999
79,0.736
80,0.665
81,0.591
82,0.517
83,0.44299999999999995
84,0.374
85,0.31
86,0.252
87,0.203
88,0.159
89,0.122
90,0.093
91,0.068
92,0.049
93,0.035
94,0.024
95,0.015
96,0.01
97,0.006
98,0.004
99,0.003
100,0.001
