Age,Year,HIV_male,HIV_female
0,1987,0,0
15,1987,0.028554456,0.086822498
20,1987,0.121577546,0.230197587
25,1987,0.214801889,0.27966698
30,1987,0.260603697,0.264678502
35,1987,0.259030632,0.208320982
40,1987,0.16832812,0.139198795
45,1987,0.094807052,0.091591835
50,1987,0.073245862,0.066185071
55,1987,0.060554246,0.049871834
60,1987,0.048982439,0.040552435
65,1987,0.031119806,0.023564528
70,1987,0.027834621,0.015804233
75,1987,0.027478992,0.014528498
80,1987,0.027436785,0.014328718
0,1990,0,0
15,1990,0.029926239,0.094358325
20,1990,0.127151143,0.261275052
25,1990,0.237972884,0.341447625
30,1990,0.31095184,0.335252001
35,1990,0.319750798,0.274254482
40,1990,0.236319571,0.190685933
45,1990,0.136279222,0.122433492
50,1990,0.093314598,0.085059106
55,1990,0.077762963,0.06696242
60,1990,0.065367068,0.062461737
65,1990,0.047733454,0.042592533
70,1990,0.044617433,0.029105531
75,1990,0.047446165,0.027163266
80,1990,0.047750556,0.027232164
0,1991,,
15,1991,,
20,1991,,
25,1991,,
30,1991,,
35,1991,,
40,1991,,
45,1991,,
50,1991,,
55,1991,,
60,1991,,
65,1991,,
70,1991,,
75,1991,,
80,1991,,
0,1992,,
15,1992,,
20,1992,,
25,1992,,
30,1992,,
35,1992,,
40,1992,,
45,1992,,
50,1992,,
55,1992,,
60,1992,,
65,1992,,
70,1992,,
75,1992,,
80,1992,,
0,1993,,
15,1993,,
20,1993,,
25,1993,,
30,1993,,
35,1993,,
40,1993,,
45,1993,,
50,1993,,
55,1993,,
60,1993,,
65,1993,,
70,1993,,
75,1993,,
80,1993,,
0,1994,,
15,1994,,
20,1994,,
25,1994,,
30,1994,,
35,1994,,
40,1994,,
45,1994,,
50,1994,,
55,1994,,
60,1994,,
65,1994,,
70,1994,,
75,1994,,
80,1994,,
0,1995,,
15,1995,,
20,1995,,
25,1995,,
30,1995,,
35,1995,,
40,1995,,
45,1995,,
50,1995,,
55,1995,,
60,1995,,
65,1995,,
70,1995,,
75,1995,,
80,1995,,
0,1996,,
15,1996,,
20,1996,,
25,1996,,
30,1996,,
35,1996,,
40,1996,,
45,1996,,
50,1996,,
55,1996,,
60,1996,,
65,1996,,
70,1996,,
75,1996,,
80,1996,,
0,1997,,
15,1997,,
20,1997,,
25,1997,,
30,1997,,
35,1997,,
40,1997,,
45,1997,,
50,1997,,
55,1997,,
60,1997,,
65,1997,,
70,1997,,
75,1997,,
80,1997,,
0,1998,,
15,1998,,
20,1998,,
25,1998,,
30,1998,,
35,1998,,
40,1998,,
45,1998,,
50,1998,,
55,1998,,
60,1998,,
65,1998,,
