AgeGrpStart,Sex,Time,mx
0,Female,1987.0,0.05457
0,Male,1987.0,0.06677
1,Female,1987.0,0.00887
1,Male,1987.0,0.00984
2,Female,1987.0,0.00539
2,Male,1987.0,0.00609
3,Female,1987.0,0.0037
3,Male,1987.0,0.00421
4,Female,1987.0,0.00266
4,Male,1987.0,0.00301
5,Female,1987.0,0.00203
5,Male,1987.0,0.0023
6,Female,1987.0,0.00167
6,Male,1987.0,0.00192
7,Female,1987.0,0.00143
7,Male,1987.0,0.00166
8,Female,1987.0,0.00125
8,Male,1987.0,0.00147
9,Female,1987.0,0.00115
9,Male,1987.0,0.00134
10,Female,1987.0,0.00109
10,Male,1987.0,0.00127
11,Female,1987.0,0.00107
11,Male,1987.0,0.00124
12,Female,1987.0,0.00109
12,Male,1987.0,0.00127
13,Female,1987.0,0.00115
13,Male,1987.0,0.00134
14,Female,1987.0,0.00124
14,Male,1987.0,0.00147
15,Female,1987.0,0.00137
15,Male,1987.0,0.00164
16,Female,1987.0,0.00152
16,Male,1987.0,0.00188
17,Female,1987.0,0.00165
17,Male,1987.0,0.00215
18,Female,1987.0,0.00179
18,Male,1987.0,0.00243
19,Female,1987.0,0.0019
19,Male,1987.0,0.00266
20,Female,1987.0,0.00202
20,Male,1987.0,0.00288
21,Female,1987.0,0.00211
21,Male,1987.0,0.00307
22,Female,1987.0,0.00222
22,Male,1987.0,0.00323
23,Female,1987.0,0.00233
23,Male,1987.0,0.00335
24,Female,1987.0,0.00243
24,Male,1987.0,0.00345
25,Female,1987.0,0.00254
25,Male,1987.0,0.00354
26,Female,1987.0,0.00265
26,Male,1987.0,0.00363
27,Female,1987.0,0.00276
27,Male,1987.0,0.00373
28,Female,1987.0,0.00288
28,Male,1987.0,0.00386
29,Female,1987.0,0.003
29,Male,1987.0,0.00399
30,Female,1987.0,0.00315
30,Male,1987.0,0.00417
31,Female,1987.0,0.00325
31,Male,1987.0,0.0043
32,Female,1987.0,0.00343
32,Male,1987.0,0.00454
33,Female,1987.0,0.00359
33,Male,1987.0,0.00475
34,Female,1987.0,0.00377
34,Male,1987.0,0.00499
35,Female,1987.0,0.00398
35,Male,1987.0,0.00527
36,Female,1987.0,0.00418
36,Male,1987.0,0.00554
37,Female,1987.0,0.00438
37,Male,1987.0,0.00583
38,Female,1987.0,0.00464
38,Male,1987.0,0.00617
39,Female,1987.0,0.00487
39,Male,1987.0,0.00649
40,Female,1987.0,0.00517
40,Male,1987.0,0.00691
41,Female,1987.0,0.00535
41,Male,1987.0,0.0072
42,Female,1987.0,0.0057
42,Male,1987.0,0.00769
43,Female,1987.0,0.00595
43,Male,1987.0,0.00808
44,Female,1987.0,0.00624
44,Male,1987.0,0.00856
45,Female,1987.0,0.0066
45,Male,1987.0,0.00913
46,Female,1987.0,0.00693
46,Male,1987.0,0.00963
47,Female,1987.0,0.00733
47,Male,1987.0,0.01027
48,Female,1987.0,0.00785
48,Male,1987.0,0.01101
49,Female,1987.0,0.00836
49,Male,1987.0,0.01177
50,Female,1987.0,0.00906
50,Male,1987.0,0.01272
51,Female,1987.0,0.00951
51,Male,1987.0,0.01341
52,Female,1987.0,0.0103
52,Male,1987.0,0.01447
53,Female,1987.0,0.0109
53,Male,1987.0,0.01537
54,Female,1987.0,0.01164
54,Male,1987.0,0.01638
55,Female,1987.0,0.01238
55,Male,1987.0,0.01741
56,Female,1987.0,0.01325
56,Male,1987.0,0.01857
57,Female,1987.0,0.01414
57,Male,1987.0,0.0198
58,Female,1987.0,0.01534
58,Male,1987.0,0.02138
59,Female,1987.0,0.01656
59,Male,1987.0,0.023
60,Female,1987.0,0.01833
60,Male,1987.0,0.02519
61,Female,1987.0,0.01956
61,Male,1987.0,0.02685
62,Female,1987.0,0.02164
62,Male,1987.0,0.0294
63,Female,1987.0,0.02355
63,Male,1987.0,0.03177
64,Female,1987.0,0.02571
64,Male,1987.0,0.03437
65,Female,1987.0,0.02818
65,Male,1987.0,0.03726
66,Female,1987.0,0.03048
66,Male,1987.0,0.03984
67,Female,1987.0,0.03334
67,Male,1987.0,0.04305
68,Female,1987.0,0.03669
68,Male,1987.0,0.04667
69,Female,1987.0,0.04006
69,Male,1987.0,0.05043
70,Female,1987.0,0.04497
70,Male,1987.0,0.05547
71,Female,1987.0,0.04839
71,Male,1987.0,0.05935
72,Female,1987.0,0.05413
72,Male,1987.0,0.06547
73,Female,1987.0,0.05927
73,Male,1987.0,0.07105
74,Female,1987.0,0.06521
74,Male,1987.0,0.07736
75,Female,1987.0,0.07175
75,Male,1987.0,0.08426
76,Female,1987.0,0.0783
76,Male,1987.0,0.09138
77,Female,1987.0,0.08529
77,Male,1987.0,0.09896
78,Female,1987.0,0.09414
78,Male,1987.0,0.10825
79,Female,1987.0,0.10222
79,Male,1987.0,0.11701
80,Female,1987.0,0.11294
80,Male,1987.0,0.12807
81,Female,1987.0,0.12107
81,Male,1987.0,0.13732
82,Female,1987.0,0.1348
82,Male,1987.0,0.15151
83,Female,1987.0,0.14743
83,Male,1987.0,0.16464
84,Female,1987.0,0.16206
84,Male,1987.0,0.17991
85,Female,1987.0,0.17625
85,Male,1987.0,0.19388
86,Female,1987.0,0.19174
86,Male,1987.0,0.20993
87,Female,1987.0,0.20717
87,Male,1987.0,0.22587
88,Female,1987.0,0.22438
88,Male,1987.0,0.24326
89,Female,1987.0,0.2412
89,Male,1987.0,0.26037
90,Female,1987.0,0.26351
90,Male,1987.0,0.28119
91,Female,1987.0,0.27859
91,Male,1987.0,0.29735
92,Female,1987.0,0.30223
92,Male,1987.0,0.32029
93,Female,1987.0,0.32409
93,Male,1987.0,0.34173
94,Female,1987.0,0.34792
94,Male,1987.0,0.36461
95,Female,1987.0,0.37376
95,Male,1987.0,0.38928
96,Female,1987.0,0.39799
96,Male,1987.0,0.41211
97,Female,1987.0,0.42179
97,Male,1987.0,0.43426
98,Female,1987.0,0.44499
98,Male,1987.0,0.45564
99,Female,1987.0,0.47428
99,Male,1987.0,0.48273
100,Female,1987.0,0.53414
100,Male,1987.0,0.53721
