Time,Sex,Age,mx
2001,Male,0,0.0934115383421779
2001,Male,1,0.0163262586212641
2001,Male,2,0.0110074180425939
2001,Male,3,0.0075287556639944
2001,Male,4,0.0053470365612305
2001,Male,5,0.0037318405970944
2001,Male,6,0.0032235187931145
2001,Male,7,0.0029532614278376
2001,Male,8,0.0026466126585546
2001,Male,9,0.0024152224289304
2001,Male,10,0.0023926625016615
2001,Male,11,0.0024659223234468
2001,Male,12,0.0025361042620641
2001,Male,13,0.0026533758829646
2001,Male,14,0.0029895366218236
2001,Male,15,0.0034185493460166
2001,Male,16,0.0039298786361009
2001,Male,17,0.004698639014906
2001,Male,18,0.0053469127943984
2001,Male,19,0.0060353243986864
2001,Male,20,0.0068036721189244
2001,Male,21,0.0076508092202059
2001,Male,22,0.0085828033710769
2001,Male,23,0.0094030177126612
2001,Male,24,0.0103074874051769
2001,Male,25,0.0113063782720904
2001,Male,26,0.0122300286234712
2001,Male,27,0.0131596984235777
2001,Male,28,0.0140865315509558
2001,Male,29,0.0149588631264023
2001,Male,30,0.0160965794768611
2001,Male,31,0.0170281124497991
2001,Male,32,0.0183548034015323
2001,Male,33,0.0197949175211769
2001,Male,34,0.0211400528501321
2001,Male,35,0.0222664015904572
2001,Male,36,0.0235785080855503
2001,Male,37,0.0247942951179374
2001,Male,38,0.0259139287366959
2001,Male,39,0.0267509727626459
2001,Male,40,0.0277177368086459
2001,Male,41,0.0280943546249668
2001,Male,42,0.0290095317032739
2001,Male,43,0.0297215409031885
2001,Male,44,0.0305938812237552
2001,Male,45,0.0313032697969936
2001,Male,46,0.0320991577943747
2001,Male,47,0.032701958879715
2001,Male,48,0.0339206323069323
2001,Male,49,0.0348993288590604
2001,Male,50,0.0366401659177324
2001,Male,51,0.0389827362168182
2001,Male,52,0.0398657983027432
2001,Male,53,0.0393442622950819
2001,Male,54,0.0409747681690748
2001,Male,55,0.0426703372333103
2001,Male,56,0.0441392839627268
2001,Male,57,0.0452300493891343
2001,Male,58,0.0464354001638896
2001,Male,59,0.0485853100885967
2001,Male,60,0.0520581113801452
2001,Male,61,0.0546875
2001,Male,62,0.0587610619469026
2001,Male,63,0.0625978090766823
2001,Male,64,0.0667533593411356
2001,Male,65,0.0708393983503153
2001,Male,66,0.0727075420510038
2001,Male,67,0.0742544126597687
2001,Male,68,0.0766073871409028
2001,Male,69,0.0781609195402298
2001,Male,70,0.0797285835453774
2001,Male,71,0.0802919708029197
2001,Male,72,0.0817120622568093
2001,Male,73,0.087513340448239
2001,Male,74,0.0920897284533648
2001,Male,75,0.0939947780678851
2001,Male,76,0.0982658959537572
2001,Male,77,0.1032258064516129
