condition,p_death,incidence,dur_condition,init_prev,rel_sus,remmision_rate,max_disease_duration,disease_type,disease_class,affected_sex
HIV,,,,,,,,chronic,,
Type1Diabetes,4.71205E-05,8.33716E-05,27.3970433,0.318872567,1,,,chronic,ncd,both
Type2Diabetes,4.71205E-05,0.000847691,15.028971,13.50683346,1.95,0.024,30,remitting,ncd,both
Hypertension,2.22777E-05,0.000551671,,0.530333333,0.93,,,chronic,ncd,both
CardiovascularDiseases,0.00013788,0.001869095,6.91139678,6.714704143,1,,,chronic,ncd,both
ChronicKidneyDisease,2.2136E-05,0.000409253,38.8542472,17.58621416,1.58,,,chronic,ncd,both
CervicalCancer,1.17674E-05,8.33372E-06,3.1960396,0.123850573,6.07,,,chronic,ncd,female
BreastCancer,5.82519E-06,0.000100055,6.89411765,0.263485097,1.08,,,chronic,ncd,both
ProstateCancer,4.20843E-06,0.000258701,4.28571429,0.250191867,1,,,chronic,ncd,male
AlcoholUseDisorder,9.25005E-07,8.33716E-05,2.05407094,2.891861943,2.47,,,remitting,ncd,both
DomesticViolence,1.91854E-05,0.004711879,,,1,,,acute,ncd,both
RoadInjuries,4.65619E-05,0.016062366,,4.008491167,1,,,acute,ncd,both
ChronicLiverDisease,2.02106E-05,6.66911E-05,25.8234006,33.78432496,1,,,chronic,ncd,both
Asthma,1.23342E-05,8.33716E-05,7.01424332,5.937155593,1.72,,,chronic,ncd,both
COPD,2.14192E-05,8.33716E-05,13.1202376,4.521120047,1,,,chronic,ncd,both
AlzheimersDisease,3.21672E-06,0.000845588,5.73107747,1.523332927,1,,,chronic,ncd,both
ParkinsonsDisease,1.24168E-06,4.16762E-05,6.69425511,0.208179273,1,,,chronic,ncd,both
