year,sex,AlcoholUseDisorder,Asthma,BreastCancer,COPD,CardiovascularDiseases,CervicalCancer,ChronicKidneyDisease,ChronicLiverDisease,ColorectalCancer,InterpersonalViolence,LungCancer,MajorDepressiveDisorder,ProstateCancer,RoadInjuries,Type1Diabetes,Type2Diabetes
1990,Both,0.013573519,0.080163094,0.000393114,0.007891941,0.03552543,0.000329744,0.042605546,0.178853327,0.000129628,0.037884215,6.3e-05,0.020559057,0.000167163,0.011831937,0.001923678,0.011053902
1990,Female,0.004250825,0.079313002,0.000723069,0.007766158,0.036567202,0.000626311,0.0459246,0.172187689,0.000115716,0.036313668,2.86e-05,0.024093801,0.0,0.008700146,0.001903698,0.01219443
1990,Male,0.023939324,0.08110837,2.62e-05,0.008031823,0.034367186,,0.038915212,0.186264921,0.000145098,0.039630477,0.000101315,0.016628748,0.000353029,0.015314209,0.001945902,0.009785792
1991,Both,0.013629883,0.078291835,0.000400158,0.007873838,0.035585484,0.000337355,0.042729123,0.178934102,0.000132031,0.037696258,6.36e-05,0.020770488,0.000171709,0.011870181,0.001929315,0.011443331
1991,Female,0.004263283,0.077449636,0.000735986,0.007741817,0.036628649,0.000640788,0.046018235,0.172016382,0.000117985,0.036183325,2.94e-05,0.02436654,0.0,0.008519029,0.001908529,0.012572664
1991,Male,0.024043748,0.079228286,2.68e-05,0.008020649,0.034425777,,0.039072359,0.186625536,0.000147649,0.039378342,0.00010166,0.016772352,0.000362616,0.015596083,0.001952432,0.010187762
1992,Both,0.013721924,0.076532376,0.000405266,0.007869774,0.035684882,0.00034077,0.04292666,0.179140355,0.000133366,0.03752071,6.37e-05,0.020985911,0.000175695,0.011966317,0.001936179,0.011883632
1992,Female,0.004280976,0.075655149,0.000745328,0.007729139,0.036726677,0.000647241,0.046191367,0.171956166,0.000119159,0.036071482,2.99e-05,0.024633564,0.0,0.008377193,0.001914737,0.013010176
1992,Male,0.02421968,0.077507927,2.71e-05,0.008026183,0.034526569,,0.039296613,0.187129066,0.000149166,0.039132165,0.000101287,0.016929984,0.000371056,0.015957265,0.001960027,0.010631019
1993,Both,0.013847883,0.074911982,0.000409081,0.007881459,0.035827533,0.000341026,0.043200403,0.179507535,0.000134634,0.037360553,6.4e-05,0.021206991,0.000178841,0.012119407,0.001944228,0.012375326
1993,Female,0.004303364,0.073968899,0.000752129,0.007729692,0.036865304,0.000647644,0.046446172,0.172054339,0.000119801,0.035976529,3.04e-05,0.024897332,0.0,0.008276051,0.001922263,0.013506474
1993,Male,0.024463682,0.07596111,2.75e-05,0.008050294,0.034673388,,0.039590442,0.187797654,0.000151133,0.038899938,0.000101494,0.017102524,0.000377752,0.016394201,0.001968664,0.011117252
1994,Both,0.014001908,0.073462306,0.00041437,0.007905959,0.036004055,0.000345095,0.04353696,0.180043751,0.00013796,0.037214438,6.6e-05,0.021431293,0.00018003,0.012324722,0.001953345,0.012912807
1994,Female,0.004329464,0.072436445,0.000761212,0.007741054,0.037035253,0.000655239,0.046770354,0.172341383,0.000121365,0.035896853,3.12e-05,0.02515737,0.0,0.008215794,0.001931047,0.014054853
1994,Male,0.024764623,0.074604084,2.84e-05,0.008089488,0.034856738,,0.039939219,0.188614694,0.000156428,0.038680577,0.000104798,0.017285335,0.00038035,0.01689686,0.001978161,0.011642067
1995,Both,0.014177785,0.072220722,0.000423544,0.007940337,0.036203686,0.000358712,0.043921198,0.180755243,0.000142953,0.037080346,6.77e-05,0.021656838,0.000178915,0.01257721,0.001963381,0.013489674
1995,Female,0.004358195,0.071107571,0.000777432,0.007760191,0.037223993,0.000680896,0.047148237,0.17284346,0.000124692,0.035829874,3.16e-05,0.025413041,0.0,0.008196237,0.00194096,0.014647097
1995,Male,0.025110958,0.07346051,2.95e-05,0.008140946,0.035067801,,0.04032832,0.189564579,0.000163286,0.038472681,0.000107838,0.017474818,0.000378117,0.017455056,0.00198835,0.012201035
1996,Both,0.014441894,0.07120159,0.000431023,0.007988394,0.036450692,0.000367971,0.044407346,0.181299424,0.000149151,0.036922026,7.2e-05,0.021898262,0.00017967,0.01291592,0.001976287,0.014149888
1996,Female,0.004399899,0.069893585,0.000789549,0.007784769,0.037444973,0.000698009,0.0476258,0.173181046,0.000126607,0.035779122,3.27e-05,0.025671314,0.0,0.008235152,0.001953629,0.015327019
1996,Male,0.025638243,0.072660299,3.13e-05,0.008215464,0.035342244,,0.04081903,0.19035147,0.000174288,0.038196371,0.000115918,0.017691618,0.000379991,0.018134815,0.002001558,0.012837472
1997,Both,0.014819888,0.070382032,0.000442991,0.008054171,0.036766989,0.000384812,0.045030706,0.181556733,0.000154863,0.036740377,7.56e-05,0.022169549,0.000182622,0.013360028,0.001992868,0.01491766
1997,Female,0.004458726,0.068727153,0.000810061,0.007818132,0.037720742,0.000729117,0.048234645,0.173192517,0.000129612,0.035750467,3.39e-05,0.025945045,0.0,0.008338222,0.001969583,0.016122674
1997,Male,0.02640016,0.072231922,3.27e-05,0.008318036,0.035701177,,0.04144991,0.190905703,0.000183086,0.037846843,0.000122075,0.01794997,0.00038673,0.018972778,0.002018904,0.013570885
1998,Both,0.01524127,0.069736163,0.000461408,0.008134446,0.03712923,0.000414188,0.045736603,0.181811543,0.000163244,0.036588094,8.09e-05,0.022463557,0.00018869,0.013872621,0.002010869,0.015750847
1998,Female,0.004524229,0.06768113,0.000841919,0.007861798,0.038037562,0.000783696,0.048918589,0.173175054,0.000134529,0.035743322,3.58e-05,0.026235626,0.0,0.008483873,0.00198663,0.016990617
1998,Male,0.02725442,0.072039983,3.49e-05,0.008440145,0.036111273,,0.042169953,0.191493338,0.000195434,0.037535141,0.000131547,0.018235466,0.000400196,0.019913166,0.002038055,0.014361159
1999,Both,0.015626397,0.069232114,0.00048902,0.008219295,0.037493953,0.000463022,0.046443971,0.182295549,0.000172506,0.036522081,8.66e-05,0.0227698,0.000195754,0.014407303,0.002027951,0.016591069
1999,Female,0.004585567,0.06682127,0.00089127,0.007912304,0.038361748,0.000874916,0.04959786,0.173389884,0.000143095,0.035765102,3.89e-05,0.026541497,0.0,0.008647594,0.002002603,0.017872803
1999,Male,0.028037972,0.071942482,3.68e-05,0.008564504,0.036518738,,0.042898734,0.192307901,0.000205572,0.037373176,0.000140334,0.018530025,0.000415807,0.020882199,0.002056467,0.01515022
