Age,Year,COPD_male,COPD_female,DiarrhealDisease_male,DiarrhealDisease_female,NeuralTubeDefects_male,NeuralTubeDefects_female,Flu_male,Flu_female,RoadInjuries_male,RoadInjuries_female,LungCancer_male,LungCancer_female,AlcoholUseDisorder_male,AlcoholUseDisorder_female,Type2Diabetes_male,Type2Diabetes_female,DigestiveCongenitalAnomalies_male,DigestiveCongenitalAnomalies_female,Hyperlipidemia_male,Hyperlipidemia_female,MajorDepressiveDisorder_male,MajorDepressiveDisorder_female,CongenitalMusculoskeletal_male,CongenitalMusculoskeletal_female,CervicalCancer_male,CervicalCancer_female,ViralHepatitis_male,ViralHepatitis_female,ChronicLiverDisease_male,ChronicLiverDisease_female,ParkinsonsDisease_male,ParkinsonsDisease_female,CardiovascularDiseases_male,CardiovascularDiseases_female,ColorectalCancer_male,ColorectalCancer_female,AlzheimersDisease_male,age,NeonatalPretermBirth_male,NeonatalPretermBirth_female,Type1Diabetes_male,Type1Diabetes_female,DownSyndrome_male,DownSyndrome_female,NeonatalSepsis_male,NeonatalSepsis_female,Hypertension_male,Hypertension_female,ChronicKidneyDisease_male,ChronicKidneyDisease_female,ProstateCancer_male,ProstateCancer_female,PTSD_male,PTSD_female,CongenitalHeartAnomalies_male,CongenitalHeartAnomalies_female,InterpersonalViolence_male,InterpersonalViolence_female,BreastCancer_male,BreastCancer_female,Obesity_male,Obesity_female,Dementia_male,Dementia_female,HPV_male,HPV_female,ChromosomalAbnormalities_male,ChromosomalAbnormalities_female,ProteinEnergyMalnutrition_male,ProteinEnergyMalnutrition_female,NeonatalEncephalopathy_male,NeonatalEncephalopathy_female,EsophagealCancer_male,EsophagealCancer_female,TobaccoUse_male,TobaccoUse_female,Asthma_male,Asthma_female
0,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
