condition,mild,mild_low,mild_high,moderate,moderate_low,moderate_high,severe,severe_low,severe_high
Type1Diabetes,0.049,0.031,0.072,0.031,0.019,0.049,0.184,0.125,0.258
Type2Diabetes,0.049,0.031,0.072,0.031,0.019,0.049,0.184,0.125,0.258
Hypertension,,,,,,,,,
Obesity,,,,,,,,,
CardiovascularDiseases,,,,,,,,,
ChronicKidneyDisease,,,,,,,,,
Hyperlipidemia,,,,,,,,,
CervicalCancer,,,,,,,,,
ColorectalCancer,,,,,,,,,
BreastCancer,,,,,,,,,
LungCancer,,,,,,,,,
ProstateCancer,,,,,,,,,
AlcoholUseDisorder,,,,,,,,,
TobaccoUse,,,,,,,,,
Dementia,,,,,,,,,
PTSD,,,,,,,,,
MajorDepressiveDisorder,,,,,,,,,
HPV,,,,,,,,,
Flu,,,,,,,,,
ViralHepatitis,,,,,,,,,
InterpersonalViolence,,,,,,,,,
RoadInjuries,,,,,,,,,
ChronicLiverDisease,,,,,,,,,
Asthma,0.015,0.007,0.026,0.036,0.022,0.055,0.133,0.086,0.192
COPD,,,,,,,,,
AlzheimersDisease,,,,,,,,,
ParkinsonsDisease,,,,,,,,,
StimulantUseDisorder,,,,,,,,,
OpioidUseDisorder,,,,,,,,,
AnxietyDisorder,,,,,,,,,
ChronicPain,,,,,,,,,
NeonatalEncephalopathy,,,,,,,,,
NeonatalPretermBirth,,,,,,,,,
NeonatalSepsis,,,,,,,,,
NeonatalJaundice,,,,,,,,,
DiarrhealDisease,0.074,0.049,0.104,0.188,0.125,0.264,0.247,0.164,0.348
CongenitalHeartAnomalies,,,,,,,,,
CongenitalMusculoskeletal,,,,,,,,,
DigestiveCongenitalAnomalies,,,,,,,,,
DownSyndrome,,,,,,,,,
NeuralTubeDefects,,,,,,,,,
ChromosomalAbnormalities,,,,,,,,,
EsophagealCancer,,,,,,,,,
ProteinEnergyMalnutrition,,,,,,,,,
