"","Age","Risk.factor","Sex","variable","value"
"1",0,"AlcoholAbuse","Female","Accident",2.13
"2",15,"AlcoholAbuse","Female","Accident",2.13
"3",20,"AlcoholAbuse","Female","Accident",2.13
"4",25,"AlcoholAbuse","Female","Accident",2.13
"5",30,"AlcoholAbuse","Female","Accident",2.13
"6",35,"AlcoholAbuse","Female","Accident",2.13
"7",40,"AlcoholAbuse","Female","Accident",2.13
"8",45,"AlcoholAbuse","Female","Accident",2.13
"9",50,"AlcoholAbuse","Female","Accident",2.13
"10",55,"AlcoholAbuse","Female","Accident",2.13
"11",60,"AlcoholAbuse","Female","Accident",2.13
"12",65,"AlcoholAbuse","Female","Accident",2.13
"13",70,"AlcoholAbuse","Female","Accident",2.13
"14",75,"AlcoholAbuse","Female","Accident",2.13
"15",80,"AlcoholAbuse","Female","Accident",2.13
"16",85,"AlcoholAbuse","Female","Accident",2.13
"17",0,"AlcoholAbuse","Female","Alzheimers",1
"18",15,"AlcoholAbuse","Female","Alzheimers",1
"19",20,"AlcoholAbuse","Female","Alzheimers",1
"20",25,"AlcoholAbuse","Female","Alzheimers",1
"21",30,"AlcoholAbuse","Female","Alzheimers",1
"22",35,"AlcoholAbuse","Female","Alzheimers",1
"23",40,"AlcoholAbuse","Female","Alzheimers",1
"24",45,"AlcoholAbuse","Female","Alzheimers",1
"25",50,"AlcoholAbuse","Female","Alzheimers",1
"26",55,"AlcoholAbuse","Female","Alzheimers",1
"27",60,"AlcoholAbuse","Female","Alzheimers",1
"28",65,"AlcoholAbuse","Female","Alzheimers",1
"29",70,"AlcoholAbuse","Female","Alzheimers",1
"30",75,"AlcoholAbuse","Female","Alzheimers",1
"31",80,"AlcoholAbuse","Female","Alzheimers",1
"32",85,"AlcoholAbuse","Female","Alzheimers",1
"33",0,"AlcoholAbuse","Female","Assault",1
"34",15,"AlcoholAbuse","Female","Assault",1
"35",20,"AlcoholAbuse","Female","Assault",1
"36",25,"AlcoholAbuse","Female","Assault",1
"37",30,"AlcoholAbuse","Female","Assault",1
"38",35,"AlcoholAbuse","Female","Assault",1
"39",40,"AlcoholAbuse","Female","Assault",1
"40",45,"AlcoholAbuse","Female","Assault",1
"41",50,"AlcoholAbuse","Female","Assault",1
"42",55,"AlcoholAbuse","Female","Assault",1
"43",60,"AlcoholAbuse","Female","Assault",1
"44",65,"AlcoholAbuse","Female","Assault",1
"45",70,"AlcoholAbuse","Female","Assault",1
"46",75,"AlcoholAbuse","Female","Assault",1
"47",80,"AlcoholAbuse","Female","Assault",1
"48",85,"AlcoholAbuse","Female","Assault",1
"49",0,"AlcoholAbuse","Female","BreastCancer",1.94
"50",15,"AlcoholAbuse","Female","BreastCancer",1.94
"51",20,"AlcoholAbuse","Female","BreastCancer",1.94
"52",25,"AlcoholAbuse","Female","BreastCancer",1.94
"53",30,"AlcoholAbuse","Female","BreastCancer",1.94
"54",35,"AlcoholAbuse","Female","BreastCancer",1.94
"55",40,"AlcoholAbuse","Female","BreastCancer",1.94
"56",45,"AlcoholAbuse","Female","BreastCancer",1.94
"57",50,"AlcoholAbuse","Female","BreastCancer",1.94
"58",55,"AlcoholAbuse","Female","BreastCancer",1.94
"59",60,"AlcoholAbuse","Female","BreastCancer",1.94
