age,sex,2020,2021,2022,2023,2024
0,Female,338918.1111111111,325912.9888888889,317956.1333333333,313685.55555555556,312795.44444444444
0,Male,354893.05555555556,341262.1,332419.2,327219.85555555555,325966.6777777778
1,Female,338918.1111111111,325912.9888888889,317956.1333333333,313685.55555555556,312795.44444444444
1,Male,354893.05555555556,341262.1,332419.2,327219.85555555555,325966.6777777778
2,Female,338918.1111111111,325912.9888888889,317956.1333333333,313685.55555555556,312795.44444444444
2,Male,354893.05555555556,341262.1,332419.2,327219.85555555555,325966.6777777778
3,Female,338918.1111111111,325912.9888888889,317956.1333333333,313685.55555555556,312795.44444444444
3,Male,354893.05555555556,341262.1,332419.2,327219.85555555555,325966.6777777778
4,Female,338918.1111111111,325912.9888888889,317956.1333333333,313685.55555555556,312795.44444444444
4,Male,354893.05555555556,341262.1,332419.2,327219.85555555555,325966.6777777778
5,Female,341641.64444444445,334935.9888888889,328852.06666666665,325552.6888888889,324711.9111111111
5,Male,358689.94444444444,351357.6111111111,344957.06666666665,341362.9666666667,340282.6555555556
6,Female,341641.64444444445,334935.9888888889,328852.06666666665,325552.6888888889,324711.9111111111
6,Male,358689.94444444444,351357.6111111111,344957.06666666665,341362.9666666667,340282.6555555556
7,Female,341641.64444444445,334935.9888888889,328852.06666666665,325552.6888888889,324711.9111111111
7,Male,358689.94444444444,351357.6111111111,344957.06666666665,341362.9666666667,340282.6555555556
8,Female,341641.64444444445,334935.9888888889,328852.06666666665,325552.6888888889,324711.9111111111
8,Male,358689.94444444444,351357.6111111111,344957.06666666665,341362.9666666667,340282.6555555556
9,Female,341641.64444444445,334935.9888888889,328852.06666666665,325552.6888888889,324711.9111111111
9,Male,358689.94444444444,351357.6111111111,344957.06666666665,341362.9666666667,340282.6555555556
10,Female,343475.0444444445,336735.9888888889,330701.86666666664,327090.8888888889,326780.1111111111
10,Male,361048.14444444445,354138.6111111111,347723.26666666666,343739.56666666665,343054.85555555555
11,Female,343475.0444444445,336735.9888888889,330701.86666666664,327090.8888888889,326780.1111111111
11,Male,361048.14444444445,354138.6111111111,347723.26666666666,343739.56666666665,343054.85555555555
12,Female,343475.0444444445,336735.9888888889,330701.86666666664,327090.8888888889,326780.1111111111
12,Male,361048.14444444445,354138.6111111111,347723.26666666666,343739.56666666665,343054.85555555555
13,Female,343475.0444444445,336735.9888888889,330701.86666666664,327090.8888888889,326780.1111111111
13,Male,361048.14444444445,354138.6111111111,347723.26666666666,343739.56666666665,343054.85555555555
14,Female,346179.4611111111,340145.7388888889,335289.5333333333,331785.05555555556,331465.69444444444
14,Male,363615.2555555556,357733.0,352607.35,349179.7055555555,348852.3277777778
15,Female,483635.4277777778,477337.7388888889,472341.7,471069.7555555556,471547.69444444444
15,Male,499351.15555555554,492966.1666666667,488023.98333333334,487356.4388888889,488537.4944444444
16,Female,583238.6630718955,575943.1977124183,570516.4764705882,569641.2026143791,570947.0709150326
16,Male,592398.6143790849,585094.3196078432,579711.312745098,579568.5094771242,581616.9650326797
17,Female,583238.6630718955,575943.1977124183,570516.4764705882,569641.2026143791,570947.0709150326
17,Male,592398.6143790849,585094.3196078432,579711.312745098,579568.5094771242,581616.9650326797
18,Female,712800.4145875834,705216.1349578539,700214.0654282426,702465.8391524259,706421.7232681126
18,Male,700311.7298785702,693593.1646292662,688633.3093668433,691633.4321414389,696567.9521411948
19,Female,712800.4145875834,705216.1349578539,700214.0654282426,702465.8391524259,706421.7232681126
19,Male,700311.7298785702,693593.1646292662,688633.3093668433,691633.4321414389,696567.9521411948
20,Female,721727.0145875833,711340.1349578539,707152.0654282426,710610.4391524259,716467.9232681127
20,Male,702843.1298785703,694910.1646292662,690362.1093668434,694170.032141439,700872.9521411948
21,Female,721727.0145875833,711340.1349578539,707152.0654282426,710610.4391524259,716467.9232681127
21,Male,702843.1298785703,694910.1646292662,690362.1093668434,694170.032141439,700872.9521411948
22,Female,721727.0145875833,711340.1349578539,707152.0654282426,710610.4391524259,716467.9232681127
22,Male,702843.1298785703,694910.1646292662,690362.1093668434,694170.032141439,700872.9521411948
23,Female,721727.0145875833,711340.1349578539,707152.0654282426,710610.4391524259,716467.9232681127
23,Male,702843.1298785703,694910.1646292662,690362.1093668434,694170.032141439,700872.9521411948
24,Female,721727.0145875833,711340.1349578539,707152.0654282426,710610.4391524259,716467.9232681127
24,Male,702843.1298785703,694910.1646292662,690362.1093668434,694170.032141439,700872.9521411948
25,Female,751521.0860161547,733579.7349578539,726802.3868568139,728421.5105809973,734413.844696684
25,Male,730601.5870214273,713971.9503435519,706950.2736525576,708639.1392842961,714147.2664269091
26,Female,751521.0860161547,733579.7349578539,726802.3868568139,728421.5105809973,734413.844696684
26,Male,730601.5870214273,713971.9503435519,706950.2736525576,708639.1392842961,714147.2664269091
27,Female,751521.0860161547,733579.7349578539,726802.3868568139,728421.5105809973,734413.844696684
27,Male,730601.5870214273,713971.9503435519,706950.2736525576,708639.1392842961,714147.2664269091
28,Female,751521.0860161547,733579.7349578539,726802.3868568139,728421.5105809973,734413.844696684
28,Male,730601.5870214273,713971.9503435519,706950.2736525576,708639.1392842961,714147.2664269091
29,Female,751521.0860161547,733579.7349578539,726802.3868568139,728421.5105809973,734413.844696684
29,Male,730601.5870214273,713971.9503435519,706950.2736525576,708639.1392842961,714147.2664269091
30,Female,750847.8860161548,737297.1349578539,731509.786856814,733082.5105809973,739049.0446966841
30,Male,733328.9870214274,720672.350343552,715115.4736525577,717866.9392842961,723782.0664269091
31,Female,750847.8860161548,737297.1349578539,731509.786856814,733082.5105809973,739049.0446966841
31,Male,733328.9870214274,720672.350343552,715115.4736525577,717866.9392842961,723782.0664269091
32,Female,750847.8860161548,737297.1349578539,731509.786856814,733082.5105809973,739049.0446966841
32,Male,733328.9870214274,720672.350343552,715115.4736525577,717866.9392842961,723782.0664269091
33,Female,750847.8860161548,737297.1349578539,731509.786856814,733082.5105809973,739049.0446966841
33,Male,733328.9870214274,720672.350343552,715115.4736525577,717866.9392842961,723782.0664269091
