age,value
0,6313
1,4468
2,4468
3,4468
4,4468
5,3407
6,3407
7,3407
8,3407
9,3407
10,3106
11,3106
12,2763
13,2763
14,2763
15,2531
16,2531
17,2531
18,5226
19,5226
20,10078
21,10078
22,10078
23,10078
24,10078
25,18036
26,18036
27,18036
28,18036
29,18036
30,17537
31,17537
32,17537
33,17537
34,17537
35,13685
36,13685
37,13685
38,13685
39,13685
40,11293
41,11293
42,11293
43,11293
44,11293
45,10598
46,10598
47,10598
48,10598
49,10598
50,10417
51,10417
52,10417
53,10417
54,10417
55,8345
56,8345
57,8345
58,8345
59,8345
60,6169
61,6169
62,6169
63,6169
64,6169
65,5130
66,5130
67,5130
68,5130
69,5130
70,4765
71,4765
72,4765
73,4765
74,4765
75,4006
76,4006
77,4006
78,4006
79,4006
80,2800
81,2800
82,2800
83,2800
84,2800
85,1054
86,1054
87,1054
88,1054
89,1054
90,1054
91,1054
92,1054
93,1054
94,1054
95,1054
96,1054
97,1054
98,1054
99,1054
100,1054
