Time,Sex,AgeGrpStart,mx
2000,Female,0,0.057007748
2000,Female,2,0.001922308
2000,Female,5,0.001164908
2000,Female,10,0.001239172
2000,Female,15,0.002803523
2000,Female,20,0.003605531
2000,Female,25,0.004422344
2000,Female,30,0.006551013
2000,Female,35,0.010693387
2000,Female,40,0.016221836
2000,Female,45,0.024365064
2000,Female,50,0.036300912
2000,Female,55,0.058264057
2000,Female,60,0.091952484
2000,Female,65,0.145669398
2000,Female,70,0.221429414
2000,Female,75,0.35314145
2000,Female,80,0.596296543
2000,Female,85,1.039008167
2000,Female,90,1.742972531
2000,Female,95,2.822426565
2000,Male,0,0.069255841
2000,Male,2,0.002369215
2000,Male,5,0.001484961
2000,Male,10,0.001843891
2000,Male,15,0.006717161
2000,Male,20,0.01082537
2000,Male,25,0.010586718
2000,Male,30,0.012893286
2000,Male,35,0.018648772
2000,Male,40,0.028252657
2000,Male,45,0.044491141
2000,Male,50,0.062573345
2000,Male,55,0.094713569
2000,Male,60,0.145244591
2000,Male,65,0.224355747
2000,Male,70,0.345811907
2000,Male,75,0.542931838
2000,Male,80,0.868948
2000,Male,85,1.414037272
2000,Male,90,2.158350853
2000,Male,95,3.003325131
2001,Female,0,0.055948671
2001,Female,2,0.001924934
2001,Female,5,0.001144375
2001,Female,10,0.001227581
2001,Female,15,0.00282526
2001,Female,20,0.004128542
2001,Female,25,0.005494044
2001,Female,30,0.007752389
2001,Female,35,0.011878042
2001,Female,40,0.017380171
2001,Female,45,0.025717155
2001,Female,50,0.037079072
2001,Female,55,0.058528649
2001,Female,60,0.090447995
2001,Female,65,0.142416089
2001,Female,70,0.21690595
2001,Female,75,0.346856393
2001,Female,80,0.587541234
2001,Female,85,1.03339108
2001,Female,90,1.733293192
2001,Female,95,2.812838671
2001,Male,0,0.068154861
2001,Male,2,0.002439534
2001,Male,5,0.001444507
2001,Male,10,0.001786511
2001,Male,15,0.006795119
2001,Male,20,0.011894202
2001,Male,25,0.01369238
2001,Male,30,0.016309832
2001,Male,35,0.022393027
2001,Male,40,0.030808688
2001,Male,45,0.045978245
2001,Male,50,0.063158873
2001,Male,55,0.093826278
2001,Male,60,0.142227984
2001,Male,65,0.217877422
2001,Male,70,0.334579904
2001,Male,75,0.530101261
2001,Male,80,0.844397532
2001,Male,85,1.388179296
2001,Male,90,2.142745245
2001,Male,95,2.993521301
2002,Female,0,0.055921931
2002,Female,2,0.00180139
2002,Female,5,0.001112122
2002,Female,10,0.001240447
2002,Female,15,0.002773898
2002,Female,20,0.003655898
2002,Female,25,0.004459795
2002,Female,30,0.006370396
2002,Female,35,0.010933544
2002,Female,40,0.016694355
2002,Female,45,0.025188782
2002,Female,50,0.036516662
2002,Female,55,0.056183699
2002,Female,60,0.087677808
2002,Female,65,0.138943211
2002,Female,70,0.216193465
2002,Female,75,0.345145098
2002,Female,80,0.582411638
2002,Female,85,1.028894812
2002,Female,90,1.727136086
2002,Female,95,2.807470935
2002,Male,0,0.068717083
2002,Male,2,0.002241765
2002,Male,5,0.001376822
2002,Male,10,0.001794844
2002,Male,15,0.006712783
2002,Male,20,0.011073168
2002,Male,25,0.01103422
2002,Male,30,0.012555437
2002,Male,35,0.018445044
2002,Male,40,0.027485555
2002,Male,45,0.042712929
2002,Male,50,0.061309842
2002,Male,55,0.09098057
2002,Male,60,0.140613852
2002,Male,65,0.215228868
2002,Male,70,0.333205396
2002,Male,75,0.52675464
2002,Male,80,0.834214571
2002,Male,85,1.391770363
2002,Male,90,2.131961635
2002,Male,95,2.980262336
2003,Female,0,0.055388827
2003,Female,2,0.001777516
2003,Female,5,0.001118866
2003,Female,10,0.001236651
2003,Female,15,0.002784656
2003,Female,20,0.003622594
2003,Female,25,0.004341315
2003,Female,30,0.006049979
2003,Female,35,0.010421206
2003,Female,40,0.016230581
2003,Female,45,0.024621009
2003,Female,50,0.036228524
2003,Female,55,0.054828185
2003,Female,60,0.086417245
2003,Female,65,0.135235271
2003,Female,70,0.213786429
2003,Female,75,0.339121754
2003,Female,80,0.572000598
2003,Female,85,1.022802973
2003,Female,90,1.710846195
2003,Female,95,2.792286366
2003,Male,0,0.068721566
2003,Male,2,0.002189738
2003,Male,5,0.001372326
2003,Male,10,0.001717029
2003,Male,15,0.006703591
2003,Male,20,0.011087284
2003,Male,25,0.010943491
2003,Male,30,0.012041627
2003,Male,35,0.017407697
2003,Male,40,0.026445679
2003,Male,45,0.041606418
2003,Male,50,0.061567926
2003,Male,55,0.089066229
2003,Male,60,0.136445303
2003,Male,65,0.207264149
2003,Male,70,0.321618733
2003,Male,75,0.514042627
2003,Male,80,0.814741862
2003,Male,85,1.344539802
2003,Male,90,2.116011409
2003,Male,95,2.966870784
2004,Female,0,0.054289626
2004,Female,2,0.001712122
2004,Female,5,0.001097702
2004,Female,10,0.001216709
2004,Female,15,0.002672992
2004,Female,20,0.003508909
2004,Female,25,0.004127355
2004,Female,30,0.005697664
2004,Female,35,0.00972044
2004,Female,40,0.015503095
2004,Female,45,0.02361189
2004,Female,50,0.035371036
2004,Female,55,0.05294998
2004,Female,60,0.083499387
2004,Female,65,0.12979243
2004,Female,70,0.207784798
2004,Female,75,0.327607174
2004,Female,80,0.557598965
2004,Female,85,0.994016692
2004,Female,90,1.693643198
2004,Female,95,2.777435535
2004,Male,0,0.067022115
2004,Male,2,0.002108654
2004,Male,5,0.001346716
2004,Male,10,0.001630966
2004,Male,15,0.006554059
2004,Male,20,0.010848176
2004,Male,25,0.01069397
2004,Male,30,0.011423772
2004,Male,35,0.016049264
2004,Male,40,0.024873593
2004,Male,45,0.039553389
2004,Male,50,0.060630864
2004,Male,55,0.085995052
2004,Male,60,0.130053919
2004,Male,65,0.196661325
2004,Male,70,0.306743082
2004,Male,75,0.491408768
2004,Male,80,0.782205445
2004,Male,85,1.28030331
2004,Male,90,2.090192559
2004,Male,95,2.953368587
2005,Female,0,0.0537399
2005,Female,2,0.001688768
2005,Female,5,0.001078698
2005,Female,10,0.001176352
2005,Female,15,0.002588843
2005,Female,20,0.003444645
2005,Female,25,0.004015227
2005,Female,30,0.005546902
2005,Female,35,0.009355037
2005,Female,40,0.015143478
2005,Female,45,0.02298559
2005,Female,50,0.034936499
2005,Female,55,0.05169784
2005,Female,60,0.081821999
2005,Female,65,0.12661491
2005,Female,70,0.205805584
2005,Female,75,0.323523739
2005,Female,80,0.549156437
2005,Female,85,0.992472176
2005,Female,90,1.677682314
2005,Female,95,2.763726476
2005,Male,0,0.066122247
2005,Male,2,0.002078902
2005,Male,5,0.001322521
2005,Male,10,0.001580246
2005,Male,15,0.006511438
2005,Male,20,0.011025979
2005,Male,25,0.010870978
2005,Male,30,0.011441369
2005,Male,35,0.015745018
2005,Male,40,0.024939246
2005,Male,45,0.039125256
2005,Male,50,0.060615861
2005,Male,55,0.08540119
2005,Male,60,0.12770725
2005,Male,65,0.19118011
2005,Male,70,0.302162483
2005,Male,75,0.479901037
2005,Male,80,0.76930607
2005,Male,85,1.279461672
2005,Male,90,2.074680714
2005,Male,95,2.94272362
2006,Female,0,0.053317272
2006,Female,2,0.00169142
2006,Female,5,0.001053752
2006,Female,10,0.0011262
2006,Female,15,0.002500178
2006,Female,20,0.003438807
2006,Female,25,0.003997028
2006,Female,30,0.005423661
2006,Female,35,0.008977111
2006,Female,40,0.014696824
2006,Female,45,0.022377513
2006,Female,50,0.033927738
2006,Female,55,0.05011992
2006,Female,60,0.078799862
2006,Female,65,0.120790553
2006,Female,70,0.196845436
2006,Female,75,0.30986004
2006,Female,80,0.520858769
2006,Female,85,0.938061423
2006,Female,90,1.656953724
2006,Female,95,2.74503082
2006,Male,0,0.065074803
2006,Male,2,0.002029121
2006,Male,5,0.001317281
2006,Male,10,0.001531649
2006,Male,15,0.006314345
2006,Male,20,0.011037212
2006,Male,25,0.010993595
2006,Male,30,0.011624883
2006,Male,35,0.015667908
2006,Male,40,0.024858334
2006,Male,45,0.037978111
2006,Male,50,0.058580043
2006,Male,55,0.083999109
2006,Male,60,0.125206708
2006,Male,65,0.186741782
2006,Male,70,0.287104741
2006,Male,75,0.456403985
2006,Male,80,0.742733744
2006,Male,85,1.236995015
2006,Male,90,2.058352393
2006,Male,95,2.934168219
2007,Female,0,0.052994817
2007,Female,2,0.001713758
2007,Female,5,0.00103032
2007,Female,10,0.00110695
2007,Female,15,0.002410789
2007,Female,20,0.003436978
2007,Female,25,0.004000295
2007,Female,30,0.005318678
2007,Female,35,0.0085565
2007,Female,40,0.01421943
2007,Female,45,0.022083672
2007,Female,50,0.033140365
2007,Female,55,0.048864017
2007,Female,60,0.076008734
2007,Female,65,0.118066661
2007,Female,70,0.191530143
2007,Female,75,0.305535656
2007,Female,80,0.510242104
2007,Female,85,0.910893919
2007,Female,90,1.640327323
2007,Female,95,2.73145922
2007,Male,0,0.064377808
2007,Male,2,0.001999543
2007,Male,5,0.001308322
2007,Male,10,0.001517451
2007,Male,15,0.006023477
2007,Male,20,0.010563604
2007,Male,25,0.010656833
2007,Male,30,0.011385875
2007,Male,35,0.01528438
2007,Male,40,0.024110924
2007,Male,45,0.036477676
2007,Male,50,0.056217363
2007,Male,55,0.082814633
2007,Male,60,0.12157387
2007,Male,65,0.184026245
2007,Male,70,0.279388463
2007,Male,75,0.444614119
2007,Male,80,0.73118315
2007,Male,85,1.208272372
2007,Male,90,2.041475772
2007,Male,95,2.922082819
2008,Female,0,0.051901044
2008,Female,2,0.001679999
2008,Female,5,0.000994872
2008,Female,10,0.001073869
2008,Female,15,0.002296358
2008,Female,20,0.003391815
2008,Female,25,0.003965734
2008,Female,30,0.005221451
2008,Female,35,0.008218084
2008,Female,40,0.013892494
2008,Female,45,0.022129396
2008,Female,50,0.032572823
2008,Female,55,0.047939855
2008,Female,60,0.074771388
2008,Female,65,0.117570339
2008,Female,70,0.190129987
2008,Female,75,0.306673086
2008,Female,80,0.509314146
2008,Female,85,0.918652432
2008,Female,90,1.627913904
2008,Female,95,2.719590061
2008,Male,0,0.062720459
2008,Male,2,0.001929763
2008,Male,5,0.001270322
2008,Male,10,0.001482887
2008,Male,15,0.005615769
2008,Male,20,0.010058117
2008,Male,25,0.010424712
2008,Male,30,0.011205184
2008,Male,35,0.014861973
2008,Male,40,0.023227922
2008,Male,45,0.035455568
2008,Male,50,0.054655273
2008,Male,55,0.082358304
2008,Male,60,0.118940217
2008,Male,65,0.181872074
2008,Male,70,0.277259952
2008,Male,75,0.441567239
2008,Male,80,0.726737051
2008,Male,85,1.205171718
2008,Male,90,2.027523808
2008,Male,95,2.905641029
2009,Female,0,0.050230084
2009,Female,2,0.001634043
2009,Female,5,0.000964258
2009,Female,10,0.001068784
2009,Female,15,0.002240298
2009,Female,20,0.003391081
2009,Female,25,0.003998458
2009,Female,30,0.005284628
2009,Female,35,0.008061576
2009,Female,40,0.013530976
2009,Female,45,0.022071889
2009,Female,50,0.032409286
2009,Female,55,0.047189274
2009,Female,60,0.072729673
2009,Female,65,0.114452942
2009,Female,70,0.181440565
2009,Female,75,0.294392603
2009,Female,80,0.487610442
2009,Female,85,0.880764804
2009,Female,90,1.612910136
2009,Female,95,2.707964932
2009,Male,0,0.059834405
2009,Male,2,0.001859868
2009,Male,5,0.00123007
2009,Male,10,0.001472902
2009,Male,15,0.0054442
2009,Male,20,0.009795926
2009,Male,25,0.010300273
2009,Male,30,0.011087747
2009,Male,35,0.01452737
2009,Male,40,0.022578476
2009,Male,45,0.035007853
2009,Male,50,0.054000031
2009,Male,55,0.081961434
2009,Male,60,0.116355379
2009,Male,65,0.176209346
2009,Male,70,0.267972545
2009,Male,75,0.428864479
2009,Male,80,0.704832118
2009,Male,85,1.164350913
2009,Male,90,2.011510874
2009,Male,95,2.893900624
2010,Female,0,0.048312849
2010,Female,2,0.001556965
2010,Female,5,0.000915928
2010,Female,10,0.001017574
2010,Female,15,0.002108235
2010,Female,20,0.003331693
2010,Female,25,0.003868398
2010,Female,30,0.005122583
2010,Female,35,0.007651356
2010,Female,40,0.012507836
2010,Female,45,0.020843519
2010,Female,50,0.031200236
2010,Female,55,0.045873011
2010,Female,60,0.070396362
2010,Female,65,0.112577876
2010,Female,70,0.17586036
2010,Female,75,0.28979979
2010,Female,80,0.485518108
2010,Female,85,0.877576463
2010,Female,90,1.589248412
2010,Female,95,2.688085196
2010,Male,0,0.056506033
2010,Male,2,0.001791734
2010,Male,5,0.001205984
2010,Male,10,0.001469453
2010,Male,15,0.005375064
2010,Male,20,0.009804147
2010,Male,25,0.010269257
2010,Male,30,0.010996234
2010,Male,35,0.013910996
2010,Male,40,0.021251631
2010,Male,45,0.033913089
2010,Male,50,0.052096979
2010,Male,55,0.080019525
2010,Male,60,0.113131073
2010,Male,65,0.170780896
2010,Male,70,0.2604624
2010,Male,75,0.418161762
2010,Male,80,0.689076708
2010,Male,85,1.156463585
2010,Male,90,1.989270901
2010,Male,95,2.879403601
2011,Female,0,0.047348205
2011,Female,2,0.001532474
2011,Female,5,0.000887244
2011,Female,10,0.000994597
2011,Female,15,0.002031034
2011,Female,20,0.003299244
2011,Female,25,0.003869472
2011,Female,30,0.005165151
2011,Female,35,0.007577316
2011,Female,40,0.01219392
2011,Female,45,0.020455868
2011,Female,50,0.031023256
2011,Female,55,0.046106843
2011,Female,60,0.069172302
2011,Female,65,0.110979967
2011,Female,70,0.17430564
2011,Female,75,0.290509697
2011,Female,80,0.493313321
2011,Female,85,0.885096124
2011,Female,90,1.578352905
2011,Female,95,2.675589292
2011,Male,0,0.054818991
2011,Male,2,0.001757279
2011,Male,5,0.00119073
2011,Male,10,0.00145778
2011,Male,15,0.005207578
2011,Male,20,0.009891571
2011,Male,25,0.010477349
2011,Male,30,0.011273874
2011,Male,35,0.013912749
2011,Male,40,0.020679336
2011,Male,45,0.033257014
2011,Male,50,0.051612118
2011,Male,55,0.0789168
2011,Male,60,0.112378861
2011,Male,65,0.169127846
2011,Male,70,0.258651656
2011,Male,75,0.412458996
2011,Male,80,0.686116752
2011,Male,85,1.157528654
2011,Male,90,1.975701961
2011,Male,95,2.866500804
2012,Female,0,0.045747333
