Age,Sex,ex
0,Female,79.3
1,Female,78.7
2,Female,77.74
3,Female,76.75
4,Female,75.77
5,Female,74.78
6,Female,73.79
7,Female,72.79
8,Female,71.8
9,Female,70.81
10,Female,69.82
11,Female,68.82
12,Female,67.83
13,Female,66.84
14,Female,65.85
15,Female,64.86
16,Female,63.88
17,Female,62.9
18,Female,61.92
19,Female,60.94
20,Female,59.97
21,Female,59
22,Female,58.03
23,Female,57.07
24,Female,56.11
25,Female,55.15
26,Female,54.19
27,Female,53.23
28,Female,52.28
29,Female,51.33
30,Female,50.38
31,Female,49.44
32,Female,48.5
33,Female,47.56
34,Female,46.62
35,Female,45.69
36,Female,44.76
37,Female,43.83
38,Female,42.91
39,Female,41.98
40,Female,41.07
41,Female,40.15
42,Female,39.24
43,Female,38.33
44,Female,37.42
45,Female,36.52
46,Female,35.62
47,Female,34.73
48,Female,33.84
49,Female,32.95
50,Female,32.07
51,Female,31.2
52,Female,30.33
53,Female,29.47
54,Female,28.62
55,Female,27.77
56,Female,26.93
57,Female,26.1
58,Female,25.27
59,Female,24.46
60,Female,23.65
61,Female,22.86
62,Female,22.07
63,Female,21.29
64,Female,20.52
65,Female,19.75
66,Female,18.99
67,Female,18.23
68,Female,17.48
69,Female,16.74
70,Female,16
71,Female,15.27
72,Female,14.56
73,Female,13.85
74,Female,13.16
75,Female,12.49
76,Female,11.83
77,Female,11.19
78,Female,10.57
79,Female,9.96
80,Female,9.38
81,Female,8.81
82,Female,8.26
83,Female,7.73
84,Female,7.21
85,Female,6.72
86,Female,6.26
87,Female,5.82
88,Female,5.41
89,Female,5.02
90,Female,4.65
91,Female,4.31
92,Female,3.99
93,Female,3.71
94,Female,3.45
95,Female,3.22
96,Female,3.01
97,Female,2.82
98,Female,2.66
99,Female,2.5
100,Female,2.35
0,Male,73.54
1,Male,72.97
2,Male,72
3,Male,71.02
4,Male,70.04
5,Male,69.05
6,Male,68.06
7,Male,67.07
8,Male,66.08
9,Male,65.09
10,Male,64.1
11,Male,63.1
12,Male,62.11
13,Male,61.12
14,Male,60.14
15,Male,59.16
16,Male,58.18
17,Male,57.22
18,Male,56.27
19,Male,55.33
20,Male,54.4
21,Male,53.47
22,Male,52.55
23,Male,51.64
24,Male,50.72
25,Male,49.82
26,Male,48.91
27,Male,48.01
28,Male,47.12
29,Male,46.23
30,Male,45.34
31,Male,44.46
32,Male,43.57
33,Male,42.69
34,Male,41.82
35,Male,40.94
36,Male,40.06
37,Male,39.19
38,Male,38.32
39,Male,37.45
40,Male,36.58
41,Male,35.72
42,Male,34.86
43,Male,34
44,Male,33.15
45,Male,32.3
46,Male,31.45
47,Male,30.61
48,Male,29.77
49,Male,28.94
50,Male,28.12
51,Male,27.3
52,Male,26.5
53,Male,25.7
54,Male,24.91
55,Male,24.14
56,Male,23.37
57,Male,22.61
58,Male,21.87
59,Male,21.13
60,Male,20.41
61,Male,19.7
62,Male,19
63,Male,18.31
64,Male,17.63
65,Male,16.95
66,Male,16.29
67,Male,15.63
68,Male,14.98
69,Male,14.33
70,Male,13.69
71,Male,13.06
72,Male,12.43
73,Male,11.82
74,Male,11.21
75,Male,10.62
76,Male,10.05
77,Male,9.49
78,Male,8.95
79,Male,8.42
80,Male,7.92
81,Male,7.43
82,Male,6.96
83,Male,6.5
84,Male,6.07
85,Male,5.65
86,Male,5.26
87,Male,4.88
88,Male,4.53
89,Male,4.21
90,Male,3.9
91,Male,3.62
92,Male,3.36
93,Male,3.14
94,Male,2.94
95,Male,2.76
96,Male,2.6
97,Male,2.45
98,Male,2.32
99,Male,2.2
100,Male,2.09
