Time,Sex,AgeGrpStart,mx
2000,Female,5,11.64907957
2000,Female,10,12.39172009
2000,Female,15,28.03522714
2000,Female,20,36.05531028
2000,Female,25,44.22343602
2000,Female,30,65.51012841
2000,Female,35,106.9338671
2000,Female,40,162.2183608
2000,Female,45,243.6506438
2000,Female,50,363.0091241
2000,Female,55,582.6405704
2000,Female,60,919.5248418
2000,Female,65,1456.69398
2000,Female,70,2214.294142
2000,Female,75,3531.4145
2000,Female,0,570.0774835
2000,Female,80,5962.965426
2000,Female,85,10390.08167
2000,Female,90,17429.72531
2000,Female,2,19.22307914
2000,Female,95,28224.26565
2000,Male,5,14.84960578
2000,Male,10,18.43890675
2000,Male,15,67.17160631
2000,Male,20,108.2537044
2000,Male,25,105.8671798
2000,Male,30,128.9328584
2000,Male,35,186.4877166
2000,Male,40,282.5265741
2000,Male,45,444.9114062
2000,Male,50,625.7334512
2000,Male,55,947.1356924
2000,Male,60,1452.44591
2000,Male,65,2243.55747
2000,Male,70,3458.119074
2000,Male,75,5429.318379
2000,Male,0,692.5584127
2000,Male,80,8689.480004
2000,Male,85,14140.37272
2000,Male,90,21583.50853
2000,Male,2,23.69215151
2000,Male,95,30033.25131
