Age,Year,HIV_male,HIV_female,Obesity_male,Obesity_female,Hypertension_male,Hypertension_female,AlcoholUseDisorder_female,AlzheimersDisease_female,Asthma_female,BreastCancer_female,COPD_female,CervicalCancer_female,CervicalCancer_male,ChronicKidneyDisease_female,ChronicLiverDisease_female,ColorectalCancer_female,Depression_female,CardiovascularDiseases_female,LungCancer_female,ParkinsonsDisease_female,ProstateCancer_female,RoadInjuries_female,Transportinjuries_female,Type1Diabetes_female,Type2Diabetes_female,AlcoholUseDisorder_male,AlzheimersDisease_male,Asthma_male,BreastCancer_male,COPD_male,ChronicKidneyDisease_male,ChronicLiverDisease_male,ColorectalCancer_male,Depression_male,CardiovascularDiseases_male,LungCancer_male,ParkinsonsDisease_male,ProstateCancer_male,RoadInjuries_male,Transportinjuries_male,Type1Diabetes_male,Type2Diabetes_male,Hyperlipidemia_male,Hyperlipidemia_female,TobaccoUse_male,TobaccoUse_female,HIVAssociatedDementia_male,HIVAssociatedDementia_female,PTSD_male,PTSD_female,HPV_male,HPV_female,Flu_male,Flu_female,ViralHepatitis_male,ViralHepatitis_female,DomesticViolence_male,DomesticViolence_female
0,1987,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1987,0.29777765,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1987,0.272634041,0.3503177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1987,0.186320267,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1987,0.054916197,0.037321887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1987,0.040784775,0.029063244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1987,0.03401066,0.017996397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1987,0.031925407,0.029590384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1987,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1987,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1987,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1987,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1987,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1987,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1987,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1990,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
15,1990,,,,,,,0.002811457,0,0.073738402,1.19E-05,0.002778943,4.53E-05,,0.014952058,0.133647498,5.38E-06,0.025288526,6.50E-05,9.47E-07,0,0,0.005155612,0.005734737,0.001906516,0.002839291,0.010659587,0,0.061232253,2.11E-06,0.002762891,0.013670971,0.157635317,7.71E-06,0.019075814,6.72E-05,1.49E-06,0,0,0.007248659,0.007558553,0.002142597,0.002355828,,,,,,,,,,,,,,,,
20,1990,,,,,,,0.007032507,0,0.055520267,4.23E-05,0.003906912,0.000134466,,0.033503983,0.189365338,1.12E-05,0.034859565,0.000190643,1.34E-06,1.59E-06,0,0.007026416,0.007730899,0.002200889,0.005237694,0.035236726,0,0.030341922,2.15E-06,0.003965598,0.031079346,0.222799132,1.42E-05,0.028296432,0.000252853,1.76E-06,3.32E-06,4.18E-06,0.01237446,0.012766623,0.002441827,0.004913139,,,,,,,,,,,,,,,,
25,1990,,,,,,,0.009524854,0,0.052681001,0.000192318,0.005325545,0.000513707,,0.053286949,0.245928565,3.19E-05,0.036340029,0.000543078,4.27E-06,1.09E-05,0,0.009276675,0.010107067,0.002491989,0.00797064,0.053890817,0,0.024724352,7.23E-06,0.005450905,0.049332488,0.28301539,2.86E-05,0.028504495,0.000832789,5.59E-06,2.27E-05,5.70E-06,0.018039474,0.018513755,0.00270736,0.007726694,,,,,,,,,,,,,,,,
30,1990,,,,,,,0.010547885,0,0.058560289,0.000557885,0.006981064,0.001296269,,0.071718444,0.277798615,6.28E-05,0.039770139,0.001313062,1.04E-05,3.07E-05,0,0.011963507,0.012938366,0.002804898,0.011216907,0.063318542,0,0.030278532,1.29E-05,0.00714836,0.066874309,0.320897207,6.54E-05,0.029585747,0.002062535,1.85E-05,6.33E-05,9.94E-06,0.024257349,0.024825748,0.002962924,0.010765833,,,,,,,,,,,,,,,,
35,1990,,,,,,,0.010560856,0,0.069033685,0.001109807,0.008782822,0.002006458,,0.085054135,0.296669806,0.000107654,0.046854794,0.003032034,1.94E-05,6.55E-05,0,0.014809792,0.015919788,0.003157058,0.015844681,0.069088676,0,0.039667291,2.67E-05,0.008964584,0.079831543,0.342851207,0.000134623,0.032668576,0.004776965,5.32E-05,0.000132862,3.17E-05,0.031169284,0.031828089,0.003206537,0.014630797,,,,,,,,,,,,,,,,
40,1990,,,,,,,0.010079318,0.000181548,0.08140152,0.00206264,0.011496915,0.002697311,,0.098231604,0.323461423,0.000171087,0.052199106,0.006413852,3.19E-05,0.000121546,0,0.017972463,0.019216053,0.003528933,0.022455252,0.074350897,0.000160831,0.050944513,4.87E-05,0.012103512,0.093294723,0.373902434,0.000228619,0.03587391,0.010255003,0.000117914,0.000241145,7.02E-05,0.039265371,0.040022845,0.003425599,0.019738317,,,,,,,,,,,,,,,,
45,1990,,,,,,,0.008756896,0.001171121,0.089063858,0.003003444,0.017809265,0.002986609,,0.11989211,0.345216804,0.000308194,0.054545303,0.012954041,7.50E-05,0.000219595,0,0.021190917,0.022561253,0.003843434,0.032803697,0.07915095,0.001032698,0.061708037,8.21E-05,0.020919996,0.114031992,0.403692799,0.000432712,0.039101122,0.020555713,0.000322037,0.000420682,0.00028377,0.047751922,0.0486122,0.003600425,0.027290353,,,,,,,,,,,,,,,,
50,1990,,,,,,,0.007432604,0.002881155,0.093184213,0.003990307,0.02837561,0.003027873,,0.142274075,0.349120031,0.0005448,0.056745743,0.024208729,0.00015653,0.000369814,0,0.02512181,0.026592469,0.00408502,0.04732637,0.079253386,0.00247891,0.072782582,0.000148826,0.035476679,0.134946671,0.415030647,0.000806303,0.042309492,0.037562131,0.000653729,0.000672281,0.001032792,0.056959138,0.057896324,0.003723176,0.038501972,,,,,,,,,,,,,,,,
55,1990,,,,,,,0.006585841,0.005696524,0.100071242,0.004936825,0.041481438,0.002877018,,0.172852557,0.36210381,0.000820371,0.0589181,0.04129815,0.000242233,0.000602369,0,0.028589523,0.030164963,0.00425906,0.067307651,0.066072607,0.004653861,0.087807086,0.000217739,0.051125503,0.165347619,0.432377718,0.00121143,0.045509216,0.062308798,0.001075089,0.000999993,0.002438399,0.064769237,0.065785103,0.00377568,0.057849083,,,,,,,,,,,,,,,,
60,1990,,,,,,,0.005964391,0.010821207,0.108183039,0.005318818,0.055390593,0.002363169,,0.218248558,0.377024516,0.001028434,0.062158431,0.064608467,0.000308364,0.000986978,0,0.03181264,0.033474165,0.004321689,0.089804565,0.050622396,0.008162582,0.106076032,0.000241353,0.067012512,0.21336822,0.461090297,0.001541505,0.048496754,0.095001081,0.001224717,0.00155243,0.005297057,0.071093187,0.072169346,0.003715626,0.081788201,,,,,,,,,,,,,,,,
65,1990,,,,,,,0.005744987,0.02016113,0.109660762,0.006109319,0.070446088,0.002006219,,0.275038684,0.3973519,0.001341335,0.067110191,0.102260222,0.000375752,0.00176658,0,0.034425123,0.036203464,0.00412746,0.107272467,0.040410125,0.013881657,0.125574188,0.00034046,0.089002249,0.275789847,0.503928935,0.002069909,0.051078159,0.144934362,0.001489829,0.002881738,0.007981664,0.075535666,0.076693955,0.00341776,0.101445635,,,,,,,,,,,,,,,,
70,1990,,,,,,,0.00639167,0.037475656,0.105267011,0.006686001,0.087391543,0.001515954,,0.34565316,0.425321546,0.001610786,0.072031475,0.136439484,0.000399887,0.003090397,0,0.037074028,0.038964329,0.003698698,0.123898733,0.033395904,0.024498498,0.141256415,0.000379437,0.115665163,0.349721255,0.536111059,0.002271841,0.05362293,0.188875741,0.001488233,0.005099585,0.010009906,0.079405022,0.08063827,0.002932024,0.12119187,,,,,,,,,,,,,,,,
