measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Eswatini,Male,<5 years,Tuberculosis,Percent,2007,0.1670479119713801,0.2095290217235108,0.1284803991449133
Prevalence,Eswatini,Female,<5 years,Tuberculosis,Percent,2007,0.1594679722708733,0.2031067910666124,0.1255429049138786
Prevalence,Eswatini,Both,<5 years,Tuberculosis,Percent,2007,0.1632470859238554,0.2051629336249644,0.1277869387591704
Prevalence,Eswatini,Male,5-9 years,Tuberculosis,Percent,2007,0.1888581736934079,0.2643427831960874,0.1331546691842315
Prevalence,Eswatini,Female,5-9 years,Tuberculosis,Percent,2007,0.1777146444549684,0.2516617106105354,0.1216868522715406
Prevalence,Eswatini,Both,5-9 years,Tuberculosis,Percent,2007,0.1832178969310221,0.2543227388171055,0.1303695392877106
Prevalence,Eswatini,Male,10-14 years,Tuberculosis,Percent,2007,0.283687147051285,0.3894308961885129,0.18878538613082
Prevalence,Eswatini,Female,10-14 years,Tuberculosis,Percent,2007,0.2463642607666814,0.3461218911448699,0.1641679725728022
Prevalence,Eswatini,Both,10-14 years,Tuberculosis,Percent,2007,0.264448252728591,0.3635609551784592,0.1771804807570487
Prevalence,Eswatini,Male,15-19 years,Tuberculosis,Percent,2007,0.3862478031421559,0.5146835438316381,0.2731832618646931
Prevalence,Eswatini,Female,15-19 years,Tuberculosis,Percent,2007,0.3298995620426324,0.4518945128785679,0.2275441621402946
Prevalence,Eswatini,Both,15-19 years,Tuberculosis,Percent,2007,0.356439804128436,0.4783176024748401,0.2490793528065784
Prevalence,Eswatini,Male,20-24 years,Tuberculosis,Percent,2007,0.4108276095594922,0.5434191182210263,0.2846640967828765
Prevalence,Eswatini,Female,20-24 years,Tuberculosis,Percent,2007,0.3409654256713046,0.4647884774117782,0.2281153904538021
Prevalence,Eswatini,Both,20-24 years,Tuberculosis,Percent,2007,0.3728219568119971,0.4958583798859632,0.2562187717250505
Prevalence,Eswatini,Male,25-29 years,Tuberculosis,Percent,2007,0.3948853964582863,0.5249226097710984,0.2810853054246529
Prevalence,Eswatini,Female,25-29 years,Tuberculosis,Percent,2007,0.3264234386938167,0.4489774026915817,0.2252850329112797
Prevalence,Eswatini,Both,25-29 years,Tuberculosis,Percent,2007,0.3576674914313245,0.4823220020988713,0.2528395322478705
Prevalence,Eswatini,Male,30-34 years,Tuberculosis,Percent,2007,0.4037770317389972,0.5359292200920949,0.2816418103606786
Prevalence,Eswatini,Female,30-34 years,Tuberculosis,Percent,2007,0.3414940607500568,0.4729971313178369,0.2371651819530186
Prevalence,Eswatini,Both,30-34 years,Tuberculosis,Percent,2007,0.3707973875821954,0.4967891802830496,0.2604719619106766
Prevalence,Eswatini,Male,35-39 years,Tuberculosis,Percent,2007,0.4286301083531363,0.5462206178821072,0.3076442391210225
Prevalence,Eswatini,Female,35-39 years,Tuberculosis,Percent,2007,0.3728866849846229,0.5089263989290788,0.2594360265265436
Prevalence,Eswatini,Both,35-39 years,Tuberculosis,Percent,2007,0.3990650783733775,0.5208139446707516,0.2792976361450243
Prevalence,Eswatini,Male,40-44 years,Tuberculosis,Percent,2007,0.4372916638765892,0.5488734583997945,0.3248844455738519
Prevalence,Eswatini,Female,40-44 years,Tuberculosis,Percent,2007,0.3896552904159483,0.5131716782892509,0.2743577436904658
Prevalence,Eswatini,Both,40-44 years,Tuberculosis,Percent,2007,0.4113452828394033,0.5288773660099705,0.294748530593506
Prevalence,Eswatini,Male,45-49 years,Tuberculosis,Percent,2007,0.4391254303318975,0.556913507940138,0.3097198794948528
Prevalence,Eswatini,Female,45-49 years,Tuberculosis,Percent,2007,0.4015759274968067,0.5436129340537555,0.2780747302172096
Prevalence,Eswatini,Both,45-49 years,Tuberculosis,Percent,2007,0.4186100987342531,0.5442160149050752,0.2896811668582854
Prevalence,Eswatini,Male,50-54 years,Tuberculosis,Percent,2007,0.4354939265426321,0.555640367317939,0.3146978076004879
Prevalence,Eswatini,Female,50-54 years,Tuberculosis,Percent,2007,0.4064666607083746,0.5331541953737224,0.2827652159054182
Prevalence,Eswatini,Both,50-54 years,Tuberculosis,Percent,2007,0.4200108234567372,0.5446940505420169,0.3015653748355815
Prevalence,Eswatini,Male,55-59 years,Tuberculosis,Percent,2007,0.4406556641672013,0.5582531726348527,0.3068201919521793
Prevalence,Eswatini,Female,55-59 years,Tuberculosis,Percent,2007,0.4105427003607849,0.5408480748989837,0.2839001576284163
Prevalence,Eswatini,Both,55-59 years,Tuberculosis,Percent,2007,0.4244650116928373,0.5516221486141145,0.2941818711019436
Prevalence,Eswatini,Male,60-64 years,Tuberculosis,Percent,2007,0.4624638667151818,0.5802755106562495,0.3355248383552254
Prevalence,Eswatini,Female,60-64 years,Tuberculosis,Percent,2007,0.4273272723233176,0.5494516799227145,0.2970772027642854
Prevalence,Eswatini,Both,60-64 years,Tuberculosis,Percent,2007,0.4424719596835336,0.5610537788414958,0.3125030140607206
Prevalence,Eswatini,Male,65-69 years,Interstitial lung disease and pulmonary sarcoidosis,Percent,2007,0.0022019518867594,0.0028080474399311,0.0017143844045777
Prevalence,Eswatini,Female,65-69 years,Interstitial lung disease and pulmonary sarcoidosis,Percent,2007,0.0014665267803608,0.0018252821647334,0.0011491165436626
Prevalence,Eswatini,Both,65-69 years,Interstitial lung disease and pulmonary sarcoidosis,Percent,2007,0.0017687872622647,0.0022360636539877,0.0013880030418928
Prevalence,Eswatini,Male,70-74 years,Interstitial lung disease and pulmonary sarcoidosis,Percent,2007,0.0025275805569225,0.0032802290122302,0.001973242931717
Prevalence,Eswatini,Female,70-74 years,Interstitial lung disease and pulmonary sarcoidosis,Percent,2007,0.0017600381893066,0.002355956090243,0.0013559865222209
Prevalence,Eswatini,Both,70-74 years,Interstitial lung disease and pulmonary sarcoidosis,Percent,2007,0.0020599145481965,0.0027275506950196,0.0015916295457359
Prevalence,Eswatini,Male,75-79 years,Interstitial lung disease and pulmonary sarcoidosis,Percent,2007,0.0025121939106523,0.0032676931109156,0.001939799580171
Prevalence,Eswatini,Female,75-79 years,Interstitial lung disease and pulmonary sarcoidosis,Percent,2007,0.0018641133449454,0.0024547579185395,0.0014390579692873
Prevalence,Eswatini,Both,75-79 years,Interstitial lung disease and pulmonary sarcoidosis,Percent,2007,0.0020918143898516,0.0027641491773852,0.0016041658410969
Prevalence,Eswatini,Male,80+ years,Interstitial lung disease and pulmonary sarcoidosis,Percent,2007,0.001728066947153,0.0022347759732615,0.0013508361184263
Prevalence,Eswatini,Female,80+ years,Interstitial lung disease and pulmonary sarcoidosis,Percent,2007,0.0013747987461101,0.0017339519052494,0.0011058901853879
Prevalence,Eswatini,Both,80+ years,Interstitial lung disease and pulmonary sarcoidosis,Percent,2007,0.0014713087782312,0.0018673714311328,0.0011734264027992
Prevalence,Eswatini,Male,<5 years,Other transport injuries,Percent,2007,6.54148914179e-05,8.25128974278e-05,5.19181520608e-05
Prevalence,Eswatini,Female,<5 years,Other transport injuries,Percent,2007,0.000106367002794,0.0001344735034509,8.39255378106e-05
Prevalence,Eswatini,Both,<5 years,Other transport injuries,Percent,2007,8.5937251498e-05,0.0001087356873468,6.80617899554e-05
Prevalence,Eswatini,Male,5-9 years,Other transport injuries,Percent,2007,0.0001461734594971,0.0001904026797694,0.0001107278861001
Prevalence,Eswatini,Female,5-9 years,Other transport injuries,Percent,2007,0.000243576917551,0.0003173891891396,0.0001837604811234
Prevalence,Eswatini,Both,5-9 years,Other transport injuries,Percent,2007,0.0001954827749688,0.0002545823088111,0.0001491853075681
Prevalence,Eswatini,Male,10-14 years,Other transport injuries,Percent,2007,0.0002396867230089,0.000312236372167,0.0001813387405295
Prevalence,Eswatini,Female,10-14 years,Other transport injuries,Percent,2007,0.0003796513708541,0.0005064726524695,0.0002859282765107
Prevalence,Eswatini,Both,10-14 years,Other transport injuries,Percent,2007,0.0003118476470376,0.0004104930074768,0.0002354481776985
Prevalence,Eswatini,Male,15-19 years,Other transport injuries,Percent,2007,0.0003362538754873,0.0004184588652647,0.0002654006206331
Prevalence,Eswatini,Female,15-19 years,Other transport injuries,Percent,2007,0.0004902074910322,0.0006292333597987,0.0003875951926702
Prevalence,Eswatini,Both,15-19 years,Other transport injuries,Percent,2007,0.0004177082655559,0.0005291885802045,0.0003311098487553
Prevalence,Eswatini,Male,20-24 years,Other transport injuries,Percent,2007,0.0004463348772063,0.0005882947512146,0.0003547091632824
Prevalence,Eswatini,Female,20-24 years,Other transport injuries,Percent,2007,0.0005878571329339,0.0007792970519474,0.0004657102506352
Prevalence,Eswatini,Both,20-24 years,Other transport injuries,Percent,2007,0.0005233320689959,0.000684249181917,0.000414781051298
Prevalence,Eswatini,Male,25-29 years,Other transport injuries,Percent,2007,0.0005635037666469,0.0007499011442027,0.000453536843355
Prevalence,Eswatini,Female,25-29 years,Other transport injuries,Percent,2007,0.0006808933280662,0.0009119541848978,0.0005450742169105
Prevalence,Eswatini,Both,25-29 years,Other transport injuries,Percent,2007,0.0006273223264566,0.0008379512128654,0.0005022556396325
Prevalence,Eswatini,Male,30-34 years,Other transport injuries,Percent,2007,0.0006987752003126,0.0008964286741733,0.0005589199152612
Prevalence,Eswatini,Female,30-34 years,Other transport injuries,Percent,2007,0.0007853638825459,0.0010241151652553,0.0006293579955359
Prevalence,Eswatini,Both,30-34 years,Other transport injuries,Percent,2007,0.0007446255849545,0.0009619420085925,0.000598055350412
Prevalence,Eswatini,Male,35-39 years,Other transport injuries,Percent,2007,0.0008332749642829,0.0010337351940348,0.0006827905859065
Prevalence,Eswatini,Female,35-39 years,Other transport injuries,Percent,2007,0.0008846541761017,0.001134488721558,0.0007130611198429
Prevalence,Eswatini,Both,35-39 years,Other transport injuries,Percent,2007,0.000860525823006,0.0010902127434824,0.000697365861217
Prevalence,Eswatini,Male,40-44 years,Other transport injuries,Percent,2007,0.0009801169288735,0.0011790826067799,0.0008205716488281
Prevalence,Eswatini,Female,40-44 years,Other transport injuries,Percent,2007,0.0009871266107082,0.001230228146603,0.0008137854524781
Prevalence,Eswatini,Both,40-44 years,Other transport injuries,Percent,2007,0.0009839348364138,0.0012006844406108,0.0008193951419401
Prevalence,Eswatini,Male,45-49 years,Other transport injuries,Percent,2007,0.0011370531253196,0.0013771271357748,0.000945655305918
Prevalence,Eswatini,Female,45-49 years,Other transport injuries,Percent,2007,0.0010874333514623,0.0013756409600798,0.0008954025194049
Prevalence,Eswatini,Both,45-49 years,Other transport injuries,Percent,2007,0.0011099423844396,0.0013542475465392,0.0009137820146917
Prevalence,Eswatini,Male,<5 years,Falls,Percent,2007,0.0005326671779116,0.0007816412826776,0.0003615550132082
Prevalence,Eswatini,Female,<5 years,Falls,Percent,2007,0.000566020340401,0.0008496879848411,0.0003480987704613
Prevalence,Eswatini,Both,<5 years,Falls,Percent,2007,0.0005493836318356,0.0008123569018554,0.0003553240178521
Prevalence,Eswatini,Male,50-54 years,Other transport injuries,Percent,2007,0.0012580748791298,0.0014930203817946,0.0010686334017377
Prevalence,Eswatini,Female,50-54 years,Other transport injuries,Percent,2007,0.0011722929610453,0.0014429223333378,0.000986611608831
Prevalence,Eswatini,Both,50-54 years,Other transport injuries,Percent,2007,0.001212317852169,0.0014591428406012,0.0010279787579601
Prevalence,Eswatini,Male,55-59 years,Other transport injuries,Percent,2007,0.001380192370271,0.0016355369320954,0.0011797707556141
Prevalence,Eswatini,Female,55-59 years,Other transport injuries,Percent,2007,0.0012670837821515,0.0015337875210057,0.0010809539083412
Prevalence,Eswatini,Both,55-59 years,Other transport injuries,Percent,2007,0.0013193773731547,0.001567231492111,0.001127887201119
Prevalence,Eswatini,Male,60-64 years,Other transport injuries,Percent,2007,0.0014705802705915,0.0017421060817717,0.0012692839827649
Prevalence,Eswatini,Female,60-64 years,Other transport injuries,Percent,2007,0.0013504093735069,0.0016372485083969,0.0011507264566158
Prevalence,Eswatini,Both,60-64 years,Other transport injuries,Percent,2007,0.0014022055942274,0.0016810867295205,0.001210322529218
Prevalence,Eswatini,Male,65-69 years,Other transport injuries,Percent,2007,0.0015780028783015,0.0018363155732147,0.0013433801449259
Prevalence,Eswatini,Female,65-69 years,Other transport injuries,Percent,2007,0.0014628535460974,0.0017494813785382,0.0012428050729587
Prevalence,Eswatini,Both,65-69 years,Other transport injuries,Percent,2007,0.0015101800427031,0.0017787056371811,0.0012923273903885
Prevalence,Eswatini,Male,70-74 years,Other transport injuries,Percent,2007,0.0016709996401876,0.0019276639278461,0.001432150622715
Prevalence,Eswatini,Female,70-74 years,Other transport injuries,Percent,2007,0.0015739136371952,0.0018342120983916,0.0013433926153232
Prevalence,Eswatini,Both,70-74 years,Other transport injuries,Percent,2007,0.0016118448162164,0.0018605928140978,0.0013782280374112
Prevalence,Eswatini,Male,75-79 years,Other transport injuries,Percent,2007,0.0017777982403836,0.0020359957224798,0.0015418147064933
Prevalence,Eswatini,Female,75-79 years,Other transport injuries,Percent,2007,0.0017093589777191,0.0019760943043151,0.0014592767207226
Prevalence,Eswatini,Both,75-79 years,Other transport injuries,Percent,2007,0.0017334048886949,0.0019832972098855,0.0014950098012667
