population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Prevalence,New York,Both,<5 years,HIV/AIDS,Percent,1990,0.0004947630174209,0.0007512639003409,0.0003097290816642
All Population,Prevalence,New York,Both,5-9 years,HIV/AIDS,Percent,1990,6.24485921597e-05,9.46454965323e-05,3.82452686588e-05
All Population,Prevalence,New York,Both,10-14 years,HIV/AIDS,Percent,1990,1.2778845134e-06,2.1610935274e-06,7.212428596e-07
All Population,Prevalence,New York,Both,15-19 years,HIV/AIDS,Percent,1990,0.0012228675945474,0.002019484055364,0.0006497188433834
All Population,Prevalence,New York,Both,20-24 years,HIV/AIDS,Percent,1990,0.0067622054260916,0.0103453681032801,0.0039281871045166
All Population,Prevalence,New York,Both,25-29 years,HIV/AIDS,Percent,1990,0.0160626511779017,0.023560675457664,0.0099153831976744
All Population,Prevalence,New York,Both,30-34 years,HIV/AIDS,Percent,1990,0.0218704557773152,0.0309128004811106,0.0141786048933661
All Population,Prevalence,New York,Both,35-39 years,HIV/AIDS,Percent,1990,0.0224865352787165,0.0312634264763451,0.0156150109803558
All Population,Prevalence,New York,Both,40-44 years,HIV/AIDS,Percent,1990,0.0161804624040652,0.0221423988220202,0.0117211542561344
All Population,Prevalence,New York,Both,45-49 years,HIV/AIDS,Percent,1990,0.0096785464642378,0.0127563412860228,0.0070636079605861
All Population,Prevalence,New York,Both,50-54 years,HIV/AIDS,Percent,1990,0.0056382426271225,0.0074893162965675,0.0041926500327252
All Population,Prevalence,New York,Both,55-59 years,HIV/AIDS,Percent,1990,0.0035801960394606,0.004810645579307,0.002591693492
All Population,Prevalence,New York,Both,60-64 years,HIV/AIDS,Percent,1990,0.0020772668038258,0.0028589639743302,0.0014888811166206
All Population,Prevalence,New York,Both,65-69 years,HIV/AIDS,Percent,1990,0.0011577452443163,0.0016012671027532,0.0008431065028027
All Population,Prevalence,New York,Both,70-74 years,HIV/AIDS,Percent,1990,0.0005987867923837,0.0008040309696296,0.0004238364617011
All Population,Prevalence,New York,Both,75-79 years,HIV/AIDS,Percent,1990,0.0005617510499087,0.0008425036094509,0.0003694733395104
All Population,Prevalence,New York,Both,80+ years,HIV/AIDS,Percent,1990,8.07362745786e-05,0.0001244428211726,5.20066988226e-05
All Population,Prevalence,New York,Both,<5 years,Alcohol use disorders,Percent,1990,0.0007140162670362,0.0010616704054708,0.0004349351331735
All Population,Prevalence,New York,Both,5-9 years,Alcohol use disorders,Percent,1990,0.0005986611008717,0.0008878431082708,0.0003804035451594
All Population,Prevalence,New York,Both,10-14 years,Alcohol use disorders,Percent,1990,0.0021094160868243,0.0030488133109221,0.0013084429389133
All Population,Prevalence,New York,Both,15-19 years,Alcohol use disorders,Percent,1990,0.0222725019494706,0.0307241323026608,0.0154027181543827
All Population,Prevalence,New York,Both,20-24 years,Alcohol use disorders,Percent,1990,0.0595327946475651,0.0814098242159607,0.0405870682485995
All Population,Prevalence,New York,Both,25-29 years,Alcohol use disorders,Percent,1990,0.0618648592997882,0.0808695382445157,0.0468389501374872
All Population,Prevalence,New York,Both,30-34 years,Alcohol use disorders,Percent,1990,0.056092076432101,0.0753601355906743,0.0388783054216228
All Population,Prevalence,New York,Both,35-39 years,Alcohol use disorders,Percent,1990,0.0516971921079806,0.0679978059578846,0.0379495651842098
