condition,e0,year,sex
Idealized (No diseases),52.4672373809119,2024,Male
Idealized (No diseases),57.51905432362708,2024,Female
Idealized (No diseases),55.00738740750693,2024,Both
HIV,37.16494119928266,2024,Male
HIV,37.81909700997125,2024,Female
HIV,37.49387487502816,2024,Both
CardiovascularDiseases,51.58638986746469,2024,Male
CardiovascularDiseases,56.432073832870095,2024,Female
CardiovascularDiseases,54.02222441135271,2024,Both
ChronicKidneyDisease,51.9069589159087,2024,Male
ChronicKidneyDisease,56.84442351644262,2024,Female
ChronicKidneyDisease,54.389686557369714,2024,Both
Type1Diabetes,52.458800216021295,2024,Male
Type1Diabetes,57.50348327287273,2024,Female
Type1Diabetes,54.99531667040939,2024,Both
Type2Diabetes,51.460936168174385,2024,Male
Type2Diabetes,56.31949394553684,2024,Female
Type2Diabetes,53.90356150014011,2024,Both
RoadInjuries,52.29249226449368,2024,Male
RoadInjuries,57.28399562713461,2024,Female
RoadInjuries,54.80288341587833,2024,Both
InterpersonalViolence,52.44915120031754,2024,Male
InterpersonalViolence,57.51177341208739,2024,Female
InterpersonalViolence,54.99478259791865,2024,Both
COPD,52.44915120031754,2024,Male
COPD,57.51177341208739,2024,Female
COPD,54.99478259791865,2024,Both
Asthma,52.35344205568337,2024,Male
Asthma,57.37054996999566,2024,Female
Asthma,54.876659929860395,2024,Both
Influenza,52.4672373809119,2024,Male
Influenza,57.51905432362708,2024,Female
Influenza,55.00738740750693,2024,Both
ProstateCancer,52.46222730459023,2024,Male
ProstateCancer,57.51905432362708,2024,Female
ProstateCancer,55.00489649323053,2024,Both
LungCancer,52.462286533751055,2024,Male
LungCancer,57.50344615166075,2024,Female
LungCancer,54.99712433787887,2024,Both
CervicalCancer,52.4672373809119,2024,Male
CervicalCancer,57.51350597989984,2024,Female
CervicalCancer,55.00459759433157,2024,Both
BreastCancer,52.462286533751055,2024,Male
BreastCancer,57.50501211264629,2024,Female
BreastCancer,54.99791174740501,2024,Both
