year,Idealized (No diseases),Idealized (No diseases),Idealized (No diseases),Observed (With diseases),Observed (With diseases),Observed (With diseases)
,Both,Female,Male,Both,Female,Male
2008,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2009,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2010,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2011,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2012,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2013,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2014,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2015,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2016,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2017,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2018,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2019,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2020,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2021,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2022,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2023,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2024,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2025,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2026,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2027,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2028,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2029,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2030,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2031,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2032,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2033,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2034,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2035,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2036,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2037,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2038,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2039,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2040,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2041,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2042,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2043,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2044,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2045,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2046,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2047,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2048,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
2049,55.00738740750694,57.51905432362708,52.4672373809119,35.97630746247346,36.35517437076094,35.59446061580334
