measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Eswatini,Both,All ages,Prostate cancer,Rate,2007,3.605595211,5.210154883,2.4127149
Deaths,Eswatini,Both,All ages,Colon and rectum cancer,Rate,2007,2.865699754,3.770627855,2.146518974
Deaths,Eswatini,Both,All ages,Cardiovascular diseases,Rate,2007,116.7857163,147.4814276,93.59939508
Deaths,Eswatini,Both,All ages,Neural tube defects,Rate,2007,1.131638561,1.930132561,0.552129169
Deaths,Eswatini,Both,All ages,Congenital heart anomalies,Rate,2007,4.203315041,6.33015424,2.571458129
Deaths,Eswatini,Both,All ages,Down syndrome,Rate,2007,0.921155018,1.531948561,0.456539267
Deaths,Eswatini,Both,All ages,Other chromosomal abnormalities,Rate,2007,0.486454021,0.823886638,0.255079308
Deaths,Eswatini,Both,All ages,Congenital musculoskeletal and limb anomalies,Rate,2007,0.336415752,0.60441383,0.159418993
Deaths,Eswatini,Both,All ages,Digestive congenital anomalies,Rate,2007,1.356864934,2.523575657,0.691045444
Deaths,Eswatini,Both,All ages,Road injuries,Rate,2007,66.42389583,93.43209112,43.6757491
Deaths,Eswatini,Both,All ages,Diabetes mellitus type 1,Rate,2007,0.650082856,1.011435997,0.437291631
Deaths,Eswatini,Both,All ages,Diabetes mellitus type 2,Rate,2007,29.66603651,41.50248611,19.95288213
Deaths,Eswatini,Both,All ages,Acute hepatitis,Rate,2007,1.322365172,2.152702588,0.770466803
Deaths,Eswatini,Both,All ages,Esophageal cancer,Rate,2007,4.391707002,6.100431905,2.910934169
Deaths,Eswatini,Both,All ages,"Tracheal, bronchus, and lung cancer",Rate,2007,1.928297978,2.610695664,1.387880794
Deaths,Eswatini,Both,All ages,Breast cancer,Rate,2007,6.507028052,9.867680954,4.169868609
Deaths,Eswatini,Both,All ages,Cervical cancer,Rate,2007,28.2823481,42.84104068,16.77227412
Deaths,Eswatini,Both,All ages,Other drug use disorders,Rate,2007,0.070038754,0.13236612,0.032741984
Deaths,Eswatini,Both,All ages,Musculoskeletal disorders,Rate,2007,1.154878199,1.690869739,0.721605698
Deaths,Eswatini,Both,All ages,Neonatal preterm birth,Rate,2007,29.42607259,39.34730929,21.73999454
Deaths,Eswatini,Both,All ages,Neonatal encephalopathy due to birth asphyxia and trauma,Rate,2007,19.31687531,29.47153458,11.60343084
Deaths,Eswatini,Both,All ages,Neonatal sepsis and other neonatal infections,Rate,2007,6.069840928,11.12368175,3.431532647
Deaths,Eswatini,Both,All ages,Hemolytic disease and other neonatal jaundice,Rate,2007,1.27926705,2.15020836,0.516524191
Deaths,Eswatini,Both,All ages,Protein-energy malnutrition,Rate,2007,10.34233202,13.99286516,7.879147536
Deaths,Eswatini,Both,All ages,Alzheimer's disease and other dementias,Rate,2007,7.272500037,18.98518912,1.753216
