measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Eswatini,Male,<5 years,Tuberculosis,Percent,2007,0.167047912,0.209529022,0.128480399
Prevalence,Eswatini,Female,<5 years,Tuberculosis,Percent,2007,0.159467972,0.203106791,0.125542905
Prevalence,Eswatini,Both,<5 years,Tuberculosis,Percent,2007,0.163247086,0.205162934,0.127786939
Prevalence,Eswatini,Male,5-9 years,Tuberculosis,Percent,2007,0.188858174,0.264342783,0.133154669
Prevalence,Eswatini,Female,5-9 years,Tuberculosis,Percent,2007,0.177714644,0.251661711,0.121686852
Prevalence,Eswatini,Both,5-9 years,Tuberculosis,Percent,2007,0.183217897,0.254322739,0.130369539
Prevalence,Eswatini,Male,10-14 years,Tuberculosis,Percent,2007,0.283687147,0.389430896,0.188785386
Prevalence,Eswatini,Female,10-14 years,Tuberculosis,Percent,2007,0.246364261,0.346121891,0.164167973
Prevalence,Eswatini,Both,10-14 years,Tuberculosis,Percent,2007,0.264448253,0.363560955,0.177180481
Prevalence,Eswatini,Male,15-19 years,Tuberculosis,Percent,2007,0.386247803,0.514683544,0.273183262
Prevalence,Eswatini,Female,15-19 years,Tuberculosis,Percent,2007,0.329899562,0.451894513,0.227544162
Prevalence,Eswatini,Both,15-19 years,Tuberculosis,Percent,2007,0.356439804,0.478317602,0.249079353
Prevalence,Eswatini,Male,20-24 years,Tuberculosis,Percent,2007,0.41082761,0.543419118,0.284664097
Prevalence,Eswatini,Female,20-24 years,Tuberculosis,Percent,2007,0.340965426,0.464788477,0.22811539
Prevalence,Eswatini,Both,20-24 years,Tuberculosis,Percent,2007,0.372821957,0.49585838,0.256218772
Prevalence,Eswatini,Male,25-29 years,Tuberculosis,Percent,2007,0.394885396,0.52492261,0.281085305
Prevalence,Eswatini,Female,25-29 years,Tuberculosis,Percent,2007,0.326423439,0.448977403,0.225285033
Prevalence,Eswatini,Both,25-29 years,Tuberculosis,Percent,2007,0.357667491,0.482322002,0.252839532
Prevalence,Eswatini,Male,30-34 years,Tuberculosis,Percent,2007,0.403777032,0.53592922,0.28164181
Prevalence,Eswatini,Female,30-34 years,Tuberculosis,Percent,2007,0.341494061,0.472997131,0.237165182
Prevalence,Eswatini,Both,30-34 years,Tuberculosis,Percent,2007,0.370797388,0.49678918,0.260471962
Prevalence,Eswatini,Male,35-39 years,Tuberculosis,Percent,2007,0.428630108,0.546220618,0.307644239
Prevalence,Eswatini,Female,35-39 years,Tuberculosis,Percent,2007,0.372886685,0.508926399,0.259436027
Prevalence,Eswatini,Both,35-39 years,Tuberculosis,Percent,2007,0.399065078,0.520813945,0.279297636
Prevalence,Eswatini,Male,40-44 years,Tuberculosis,Percent,2007,0.437291664,0.548873458,0.324884446
Prevalence,Eswatini,Female,40-44 years,Tuberculosis,Percent,2007,0.38965529,0.513171678,0.274357744
Prevalence,Eswatini,Both,40-44 years,Tuberculosis,Percent,2007,0.411345283,0.528877366,0.294748531
Prevalence,Eswatini,Male,45-49 years,Tuberculosis,Percent,2007,0.43912543,0.556913508,0.309719879
Prevalence,Eswatini,Female,45-49 years,Tuberculosis,Percent,2007,0.401575927,0.543612934,0.27807473
Prevalence,Eswatini,Both,45-49 years,Tuberculosis,Percent,2007,0.418610099,0.544216015,0.289681167
Prevalence,Eswatini,Male,50-54 years,Tuberculosis,Percent,2007,0.435493927,0.555640367,0.314697808
Prevalence,Eswatini,Female,50-54 years,Tuberculosis,Percent,2007,0.406466661,0.533154195,0.282765216
Prevalence,Eswatini,Both,50-54 years,Tuberculosis,Percent,2007,0.420010823,0.544694051,0.301565375
Prevalence,Eswatini,Male,55-59 years,Tuberculosis,Percent,2007,0.440655664,0.558253173,0.306820192
Prevalence,Eswatini,Female,55-59 years,Tuberculosis,Percent,2007,0.4105427,0.540848075,0.283900158
Prevalence,Eswatini,Both,55-59 years,Tuberculosis,Percent,2007,0.424465012,0.551622149,0.294181871
Prevalence,Eswatini,Male,60-64 years,Tuberculosis,Percent,2007,0.462463867,0.580275511,0.335524838
