condition,p_death,dur_condition
Type1Diabetes,0.047859,17.68
Type2Diabetes,0.009009,16.12
Hypertension,,
Obesity,,
CardiovascularDiseases,0.025216,11.42
ChronicKidneyDisease,,
Hyperlipidemia,,
CervicalCancer,0.048569,8.29
ColorectalCancer,0.157848,4.96
BreastCancer,0.049482,11.23
LungCancer,0.53713,1.69
ProstateCancer,0.145044,5.41
AlcoholUseDisorder,0.000731,2.01
TobaccoUse,,
Dementia,,
PTSD,,
MajorDepressiveDisorder,,0.63
HPV,,
Flu,,
ViralHepatitis,,
InterpersonalViolence,0.016047,3.38
RoadInjuries,0.037314,1.7
ChronicLiverDisease,0.000887,22.0
Asthma,0.002431,3.43
COPD,,
AlzheimersDisease,,
ParkinsonsDisease,,
StimulantUseDisorder,,
OpioidUseDisorder,,
AnxietyDisorder,,
ChronicPain,,
NeonatalEncephalopathy,0.283868,2.25
NeonatalPretermBirth,0.031414,2.53
NeonatalSepsis,0.034645,0.77
NeonatalJaundice,,
DiarrhealDisease,,
CongenitalHeartAnomalies,0.014115,4.46
CongenitalMusculoskeletal,0.001236,4.63
DigestiveCongenitalAnomalies,0.018329,7.15
DownSyndrome,0.026451,15.4
NeuralTubeDefects,0.058277,8.52
ChromosomalAbnormalities,0.005992,5.33
EsophagealCancer,0.430403,2.15
ProteinEnergyMalnutrition,0.02044,1.24
